N	2gram	Tiupa_Lite_2	VeschiIm
1	не может	9	33
2	не только	8	31
3	может быть	17	29
4	и не	11	28
5	и в	19	26
6	то что	7	24
7	имя есть	1	23
8	и т	2	21
9	а не	20	20
10	не просто	1	18
11	что я	2	16
12	в смысле	1	15
13	и что	2	13
14	того что	5	13
15	и то	3	12
16	есть не	1	12
17	все же	2	12
18	в себя	3	12
19	что это	1	12
20	было бы	2	12
21	но и	10	12
22	таким образом	1	11
23	что же	1	11
24	то же	12	10
25	в ней	4	10
26	как бы	2	10
27	потому что	2	10
28	уже не	2	10
29	что мы	1	10
30	бы то	1	9
31	в самом	1	9
32	то ни	1	9
33	и с	3	9
34	вещей и	1	9
35	в том	10	9
36	что не	2	9
37	еще и	1	9
38	прежде всего	4	9
39	ни было	2	9
40	с ее	2	8
41	в себе	6	8
42	на то	1	8
43	ничего не	3	8
44	себя и	2	8
45	но это	3	8
46	в этом	9	7
47	его в	1	7
48	с другими	1	7
49	том что	7	7
50	в то	9	7
51	со своим	1	7
52	себя в	6	7
53	так как	3	7
54	как раз	2	7
55	от всего	1	7
56	есть и	1	7
57	со стороны	3	6
58	и как	3	6
59	но в	2	6
60	одно и	2	6
61	точки зрения	4	6
62	по крайней	2	6
63	с ним	2	6
64	можно было	1	6
65	и только	2	6
66	крайней мере	2	6
67	а если	2	6
68	так что	4	6
69	ни с	1	6
70	для него	4	6
71	относится к	1	6
72	в результате	2	6
73	жизни и	4	6
74	что в	4	6
75	того же	4	5
76	это и	1	5
77	и до	2	5
78	в сущности	3	5
79	на себя	2	5
80	в чем	1	5
81	но не	5	5
82	отнюдь не	4	5
83	как к	3	5
84	должна быть	1	5
85	же это	1	5
86	это не	1	5
87	с тем	2	5
88	не в	4	5
89	тем не	2	5
90	в отношении	1	5
91	не менее	6	5
92	одна из	5	5
93	только и	1	5
94	у нас	5	5
95	собственное имя	1	5
96	для себя	2	5
97	свою очередь	1	5
98	в ее	2	5
99	для этого	2	5
100	еще не	2	5
101	она имеет	1	5
102	с этой	2	5
103	и для	3	5
104	а в	3	5
105	в свою	1	5
106	мы не	4	4
107	я не	5	4
108	как я	3	4
109	имя и	1	4
110	в их	3	4
111	во всех	3	4
112	нет и	1	4
113	в своем	1	4
114	если есть	1	4
115	однако не	1	4
116	с чем	1	4
117	не предполагает	1	4
118	и мы	1	4
119	как и	10	4
120	между собою	1	4
121	с точки	3	4
122	что есть	1	4
123	на себе	1	4
124	же время	9	4
125	и о	1	4
126	только то	1	4
127	о том	2	4
128	с другой	8	4
129	что и	2	4
130	то и	3	4
131	из них	2	4
132	бытия и	1	4
133	тем что	4	4
134	и даже	8	4
135	как же	1	4
136	и потому	1	4
137	мы говорим	1	4
138	в данном	3	4
139	быть не	2	4
140	и все	1	4
141	себя как	2	3
142	самом деле	1	3
143	отношения к	1	3
144	мы имеем	1	3
145	из того	2	3
146	но даже	1	3
147	себе не	2	3
148	вопроса о	1	3
149	в нем	3	3
150	перестает быть	3	3
151	подобно тому	2	3
152	на этом	2	3
153	в жизни	2	3
154	реальности и	1	3
155	в своей	1	3
156	их в	1	3
157	чтобы она	1	3
158	и притом	1	3
159	в основе	2	3
160	того чтобы	1	3
161	этот тип	1	3
162	к тому	1	3
163	можно и	1	3
164	в собственном	1	3
165	и сам	2	3
166	так и	7	3
167	можно сказать	1	3
168	один из	4	3
169	явления как	1	3
170	тот же	2	3
171	что он	3	3
172	но как	2	3
173	но то	1	3
174	только на	1	3
175	мы находим	1	3
176	в одном	2	3
177	даже и	2	3
178	никогда не	3	3
179	а с	1	3
180	вместе с	5	3
181	тому как	2	3
182	она уже	1	3
183	сущность вещи	1	3
184	бы в	1	3
185	хотя бы	2	3
186	я в	7	3
187	от этого	1	2
188	в сфере	4	2
189	как это	2	2
190	переход от	1	2
191	тем же	3	2
192	в первом	1	2
193	ту же	2	2
194	обойтись без	1	2
195	той же	2	2
196	как мы	1	2
197	мы ее	1	2
198	и этого	1	2
199	имени не	1	2
200	мысли и	2	2
201	сама с	1	2
202	не все	1	2
203	тогда как	9	2
204	себе и	3	2
205	наряду с	1	2
206	как в	1	2
207	и нет	2	2
208	когда он	1	2
209	я должен	1	2
210	это тоже	1	2
211	что на	1	2
212	то в	2	2
213	себе как	1	2
214	приводит к	1	2
215	он не	5	2
216	о которой	2	2
217	для того	2	2
218	и вот	1	2
219	а затем	2	2
220	свое имя	1	2
221	различие между	1	2
222	то есть	5	2
223	но уже	2	2
224	все равно	2	2
225	в слове	1	2
226	не мог	1	2
227	к имени	1	2
228	жизнь не	1	2
229	знает и	1	2
230	жизнь и	1	2
231	тому что	1	2
232	но они	1	2
233	что ему	1	2
234	но только	2	2
235	нужен еще	1	2
236	казалось бы	1	2
237	это совершенно	1	2
238	всякой иной	1	2
239	тех или	1	2
240	и его	3	2
241	однако это	1	2
242	данном случае	3	2
243	самим собою	1	2
244	и когда	1	2
245	не с	3	2
246	мог бы	1	2
247	является в	1	2
248	находится в	1	2
249	в виду	2	2
250	никак не	1	2
251	не стоит	1	2
252	основе своей	1	2
253	и мое	1	2
254	во втором	1	2
255	еще более	1	2
256	или нет?	1	2
257	что только	1	2
258	к делу	1	2
259	в качестве	5	2
260	не случайно	4	2
261	а потому	2	2
262	в особенности	1	2
263	в подлинном	1	2
264	именно так	1	2
265	а так	1	2
266	когда же	1	2
267	в частности	4	2
268	какого бы	1	2
269	при всем	2	2
270	но именно	1	2
271	ни к	1	2
272	но зато	1	2
273	теперь же	1	2
274	отношении к	1	2
