N	2gram	Tiupa_Hudo_1	slovoVRo
1	и в	19	41
2	в нем	5	30
3	то есть	18	26
4	в романе	3	21
5	могут быть	4	19
6	во всех	3	17
7	не только	16	16
8	и не	15	16
9	точки зрения	10	16
10	языка в	4	16
11	но и	10	16
12	а не	9	15
13	то же	10	14
14	и на	2	14
15	в то	6	14
16	и его	12	14
17	в пределах	3	14
18	может быть	14	14
19	и др	2	14
20	не может	7	14
21	слова и	2	13
22	в сущности	1	13
23	в его	9	13
24	в этом	11	12
25	же время	5	12
26	как бы	9	12
27	так и	11	11
28	в узком	3	10
29	в той	3	10
30	слово в	1	10
31	себя в	7	9
32	все эти	2	9
33	таким образом	3	9
34	той или	4	9
35	или иной	7	9
36	как в	2	8
37	но в	7	8
38	на его	1	8
39	с точки	3	8
40	как мы	1	8
41	в особенности	1	8
42	или в	2	8
43	может не	1	8
44	с чужим	1	8
45	слова в	2	8
46	прежде всего	4	8
47	отношение к	5	7
48	в слове	3	7
49	в своей	5	7
50	не в	7	7
51	вовсе не	2	7
52	с ним	2	7
53	они могут	1	7
54	языков в	1	7
55	на фоне	1	7
56	все они	1	7
57	того же	2	6
58	при этом	13	6
59	это не	2	6
60	в них	2	6
61	к своему	1	6
62	в отношении	3	6
63	слова как	5	6
64	оно не	1	6
65	только в	5	6
66	и даже	1	6
67	по своим	1	6
68	а в	12	6
69	отношении к	2	6
70	в каждый	1	5
71	роман и	2	5
72	и к	3	5
73	в самом	5	5
74	с другими	4	5
75	далеко не	2	5
76	все это	2	5
77	в основе	4	5
78	не на	3	5
79	и мир	1	5
80	к нему	3	5
81	внутренней диалогичности	1	5
82	точек зрения	1	5
83	с другой	7	5
84	ту же	1	4
85	одним из	1	4
86	по преимуществу	2	4
87	на мир	1	4
88	еще не	3	4
89	с его	6	4
90	за пределы	2	4
91	данный момент	2	4
92	перед нами	1	4
93	в которой	2	4
94	не как	2	4
95	в каждом	1	4
96	лишь в	4	4
97	входит в	4	4
98	на почве	3	4
99	языка но	1	4
100	как и	2	4
101	автора и	3	4
102	в их	5	4
103	к предмету	1	4
104	том же	1	4
105	и для	2	4
106	с ее	5	4
107	жанра в	1	4
108	один из	2	4
109	с одной	2	4
110	рядом с	1	4
111	художественного слова	1	4
112	одной стороны	2	4
113	и потому	2	4
114	и формы	1	4
115	и от	1	4
116	известной степени	3	4
117	быть и	2	4
118	другой стороны	5	4
119	также и	1	3
120	жизни поэтому	1	3
121	или к	1	3
122	в первом	1	3
123	в своем	2	3
124	более или	5	3
125	бы и	1	3
126	европейского романа	1	3
127	осуществляет себя	1	3
128	из этих	3	3
129	языка а	1	3
130	в себе	9	3
131	в поэзии	1	3
132	внутренней речи	14	3
133	ни были	1	3
134	и сам	1	3
135	и может	1	3
136	его в	2	3
137	было бы	1	3
138	лишь на	1	3
139	он не	4	3
140	или менее	5	3
141	в понимании	1	3
142	и ее	3	3
143	социальных диалектов	1	3
144	от его	1	3
145	которые в	1	3
146	не должно	1	3
147	не могло	2	3
148	никогда не	2	3
149	произведения как	3	3
150	и здесь	1	3
151	не могут	1	3
152	к тому	4	3
153	к языку	1	3
154	о том	2	3
155	того что	4	3
156	в том	18	3
157	языка на	1	3
158	бы ни	1	3
159	в качестве	24	3
160	от автора	1	3
161	из них	1	3
162	для него	4	3
163	так как	1	3
164	у него	1	3
165	как такового	1	3
166	именно в	2	3
167	в свою	3	3
168	смысла и	1	3
169	не было	1	3
170	более того	1	3
171	в истории	1	3
172	как сказано	1	3
173	в данном	4	3
174	есть как	2	3
175	с этой	1	3
176	в результате	1	3
177	одной из	2	3
178	с ними	1	3
179	языкового сознания	1	3
180	из этого	2	3
181	которая не	1	3
182	например в	3	2
183	то в	2	2
184	в котором	1	2
185	той же	1	2
186	а как	1	2
187	же как	1	2
188	из своих	1	2
189	стиля в	1	2
190	это отношение	3	2
191	свою очередь	2	2
192	и то	4	2
193	в сочетании	1	2
194	между собой	2	2
195	в широком	1	2
196	столь же	1	2
197	по своему	2	2
198	одним словом	1	2
199	в ее	5	2
200	но не	11	2
201	что они	1	2
202	в самостоятельный	1	2
203	как к	2	2
204	хотя и	3	2
205	именно эта	1	2
206	сливается с	1	2
207	в целом	3	2
208	есть для	1	2
209	у каждого	1	2
210	в известном	1	2
211	и те	1	2
212	высказывания не	2	2
213	не могла	1	2
214	время и	1	2
215	ответственность за	1	2
216	том и	2	2
217	и по	2	2
218	на этом	1	2
219	одно и	3	2
220	те же	1	2
221	и непосредственное	1	2
222	глазами другого	1	2
223	том что	8	2
224	в этих	3	2
225	однако этот	1	2
226	до последнего	1	2
227	включен в	1	2
228	высказывания и	2	2
229	но он	3	2
230	друг другу	1	2
231	зрения и	1	2
232	даже в	3	2
233	остановимся на	1	2
234	тому что	2	2
235	на один	1	2
236	до известной	2	2
237	дело не	2	2
238	на язык	1	2
239	ему не	1	2
240	у нас	1	2
241	художественно не	1	2
242	вокруг него	1	2
243	между автором	1	2
244	и о	3	2
245	этот язык	1	2
246	зрения не	1	2
247	то время	1	2
248	так в	4	2
249	роль в	1	2
250	с языком	3	2
251	не с	2	2
252	в другом	3	2
253	за пределами	3	2
254	можно сказать	5	2
255	а также	5	2
256	в евгении	1	2
257	жизни но	2	2
258	или напротив	1	2
259	наконец в	1	2
260	известном смысле	1	2
261	и одновременно	5	2
262	здесь не	2	2
263	мы видим	1	2
264	и роман	1	2
265	между тем	4	2
266	и тем	2	2
267	с которыми	1	2
268	так что	1	2
269	же и	1	2
270	связи с	1	2
271	уже не	4	2
272	если мы	2	2
273	этого абзаца	1	2
274	как более	1	2
275	или даже	3	2
276	в известной	1	2
277	в одном	2	2
278	с этими	1	2
279	для того	2	2
280	в другой	1	2
281	не есть	1	2
282	а с	2	2
283	на которые	1	2
284	а на	5	2
285	с которым	1	2
286	жизнь в	1	2
287	к автору	1	2
288	от жанра	1	2
289	между этими	1	2
290	что все	1	2
291	в частности	13	2
292	так же	2	2
293	его как	1	2
294	этого типа	1	2
295	такого рода	10	2
296	речь в	1	2
297	для понимания	2	2
298	евгении онегине	1	2
299	должно быть	1	2
300	в контексте	3	2
301	автором и	1	2
302	этом случае	1	2
303	не предполагает	3	2
304	в условиях	1	2
305	того или	3	2
306	и слово	1	2
307	характерные для	1	2
308	как раз	3	2
309	слова так	1	2
310	не является	4	2
311	одна из	2	2
312	говорящего и	1	2
313	тем и	1	2
314	и другим	1	2
315	имеет дело	1	2
316	потому что	3	2
317	ни было	1	2
318	между ними	4	2
319	сказать что	4	2
320	автора в	1	2
321	или иного	3	2
322	одновременно и	1	2
323	и создается	1	1
324	других языков	1	1
325	художественного произведения	3	1
326	и через	1	1
327	в углублении	1	1
328	бы для	1	1
329	между всеми	1	1
330	это игра	1	1
331	и есть	1	1
332	из его	1	1
333	к особенностям	1	1
334	действительности и	1	1
335	иметь место	1	1
336	а напротив	1	1
337	которыми он	1	1
338	мы имеем	6	1
339	именно к	1	1
340	место в	4	1
341	смысла к	1	1
342	высказывания в	4	1
343	этих кругозоров	1	1
344	но она	2	1
345	и со	1	1
346	своему смыслу	1	1
347	как впрочем	1	1
348	языковом сознании	1	1
349	предстает как	1	1
350	который может	1	1
351	собой в	1	1
352	и возможности	1	1
353	на их	1	1
354	бы то	1	1
355	могло быть	2	1
356	даже вовсе	1	1
357	но как	2	1
358	а только	4	1
359	в сторону	2	1
360	не входит	2	1
361	со всеми	1	1
362	свою жизнь	2	1
363	не все	2	1
364	смыслу и	1	1
365	а через	1	1
366	отличие от	7	1
367	или иное	1	1
368	оно служит	1	1
369	по нем	1	1
370	в одной	1	1
371	в значительной	1	1
372	то или	1	1
373	языку в	1	1
374	в противном	2	1
375	и где	1	1
376	образом с	1	1
377	сознания в	3	1
378	могли бы	1	1
379	в действительности	1	1
380	и свою	1	1
381	в герое	1	1
382	в себя	2	1
383	к другому	1	1
384	таковы например	2	1
385	так или	3	1
386	имеем в	3	1
387	бы не	1	1
388	в этой	2	1
389	говорит не	1	1
390	на то	1	1
391	вследствие этого	1	1
392	с чем	1	1
393	что она	2	1
394	как единого	1	1
395	к миру	1	1
396	произведения она	1	1
397	он должен	3	1
398	жизнью и	1	1
399	мир как	1	1
400	так слово	1	1
401	языков или	1	1
402	или иных	2	1
403	не бывает	1	1
404	с такими	1	1
405	ни был	2	1
406	значительной степени	1	1
407	бы они	1	1
408	подход к	1	1
409	то ни	1	1
410	а затем	1	1
411	не дает	1	1
412	бы быть	1	1
