N	2gram	Bakhtin_fo_1	Stilisti
1	и в	50	42
2	не только	9	27
3	как бы	2	27
4	и т.п	4	24
5	прежде всего	15	22
6	и т.д	1	20
7	хотя бы	2	17
8	то же	11	15
9	но и	8	15
10	и не	14	14
11	не может	6	12
12	может быть	11	12
13	мы уже	11	11
14	как и	8	11
15	точки зрения	5	11
16	отнюдь не	5	10
17	в этом	25	10
18	и как	10	10
19	как мы	14	10
20	мы должны	2	10
21	что мы	2	10
22	мы не	3	9
23	при этом	3	9
24	в то	9	9
25	для того	5	9
26	общественной жизни	1	9
27	то что	6	9
28	в ней	4	8
29	все же	6	8
30	в себе	3	8
31	таким образом	11	8
32	и это	4	8
33	с тем	3	8
34	в зависимости	1	7
35	зависимости от	1	7
36	и на	8	7
37	в которой	2	7
38	было бы	2	7
39	так как	6	7
40	никогда не	2	7
41	же время	9	7
42	потому что	4	7
43	того чтобы	5	7
44	ничего не	9	7
45	с его	9	7
46	только в	4	7
47	и его	16	7
48	мы можем	1	7
49	а не	3	7
50	и от	1	7
51	во всех	6	6
52	мы будем	2	6
53	точку зрения	2	6
54	в этой	1	6
55	в нем	24	6
56	не в	5	6
57	в процессе	4	6
58	или как	4	6
59	когда мы	1	6
60	так и	12	6
61	в форме	3	6
62	в конце	9	6
63	или иной	2	6
64	в свою	2	6
65	той же	2	5
66	уже в	2	5
67	в нашем	2	5
68	в той	4	5
69	независимо от	1	5
70	и наконец	1	5
71	одно и	3	5
72	и с	4	5
73	же мы	1	5
74	с точки	2	5
75	а в	3	5
76	не является	2	5
77	те же	2	5
78	в его	13	5
79	и следовательно	4	5
80	и является	2	5
81	и их	8	5
82	с помощью	2	5
83	вместе с	3	5
84	слова и	2	5
85	своей жизни	4	5
86	у которого	1	5
87	и то	4	4
88	самом деле	1	4
89	тем же	1	4
90	себя в	1	4
91	и к	2	4
92	но в	10	4
93	в самом	8	4
94	что это	1	4
95	так сказать	7	4
96	уже не	2	4
97	в каждом	1	4
98	его в	3	4
99	самого начала	2	4
100	у нас	1	4
101	но все	5	4
102	всего в	1	4
103	к тому	3	4
104	той или	2	4
105	свою очередь	1	4
106	с самого	2	4
107	было в	1	4
108	если бы	5	4
109	в словах	1	4
110	о том	1	4
111	влияние на	4	4
112	которой мы	1	4
113	того что	2	4
114	один из	3	4
115	мы видим	3	4
116	мы увидим	1	4
117	в качестве	3	4
118	если мы	2	4
119	точка зрения	1	4
120	само собой	2	4
121	были бы	1	4
122	о своей	2	4
123	связаны с	3	4
124	то есть	33	4
125	к своему	2	4
126	и слушающего	1	4
127	все это	4	4
128	не существует	1	4
129	бы в	1	4
130	человека не	1	4
131	так же	6	4
132	отношения к	3	3
133	и само	1	3
134	только благодаря	1	3
135	жизни это	2	3
136	еще не	5	3
137	то он	1	3
138	которые связаны	1	3
139	нет и	2	3
140	перед нами	1	3
141	хотя и	3	3
142	та же	1	3
143	выражение в	2	3
144	вследствие этого	3	3
145	уже видели	1	3
146	не к	2	3
147	и вот	1	3
148	их в	3	3
149	будем говорить	1	3
150	здесь мы	1	3
151	об этом	2	3
152	лишь в	6	3
153	это не	6	3
154	чаще всего	1	3
155	ведь в	1	3
156	том что	4	3
157	что было	3	3
158	необходимо чтобы	2	3
159	в разных	5	3
160	связи с	6	3
161	да и	3	3
162	слова но	1	3
163	что оно	1	3
164	в виду	3	3
165	в ее	6	3
166	роль в	9	3
167	и здесь	1	3
168	и поэтому	1	3
169	связь между	2	3
170	жизни и	8	3
171	конечно не	4	3
172	только на	3	3
173	в данной	2	3
174	из них	1	3
175	его и	2	3
176	в котором	4	3
177	в одном	3	3
178	мы убедились	1	3
179	не становится	1	3
180	явления природы	1	3
181	что и	3	3
182	и даже	2	3
183	и эта	2	3
184	и уже	3	3
185	если не	1	3
186	в тех	1	3
187	этого слова	1	3
188	как только	1	3
189	этом случае	1	3
190	в целом	2	3
191	в начале	3	3
192	но для	2	3
193	и для	4	3
194	для нас	2	3
195	и все	6	3
196	главным образом	1	3
197	между ними	3	3
198	не знает	3	3
199	сказать что	3	3
200	я и	1	2
201	с природой	1	2
202	также и	2	2
203	человека и	11	2
204	нас не	1	2
205	в какой-то	3	2
206	со всех	1	2
207	и конечно	1	2
208	мы имеем	1	2
209	всех его	1	2
210	вопрос о	2	2
211	нам в	1	2
212	для наших	1	2
213	встречи и	1	2
214	и он	1	2
215	и определяется	2	2
216	между собой	4	2
217	природы и	2	2
218	и всего	1	2
219	но не	5	2
220	и указывает	1	2
221	значение и	3	2
222	должны были	1	2
223	отношение к	2	2
224	себе и	3	2
225	и разными	1	2
226	форме и	1	2
227	как в	6	2
228	и нет	2	2
229	переживания и	1	2
230	тех случаях	1	2
231	может получить	1	2
232	между двумя	6	2
233	бы и	1	2
234	ни один	1	2
235	все эти	9	2
236	бы не	1	2
237	и те	3	2
238	тому же	2	2
239	друг другу	2	2
240	человек не	1	2
241	этот процесс	5	2
242	и сам	1	2
243	по своему	1	2
244	человек с	1	2
245	человека в	17	2
246	значительной степени	1	2
247	связанные с	1	2
248	зрения на	1	2
249	ясно что	2	2
250	есть не	3	2
