N	2gram	Propp_Morf_1	Stilisti
1	и в	13	42
2	не только	4	27
3	как бы	3	27
4	прежде всего	9	22
5	хотя бы	4	17
6	то же	7	15
7	но и	4	15
8	и не	12	14
9	не может	14	12
10	может быть	52	12
11	мы уже	1	11
12	как и	3	11
13	точки зрения	2	11
14	в этом	14	10
15	и как	5	10
16	как мы	6	10
17	мы должны	3	10
18	что мы	2	10
19	мы не	8	9
20	при этом	1	9
21	в то	3	9
22	для того	2	9
23	то что	8	9
24	все же	7	8
25	в себе	1	8
26	таким образом	21	8
27	с тем	2	8
28	что же	2	8
29	и на	1	7
30	в которой	3	7
31	было бы	3	7
32	и тем	2	7
33	так как	16	7
34	потому что	3	7
35	того чтобы	3	7
36	ничего не	4	7
37	с его	2	7
38	только в	2	7
39	и его	1	7
40	мы можем	2	7
41	а не	11	7
42	во всех	4	6
43	мы будем	3	6
44	точку зрения	1	6
45	в этой	2	6
46	но ведь	1	6
47	на его	4	6
48	не в	3	6
49	или как	1	6
50	в области	1	6
51	когда мы	1	6
52	так и	6	6
53	в форме	6	6
54	в нашем	3	5
55	в той	1	5
56	независимо от	3	5
57	и наконец	1	5
58	одно и	1	5
59	и с	1	5
60	того или	1	5
61	с точки	2	5
62	тому что	4	5
63	а в	7	5
64	не является	3	5
65	же самое	1	5
66	те же	1	5
67	в его	1	5
68	и их	2	5
69	точек зрения	1	5
70	с помощью	1	5
71	как это	3	5
72	у которого	1	5
73	и то	1	4
74	самом деле	4	4
75	себя в	1	4
76	что именно	1	4
77	и к	4	4
78	но в	2	4
79	что это	1	4
80	уже не	2	4
81	можно было	2	4
82	в каждом	1	4
83	его в	2	4
84	самого начала	1	4
85	на него	3	4
86	у нас	2	4
87	но все	3	4
88	к тому	4	4
89	с самого	1	4
90	если бы	2	4
91	о том	2	4
92	можно сказать	2	4
93	того что	3	4
94	один из	5	4
95	мы видим	13	4
96	мы увидим	8	4
97	в качестве	5	4
98	если мы	5	4
99	вопроса о	1	4
100	само собой	1	4
101	были бы	1	4
102	а с	2	4
103	и пр	37	4
104	не существует	3	4
105	к данной	1	4
106	так же	3	4
107	вряд ли	2	3
108	на самом	4	3
109	которое может	2	3
110	еще не	3	3
111	ответ на	1	3
112	или иное	1	3
113	перед нами	10	3
114	хотя и	3	3
115	та же	2	3
116	если он	1	3
117	и вот	1	3
118	их в	1	3
119	будем говорить	1	3
120	здесь мы	3	3
121	не будет	1	3
122	об этом	4	3
123	это не	6	3
124	чаще всего	7	3
125	том что	4	3
126	что такое	3	3
127	связи с	10	3
128	и развития	1	3
129	в виду	1	3
130	и здесь	5	3
131	то мы	4	3
132	только на	1	3
133	в данной	1	3
134	из них	3	3
135	его и	2	3
136	не так	1	3
137	в одном	1	3
138	от того	3	3
139	что и	7	3
140	и даже	1	3
141	мы легко	1	3
142	так называемой	1	3
143	если не	1	3
144	в тех	6	3
145	этом случае	8	3
146	в целом	3	3
147	как таковой	2	3
148	в начале	3	3
149	но для	2	3
150	тех или	1	3
151	и для	2	3
152	для нас	2	3
153	и все	1	3
154	главным образом	4	3
155	но вот	2	3
156	между ними	1	3
157	не знает	1	3
158	сказать что	2	3
159	также и	4	2
160	что эти	2	2
161	и этот	1	2
162	его не	1	2
163	мы имеем	9	2
164	вопрос о	7	2
165	ответить на	1	2
166	на эти	1	2
167	для наших	1	2
168	как не	1	2
169	между собой	4	2
170	но не	4	2
171	случай когда	1	2
172	значение и	1	2
173	отношение к	1	2
174	первый взгляд	3	2
175	как в	3	2
176	и нет	1	2
177	помнить что	1	2
178	тех случаях	2	2
179	целый ряд	3	2
180	как уже	2	2
181	может получить	1	2
182	между двумя	1	2
183	как таковое	2	2
184	к чему	3	2
185	представляет собой	17	2
186	все эти	2	2
187	бы не	1	2
188	по своему	2	2
189	связанные с	1	2
190	ясно что	5	2
191	с этим	11	2
192	но мы	3	2
193	не всегда	9	2
194	в этих	13	2
195	и при	1	2
196	в своей	1	2
197	ли он	1	2
198	мы говорили	1	2
199	в которых	2	2
200	но эта	1	2
201	которые в	1	2
202	однако в	2	2
203	не должно	1	2
204	не сумеем	2	2
205	в основе	1	2
206	этом отношении	1	2
207	точном смысле	1	2
208	или иных	1	2
209	в каком	2	2
210	и несколько	1	2
211	перед ним	1	2
212	между типом	1	2
213	не есть	1	2
214	здесь не	2	2
215	в пределах	3	2
216	как с	1	2
217	и когда	1	2
218	с собой	3	2
219	из двух	2	2
220	не с	2	2
221	а этот	1	2
222	вошел в	1	2
