N	4gram	Berdyaev_M_2	Problema
1	не что иное как	3	2
2	можно ли сказать что	1	2
3	есть не что иное	3	2
4	и во многих других	1	1
5	самых гадких и глупых	1	1
6	самого только одной впрочем	1	1
7	не сам по себе	1	1
8	моих мыслей и чувств	1	1
9	есть знак того что	1	1
10	меня самого только одной	1	1
11	и должно быть в	1	1
12	только самых гадких и	1	1
13	одной впрочем моей стороны	1	1
14	так же как и	3	1
15	только одной впрочем моей	1	1
16	мыслей и чувств только	1	1
17	моей стороны моих мыслей	1	1
18	впрочем моей стороны моих	1	1
19	воплощение меня самого только	1	1
20	в записках из подполья	1	1
21	а может быть и	1	1
22	и чувств только самых	1	1
23	чувств только самых гадких	1	1
24	стороны моих мыслей и	1	1
