N	2gram	Trubetskoy_1	PoTuStor
1	может быть	10	17
2	и в	26	16
3	и пр	1	12
4	в этом	15	9
5	и проч	2	9
6	таким образом	22	9
7	и только	4	9
8	мы можем	2	9
9	прежде всего	2	9
10	и с	10	8
11	точки зрения	13	8
12	и его	1	8
13	не может	4	8
14	совершенно не	1	8
15	с его	2	7
16	не только	10	7
17	сказать что	2	7
18	самом деле	1	6
19	конечно не	2	6
20	при этом	3	6
21	с точки	6	6
22	и это	2	6
23	для него	3	6
24	и к	5	6
25	еще не	2	5
26	в чем	1	5
27	отношение к	5	5
28	все эти	6	5
29	что такое	1	5
30	только для	2	5
31	ни в	1	5
32	как бы	12	5
33	и ее	1	4
34	и на	2	4
35	и наконец	2	4
36	но в	7	4
37	в этой	4	4
38	в нем	4	4
39	его в	1	4
40	все это	6	4
41	самого начала	2	4
42	с ее	1	4
43	с самого	3	4
44	так и	6	4
45	можно сказать	3	4
46	в его	5	4
47	а потому	1	4
48	с ними	1	4
49	только в	4	4
50	для всех	2	4
51	и их	1	4
52	так как	9	4
53	и даже	3	4
54	но и	9	4
55	и не	8	4
56	и все	2	4
57	хотя бы	3	4
58	все что	2	4
59	отношения к	1	3
60	во всех	2	3
61	в общем	8	3
62	и есть	1	3
63	и как	3	3
64	учение о	4	3
65	с их	1	3
66	их в	1	3
67	на этом	1	3
68	на этой	1	3
69	том что	7	3
70	во время	4	3
71	сих пор	5	3
72	в одном	3	3
73	по крайней	5	3
74	до сих	5	3
75	те же	2	3
76	мира и	1	3
77	по сравнению	2	3
78	с другими	4	3
79	крайней мере	5	3
80	в том	11	3
81	только на	1	3
82	мы знаем	1	3
83	всяком случае	6	3
84	в области	9	3
85	вместе с	15	3
86	и потому	6	3
87	сравнению с	2	3
88	могут быть	1	3
89	что в	9	3
90	в этих	4	3
91	а в	4	3
92	то что	7	3
93	только как	1	3
94	жизни и	2	3
95	во всяком	6	3
96	же как	3	2
97	в самом	4	2
98	и этот	1	2
99	мы уже	1	2
100	мы не	1	2
101	и о	3	2
102	того же	6	2
103	на них	1	2
104	между собой	1	2
105	из этих	10	2
106	совсем не	1	2
107	друг на	2	2
108	с этим	1	2
109	желаний и	1	2
110	в этот	1	2
111	что это	3	2
112	и через	1	2
113	он не	4	2
114	и по	4	2
115	то же	4	2
116	по своему	2	2
117	связанные с	7	2
118	связанных с	2	2
119	было бы	1	2
120	в жизни	1	2
121	в них	2	2
122	как и	1	2
123	и чувств	1	2
124	в своей	1	2
125	все и	1	2
126	рождение и	1	2
127	этих трех	1	2
128	не менее	3	2
129	никогда не	5	2
130	и лишь	1	2
131	понятия и	1	2
132	в каком	1	2
133	не могут	2	2
134	что оно	4	2
135	как не	1	2
136	только то	1	2
137	как с	1	2
138	для этого	2	2
139	с ним	1	2
140	похожим на	1	2
141	о том	6	2
142	другими словами	1	2
143	путь к	3	2
144	что и	6	2
145	во всей	1	2
146	один из	2	2
147	сделать это	1	2
148	мы видим	1	2
149	что он	4	2
150	и действительно	2	2
151	и так	1	2
152	всех его	1	2
153	со всеми	2	2
154	не имеющие	1	2
155	не можем	1	2
156	в начале	2	2
157	на этих	1	2
158	в душе	1	2
159	и других	1	2
160	к ним	3	2
161	у него	1	2
162	на друга	2	2
163	его все	1	2
164	что мы	2	2
165	в одно	2	2
166	с помощью	1	2
167	так же	5	2
168	с этой	3	2
169	в свое	1	2
170	но это	1	2
171	и таким	3	2
172	и для	5	2
173	не существует	1	2
174	но зато	1	2
175	ни было	2	2
176	нет никаких	1	2
177	не есть	1	2
178	всех других	2	2
179	к этому	3	2
180	можно назвать	2	2
181	они не	1	2
182	с новыми	1	1
183	человека и	1	1
184	личной жизни	1	1
185	он может	1	1
186	или к	1	1
187	это и	1	1
188	другому человеку	1	1
189	полагают что	1	1
190	явления и	1	1
191	когда человек	2	1
192	культура не	1	1
193	что эти	3	1
194	и могут	1	1
195	его не	2	1
196	к нашей	1	1
