N	2gram	Berdyaev_V_1	Psycholo
1	то что	9	44
2	и в	16	33
3	в этом	4	28
4	и что	3	25
5	как бы	5	25
6	потому что	4	24
7	для того	1	23
8	том что	2	22
9	того чтобы	2	22
10	может быть	1	22
11	что в	3	21
12	в том	3	21
13	что он	4	20
14	и мы	3	15
15	как это	1	14
16	что это	1	13
17	то есть	1	13
18	так же	1	13
19	и не	20	13
20	все это	5	13
21	в самом	1	12
22	к тому	3	12
23	и все	4	12
24	так как	9	12
25	что все	4	11
26	говорит что	1	10
27	в его	4	10
28	как она	1	10
29	то же	1	9
30	в этой	1	9
31	и если	1	9
32	в конце	3	8
33	вместе с	1	8
34	в своем	1	7
35	не только	2	7
36	в нем	4	7
37	для нас	2	7
38	и т	2	6
39	в ней	4	6
40	что они	7	6
41	все эти	3	6
42	и вот	1	6
43	тому что	3	6
44	это не	2	6
45	мы видим	1	6
46	у него	1	6
47	а не	7	6
48	что мы	4	6
49	мы не	2	5
50	в целом	1	5
51	и на	1	5
52	все же	1	5
53	как и	4	5
54	никогда не	3	5
55	и это	2	5
56	мы будем	1	5
57	с ним	2	5
58	вовсе не	1	5
59	связь с	1	5
60	и есть	4	4
61	в которой	1	4
62	я не	1	4
63	на нас	2	4
64	говорит о	1	4
65	с именем	1	4
66	не будет	2	4
67	с тем	2	4
68	и уже	1	4
69	для чего	1	4
70	в своей	3	4
71	одна из	2	4
72	на него	1	4
73	а в	2	4
74	у нас	1	4
75	как мы	1	4
76	можно было	2	4
77	не просто	1	4
78	того что	5	4
79	в двух	1	4
80	только в	2	4
81	и так	1	4
82	в жизни	3	4
83	от этих	2	4
84	что не	4	4
85	с этой	1	4
86	первый раз	3	4
87	жизни и	3	4
88	ее в	2	4
89	это в	1	4
90	к этому	1	4
91	речь идет	1	3
92	и до	1	3
93	и за	2	3
94	в первый	3	3
95	говорить о	4	3
96	то это	3	3
97	но не	2	3
98	конце концов	1	3
99	как в	1	3
100	от этого	3	3
101	на этом	1	3
102	ни в	3	3
