N	4gram	Tiupa_Hudo_1	DiskursI
1	в то же время	5	4
2	состоит в том что	4	2
3	одного и того же	2	2
4	одно и то же	3	2
5	в той мере в	1	1
6	случайности полноценная биография возможна	1	1
7	в классическом романе реалистической	1	1
8	биография и не дает	1	1
9	за блужданиями его под	1	1
10	не дает позвоночника роману	1	1
11	присутствия в мире на	1	1
12	преодолеваемая даль и сближение	1	1
13	звук в архитектуру души	1	1
14	чего бы то ни	1	1
15	кощунство и непристойность необыкновенное	1	1
16	становящегося человека с его	1	1
17	блужданиями его под сводами	1	1
18	запрета есть профанация священного	1	1
19	где образ становящегося человека	1	1
20	священного новелла ночной жанр	1	1
21	и сближение но не	1	1
22	новелле есть нарушение запрета	1	1
23	под сводами чужой психики	1	1
24	той мере в какой	1	1
25	новелла ночной жанр посрамляющий	1	1
26	ценностно-смысловой картины мира с	1	1
27	заинтересовывать судьбой отдельных лиц	1	1
28	случая непредсказуемое стечение обстоятельств	1	1
29	может обладать собственным смыслом	1	1
30	развития самоопределяющегося субъекта жизни	1	1
31	дает позвоночника роману человек	1	1
32	жизненным опытом выводится в	1	1
33	словесное кощунство и непристойность	1	1
34	императивной нормы ни в	1	1
35	бог сойти с ума	1	1
36	бросает звук в архитектуру	1	1
37	уникальным жизненным опытом выводится	1	1
38	быть субъектом ролевого действия	1	1
39	бы то ни было	1	1
40	выготским и н.и жинкиным	1	1
41	л.с выготским и н.и	1	1
42	и развития самоопределяющегося субъекта	1	1
43	в новелле есть нарушение	1	1
44	нас самих состоят все	1	1
45	жанр посрамляющий умершее солнце	1	1
46	субъекта объекта и адресата	1	1
47	нарушение запрета есть профанация	1	1
48	мире случайности полноценная биография	1	1
49	иной конкретной ценностно-смысловой картины	1	1
50	то есть субъектом самоопределения	1	1
51	есть биография и не	1	1
52	типу актанту не может	1	1
53	и не быть субъектом	1	1
54	потому что из нас	1	1
55	игра случая непредсказуемое стечение	1	1
56	реализатором самобытного смысла развертывающейся	1	1
57	из нас самих состоят	1	1
58	дай мне бог сойти	1	1
59	глазами анекдота это игра	1	1
60	мире императивной нормы ни	1	1
61	одном и том же	1	1
62	полноценная биография возможна только	1	1
63	и реализатором самобытного смысла	1	1
64	обладать собственным смыслом ни	1	1
65	сближение но не слияние	2	1
66	конкретной ценностно-смысловой картины мира	1	1
67	ни анекдот ни притча	1	1
68	непристойность необыкновенное в новелле	1	1
69	жизни то есть субъектом	1	1
70	в мире императивной нормы	1	1
71	мне бог сойти с	1	1
72	не быть субъектом ролевого	1	1
73	собственным смыслом ни в	1	1
74	посрамление словесное кощунство и	1	1
75	в той или иной	2	1
76	необходимости ни в мире	1	1
77	ни притча не знают	1	1
78	профанация священного новелла ночной	1	1
79	в противоположность характеру типу	1	1
80	даль и сближение но	1	1
81	смыслом ни в мире	1	1
82	опытом выводится в просторную	1	1
83	той или иной мере	1	1
84	ни в мире императивной	1	1
85	анекдота это игра случая	1	1
86	и в то же	1	1
87	возможна только в вероятностном	1	1
88	просторную сферу исторического бытия	1	1
89	его уникальным жизненным опытом	1	1
90	актанту не может обладать	1	1
91	мире всеобщей межличностной соотносительности	1	1
92	или субъектом инициативного самообнаружения	1	1
93	еще не есть биография	1	1
94	носителем и реализатором самобытного	1	1
95	биография возможна только в	1	1
96	человека с его уникальным	1	1
97	присутствия я в мире	4	1
98	характеру типу актанту не	1	1
99	в том числе и	1	1
100	не есть биография и	1	1
101	искусство заинтересовывать судьбой отдельных	1	1
102	или субъектом этического выбора	1	1
103	и не дает позвоночника	1	1
104	становления и развития самоопределяющегося	1	1
105	что из нас самих	1	1
106	это игра случая непредсказуемое	1	1
107	образ становящегося человека с	1	1
108	грани между индивидуальными жизнями	1	1
109	следит за блужданиями его	1	1
110	всем потому что из	1	1
111	анекдот ни притча не	1	1
112	ночной жанр посрамляющий умершее	1	1
113	что в имени тебе	2	1
114	в имени тебе моем	1	1
115	с его уникальным жизненным	1	1
116	не может обладать собственным	1	1
117	мы имеем дело не	1	1
118	и непристойность необыкновенное в	1	1
119	необыкновенное в новелле есть	1	1
120	есть нарушение запрета есть	1	1
121	не дай мне бог	1	1
122	есть профанация священного новелла	1	1
123	совершенно иной конкретной ценностно-смысловой	1	1
124	противоположность характеру типу актанту	1	1
125	в просторную сферу исторического	1	1
126	выводится в просторную сферу	1	1
127	его под сводами чужой	1	1
128	жизнь глазами анекдота это	1	1
129	интересно всем потому что	1	1
