N	2gram	Savitsky_E_1	UchenyiS
1	и в	37	14
2	а не	2	10
3	не только	18	10
4	прежде всего	9	8
5	и не	14	8
6	не может	9	7
7	в этом	12	7
8	то что	6	7
9	может быть	6	6
10	то же	15	5
11	и только	3	5
12	хотя бы	15	5
13	с другой	7	4
14	но и	14	4
15	в их	11	4
16	в россии	5	4
17	в этой	2	4
18	конечно не	1	4
19	то ни	4	3
20	и то	2	3
21	было бы	8	3
22	нашему мнению	2	3
23	как и	7	3
24	для этого	1	3
25	в частности	5	3
26	в своей	8	3
27	или точнее	2	3
28	бы то	4	3
29	очевидно что	3	3
30	к сожалению	1	3
31	в то	16	3
32	все же	1	3
33	но в	14	3
34	пришлось бы	1	3
35	же время	14	3
36	в области	11	3
37	только к	2	3
38	у нас	1	3
39	другой стороны	2	3
40	по нашему	3	3
41	для него	1	3
42	не как	1	3
43	ни было	4	3
44	не о	1	3
45	что все	2	2
46	и с	2	2
47	противном случае	1	2
48	должна быть	2	2
49	к области	1	2
50	в некоторых	2	2
51	мы не	4	2
52	является в	1	2
53	если бы	2	2
54	что мы	1	2
55	как таковой	1	2
56	если не	1	2
57	том что	6	2
58	сводится к	1	2
59	но даже	4	2
60	меньшей степени	2	2
61	литературы и	1	2
62	нам представляется	1	2
63	нас в	1	2
64	с его	1	2
65	но не	5	2
66	в сторону	2	2
67	в его	2	2
68	что и	3	2
69	по себе	4	2
70	более чем	2	2
71	но это	1	2
72	этом смысле	3	2
73	в противном	1	2
74	могли бы	1	2
75	в том	11	2
76	тех или	1	2
77	и для	3	2
78	в себе	9	2
79	при таком	1	2
80	в самом	4	2
81	между тем	8	2
82	только в	9	2
83	мы получаем	1	2
84	не в	5	2
85	для всех	1	2
86	не есть	2	2
87	этом отношении	3	2
88	или иных	1	2
89	бы и	3	2
90	всех этих	1	2
91	не могут	2	2
92	могут быть	2	2
93	смысле этого	1	2
94	тем что	3	2
95	таким образом	2	2
96	своей совокупности	1	1
97	для себя	1	1
98	и это	1	1
99	тем в	3	1
100	в последние	6	1
101	об этом	1	1
102	поэзии и	1	1
103	же как	5	1
104	в исторической	1	1
105	не делает	1	1
106	такой момент	1	1
107	значительный сдвиг	1	1
108	в этот	1	1
109	но по	2	1
110	даже не	1	1
111	то есть	6	1
112	говорить не	1	1
113	значительной мере	1	1
114	входит в	1	1
115	данном случае	2	1
116	или иначе	1	1
117	существует в	1	1
118	но нам	1	1
119	и прежде	3	1
120	или меньшей	1	1
121	степени и	1	1
122	в пределах	25	1
123	или по	2	1
124	к которой	1	1
125	что для	1	1
126	культурная ценность	3	1
127	никогда не	3	1
128	к созданию	1	1
129	так и	10	1
130	сводить к	1	1
131	одной стороны	8	1
132	той же	1	1
133	в сфере	3	1
134	относится к	1	1
135	несомненно представляет	1	1
136	у других	1	1
137	с тем	3	1
138	сдвиг в	1	1
139	в не	2	1
140	именно к	2	1
141	и разнообразие	1	1
142	и даже	6	1
143	должно быть	1	1
144	иначе говоря	2	1
145	сводится именно	1	1
146	какой именно	1	1
