N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	40
2	и не	20	30
3	и есть	4	19
4	а не	7	18
5	и т	2	17
6	ничего не	1	17
7	может быть	1	17
8	то что	9	16
9	т д	2	15
10	и в	16	15
11	как бы	5	14
12	не имеет	3	14
13	так как	9	14
14	что это	1	13
15	того что	5	13
16	это не	2	12
17	в этом	4	11
18	и вот	1	11
19	говорить о	4	11
20	в том	3	11
21	прежде всего	2	11
22	и все	4	11
23	о личности	1	10
24	том что	2	10
25	потому что	4	10
26	личности и	3	10
27	то же	1	9
28	мы не	2	9
29	в виду	1	9
30	и что	3	9
31	уже не	2	9
32	все это	5	9
33	в чем	3	8
34	не в	3	8
35	не только	2	8
36	ни в	3	8
37	и это	2	8
38	и ее	1	8
39	это значит	1	8
40	должна быть	3	7
41	не просто	1	7
42	и мы	3	7
43	как и	4	7
44	по крайней	1	7
45	и вообще	1	7
46	что оно	1	7
47	только в	2	7
48	крайней мере	1	7
49	что мы	4	7
50	личность есть	1	7
51	что он	4	7
52	что в	3	7
53	хотя и	5	6
54	и тем	1	6
55	что и	3	6
56	вовсе не	1	6
57	нет ничего	3	6
58	в результате	1	6
59	и на	1	5
60	с его	3	5
61	в своем	1	5
62	в нем	4	5
63	есть не	1	5
64	в жизни	3	5
65	что я	3	5
66	в ней	4	5
67	но что	1	5
68	того чтобы	2	5
69	я не	1	5
70	в себя	2	5
71	так и	4	5
72	и можно	1	5
73	для того	1	5
74	и для	3	5
75	есть то	1	5
76	хотя бы	3	4
77	что они	7	4
78	в этой	1	4
79	и стало	1	4
80	то ни	1	4
81	и с	1	4
82	с тем	2	4
83	и уже	1	4
84	бытия и	1	4
85	мир и	2	4
86	она не	1	4
87	видим что	1	4
88	чудо и	1	4
89	что все	4	4
90	еще не	8	4
91	в его	4	4
92	мы видим	1	4
93	с ними	1	4
94	в одном	1	4
95	так же	1	4
96	личность как	2	4
97	но это	3	4
98	один из	2	4
99	лишь как	1	4
100	бы в	1	4
101	жизни и	3	4
102	но и	5	4
103	и то	2	3
104	и тут	1	3
105	же что	1	3
106	в истории	8	3
107	как в	1	3
108	своей и	1	3
109	и нет	1	3
110	но в	3	3
111	от этого	3	3
112	бы и	3	3
113	все эти	3	3
114	личности но	1	3
115	и если	1	3
116	на этом	1	3
117	не всегда	1	3
118	в своей	3	3
119	в их	1	3
120	нет никакого	1	3
121	есть прежде	1	3
122	свободы и	12	3
123	найти в	1	3
124	могут быть	2	3
125	к жизни	1	3
126	в словах	1	3
127	вот почему	2	3
128	д и	1	3
129	в виде	1	3
130	себя и	1	3
131	что не	4	3
132	говорит о	1	3
133	у нас	1	3
134	и потому	7	3
135	так хорошо	1	3
136	от него	2	3
137	с ним	2	3
138	есть и	1	3
139	к этому	1	3
140	нем нет	2	2
141	человека и	6	2
142	он всегда	1	2
143	что уже	1	2
144	вопрос о	1	2
145	бы ни	1	2
146	думаю что	1	2
147	во всех	3	2
148	природы и	1	2
149	мы будем	1	2
150	но как	1	2
151	себе и	1	2
152	и будет	3	2
153	нет и	2	2
154	и чем	1	2
155	все же	1	2
156	личности а	2	2
157	в самом	1	2
158	в которой	1	2
159	законам природы	1	2
160	тоже не	1	2
161	действии и	1	2
162	тут не	1	2
163	с этой	1	2
164	но все	1	2
165	не будет	2	2
166	лишь в	3	2
167	истории и	2	2
168	весь мир	1	2
169	в них	3	2
170	религиозного сознания	5	2
171	все равно	2	2
172	между собою	1	2
173	должно быть	3	2
174	в котором	4	2
175	по сравнению	1	2
176	чудо то	2	2
177	не понимает	1	2
178	что было	2	2
179	есть еще	1	2
180	не могли	2	2
181	что есть	5	2
182	и другое	1	2
183	самоутверждение личности	1	2
184	того как	1	2
185	думают что	1	2
186	и именно	1	2
187	никогда не	3	2
188	и по	1	2
189	во всем	1	2
190	как не	3	2
191	не по	1	2
192	может и	1	2
193	что на	1	2
194	не могут	2	2
195	в абсолютном	3	2
196	и тогда	2	2
197	в ее	1	2
198	своей истории	2	2
199	в разных	1	2
200	находится в	1	2
201	никогда и	1	2
202	по смыслу	1	2
203	ты ли	1	2
204	ее в	2	2
205	но мы	2	2
206	и во	2	2
207	я думаю	2	2
208	я вижу	1	2
209	от этих	2	2
210	мы хотим	4	2
211	абсолютной и	1	2
212	и так	1	2
213	образа в	1	2
214	же и	1	2
215	конечно не	2	2
216	то и	1	2
217	по законам	1	2
218	тем что	2	2
219	не было	3	2
220	что человек	1	2
221	другой стороны	1	2
222	я говорю	2	2
223	вместе с	1	2
224	как это	1	2
225	что личность	1	2
226	в человеке	1	2
227	сравнению с	1	2
228	тогда нет	1	2
229	да и	2	2
230	поскольку он	1	2
231	только мы	1	2
232	сделать это	1	2
233	это как	1	2
234	тот кто	2	2
235	это все	2	2
236	оно не	3	2
237	и идеи	1	2
238	в противоположность	1	2
239	во всяком	2	2
240	все что	4	2
241	а между	2	1
242	речь идет	1	1
243	в сердце	1	1
244	которое может	1	1
245	его не	2	1
246	их и	1	1
247	божьего и	1	1
248	говорим мы	1	1
249	от всякой	1	1
250	только это	1	1
251	но она	1	1
252	то это	3	1
253	кто же	1	1
254	третье и	2	1
255	что люди	1	1
256	личности она	1	1
257	из сторон	1	1
258	к богу	8	1
259	в новом	1	1
260	отношение к	1	1
261	в едином	1	1
262	и я	4	1
263	жизни там	1	1
264	бытия на	1	1
265	мира есть	1	1
266	что нет	1	1
267	тот же	3	1
268	истины и	1	1
269	да будет	1	1
270	существует лишь	1	1
271	чего хочет	1	1
272	свободе человека	1	1
273	ничего и	2	1
274	роль в	1	1
275	но прежде	1	1
276	нам и	1	1
277	к миру	1	1
278	раз навсегда	2	1
279	о которой	1	1
280	как абсолютная	1	1
281	абсолютная истина	1	1
282	хотел только	1	1
283	будем говорить	1	1
284	людей и	2	1
285	если нет	1	1
286	ничего выше	1	1
287	да неужто	1	1
288	конечно в	1	1
289	а его	1	1
290	художественный образ	1	1
291	и очень	1	1
292	для чего	1	1
293	тысячу лет	2	1
294	ведет к	1	1
295	теперь это	1	1
296	о вечности	1	1
297	опять-таки не	1	1
298	могут сказать	1	1
299	но я	1	1
300	привязанность к	1	1
