N	3gram	Berdyaev_N_1	Problemy
1	до сих пор	1	8
2	не может быть	4	8
3	в большинстве случаев	1	8
4	и не может	1	7
5	в том числе	1	4
6	в отличие от	1	3
7	том числе и	1	3
8	с другой стороны	2	3
9	как и в	1	3
10	по своей природе	1	2
11	и до сих	1	2
12	в этом смысле	2	2
13	сами по себе	1	2
14	но и в	1	2
15	можно было бы	1	2
16	в том что	1	2
17	и в большинстве	1	2
18	о том что	1	2
19	конечно не в	1	2
20	и не в	1	2
21	а не к	1	1
22	и в жизни	1	1
23	прежде всего как	1	1
24	у него как	1	1
25	в средние века	3	1
26	же как и	1	1
27	не было и	1	1
28	и во всех	1	1
29	в свою противоположность	1	1
30	не менее чем	1	1
31	не знает что	1	1
32	в значительной степени	1	1
33	так же как	2	1
34	с одной стороны	2	1
35	в нем не	1	1
36	это конечно не	1	1
37	жизни не может	1	1
38	во всяком случае	1	1
39	и в формах	1	1
40	бытия и небытия	1	1
41	этого нельзя сказать	1	1
42	в этом он	1	1
43	что совершается в	1	1
44	и вместе с	1	1
45	место в жизни	1	1
46	что в нем	2	1
47	не только в	1	1
48	выходит за пределы	1	1
49	но она не	1	1
50	есть прежде всего	1	1
51	как ни в	1	1
52	лицом к лицу	3	1
53	в высшей степени	6	1
54	бы он и	1	1
