N	3gram	Vinokur_St_1	KFilosof
1	по отношению к	3	21
2	не может быть	5	11
3	с точки зрения	8	10
4	ни в чем	1	4
5	на самом деле	6	3
6	в котором он	1	3
7	в этом смысле	1	3
8	того или иного	4	3
9	и в этом	3	3
10	но все эти	1	3
11	в соответствии с	1	2
12	в нем нельзя	1	2
13	другое дело когда	1	2
14	бы то ни	1	2
15	то или иное	3	2
16	во всех этих	1	2
17	ни в каком	1	2
18	то же время	4	2
19	вопрос о том	2	2
20	той или иной	1	2
21	в то же	4	2
22	тем не менее	2	2
23	в том что	17	2
24	а не в	1	2
25	и только в	3	2
26	то все же	1	1
27	а во втором	1	1
28	на то что	4	1
29	не может не	1	1
30	и говорить о	1	1
31	именно там где	1	1
32	может не знать	1	1
33	никогда не было	1	1
34	мы говорим о	1	1
35	во всей полноте	1	1
36	в каждом случае	1	1
37	в настоящее время	1	1
38	я позволю себе	1	1
39	в том же	1	1
40	точки зрения его	1	1
41	только в том	3	1
42	в лучшем случае	1	1
43	в зависимости от	1	1
44	хотя бы и	2	1
45	тем или иным	3	1
46	не существует все	1	1
47	здесь дело не	1	1
48	ведь это не	1	1
49	о том кто	1	1
50	но это не	1	1
51	причем все эти	1	1
52	и не в	1	1
53	и то что	2	1
54	может быть и	2	1
55	и в то	1	1
56	ту или иную	1	1
57	при таком положении	2	1
58	но в то	2	1
59	смысле этого слова	1	1
60	это можно сделать	1	1
61	и по отношению	1	1
62	в том случае	1	1
63	не в том	2	1
64	с нашей точки	1	1
65	это не значит	3	1
66	дело в том	4	1
67	во всяком случае	6	1
68	лежащий в основе	1	1
69	быть не может	1	1
70	я не могу	1	1
71	что в области	3	1
72	для того чтобы	10	1
73	и в своих	1	1
74	что это можно	1	1
75	она исходит из	1	1
76	было бы совершенно	1	1
77	жизни и смерти	1	1
78	все же будет	1	1
79	нашей точки зрения	1	1
80	как бы ни	1	1
81	в то или	1	1
82	к тому что	1	1
83	в том смысле	2	1
84	не значит что	3	1
85	если бы оно	1	1
86	это может быть	1	1
87	дело не в	2	1
88	что и в	4	1
89	конечно это не	1	1
90	могло бы быть	1	1
91	точки зрения той	1	1
92	а в самом	1	1
93	на том что	1	1
