N	3gram	Tiupa_Vved_1	FransuaR
1	то же время	3	9
2	в то же	4	9
3	в том что	3	6
4	в этом отношении	4	5
5	в связи с	1	5
6	до известной степени	1	4
7	на самом деле	3	4
8	в том числе	1	4
9	как мы видели	2	4
10	здесь не в	1	3
11	в нем не	1	3
12	и прежде всего	1	3
13	потому что она	1	2
14	то же самое	1	2
15	в отличие от	2	2
16	том числе и	1	2
17	играют существенную роль	1	2
18	можно было бы	2	2
19	о том как	1	2
20	в данном случае	6	2
21	не может быть	3	2
22	то есть в	1	2
23	можно сказать что	1	2
24	как бы в	1	2
25	здесь как и	1	2
26	к тому же	4	2
27	и того же	1	1
28	что иное как	1	1
29	хотя и не	1	1
30	в той или	1	1
31	на котором он	1	1
32	по отношению к	7	1
33	но на самом	1	1
34	в неразрывном единстве	1	1
35	те же самые	1	1
36	образов но в	1	1
37	и в то	1	1
38	и та же	1	1
39	но это не	1	1
40	неразрывном единстве с	1	1
41	в основе своей	1	1
42	в значительной степени	1	1
43	не могло быть	1	1
44	мира а также	1	1
45	он в свою	1	1
46	только благодаря этому	1	1
47	один из участников	1	1
48	но и с	1	1
49	все то что	1	1
50	из таких вариаций	1	1
51	и от его	1	1
52	мы не можем	1	1
53	не что иное	1	1
54	как и в	2	1
55	в свою очередь	4	1
56	и т.п в	1	1
57	одна и та	1	1
58	о том что	4	1
59	в конечном счете	1	1
60	и в самом	1	1
61	той или иной	2	1
62	но и не	1	1
63	но на этот	1	1
64	одного и того	1	1
65	друг от друга	1	1
66	в полной мере	1	1
67	тем не менее	3	1
68	в период его	1	1
69	и т.д здесь	1	1
