N	3gram	Propp_Morf_1	Mirosoze
1	не может быть	9	17
2	и в этой	1	4
3	потому что в	1	3
4	это значит что	1	3
5	мы увидим что	1	3
6	по отношению к	4	2
7	до сих пор	1	2
8	то время как	3	2
9	не могут быть	2	2
10	это не значит	2	2
11	в то время	3	2
12	для того чтобы	2	2
13	в высшей степени	1	2
14	бросается в глаза	1	1
15	должно быть поставлено	1	1
16	и есть то	1	1
17	он не свободен	1	1
18	а вовсе не	1	1
19	может быть названа	1	1
20	смысле слова а	1	1
21	и действительно в	1	1
22	том случае если	1	1
23	в иных случаях	2	1
24	и когда мы	1	1
25	но это не	1	1
26	не все ли	2	1
27	в том случае	1	1
28	должны привести к	1	1
29	в каком это	1	1
30	может быть и	2	1
31	не в той	1	1
32	все более и	1	1
33	она все же	1	1
34	друг к другу	2	1
35	во всяком случае	2	1
36	на этом основании	1	1
37	с того что	2	1
38	что и в	1	1
39	он ничего не	1	1
40	мы имеем в	1	1
41	о том что	1	1
42	то мы имеем	1	1
43	более и более	1	1
44	не значит что	2	1
45	во многих отношениях	1	1
46	или нет в	1	1
47	в том что	3	1
48	не имеет смысла	1	1
