N	3gram	Berdyaev_N_1	FransuaR
1	до сих пор	1	4
2	в том числе	1	3
3	в отличие от	1	3
4	но и в	1	2
5	том числе и	1	2
6	можно было бы	1	2
7	в значительной степени	1	2
8	к этой теме	1	2
9	не может быть	4	2
10	о том что	1	2
11	как и в	1	2
12	xix и xx	4	1
13	имея в виду	1	1
14	но это есть	1	1
15	и до сих	1	1
16	подобно тому как	3	1
17	нового времени и	1	1
18	играют большую роль	1	1
19	в средние века	3	1
20	потому что не	1	1
21	может быть только	1	1
22	и не может	1	1
23	в эпоху ренессанса	1	1
24	в эту эпоху	1	1
25	но для этого	1	1
26	что в нем	2	1
27	большую роль в	2	1
28	к жизни и	1	1
29	в том чтобы	1	1
30	в высшей степени	6	1
31	и на их	1	1
32	как будто бы	1	1
33	и особенно для	1	1
34	то что он	1	1
35	это конечно не	1	1
36	существенным моментом в	1	1
37	во всяком случае	1	1
38	с другой стороны	2	1
39	и еще не	1	1
40	века и потому	1	1
41	тому как в	1	1
42	и xx веков	3	1
43	и вместе с	1	1
44	это и есть	1	1
45	не имеет никакой	1	1
46	в новое время	1	1
47	в том что	1	1
