N	3gram	Tiupa_Lite_3	Istorich
1	с другой стороны	2	8
2	с одной стороны	4	7
3	в том что	4	5
4	не только в	2	4
5	о том что	4	4
6	о том как	1	3
7	вместе с тем	1	3
8	в данном случае	4	3
9	не может быть	3	3
10	но и в	2	2
11	на его пути	1	2
12	по отношению к	4	2
13	в другом месте	1	1
14	что иное как	1	1
15	в чистом виде	1	1
16	но кто же	1	1
17	уже не может	1	1
18	более или менее	1	1
19	в том числе	3	1
20	всегда остается в	1	1
21	новые и новые	1	1
22	одной стороны и	2	1
23	в полном соответствии	2	1
24	по аналогии с	1	1
25	том числе и	2	1
26	но это не	1	1
27	на первый взгляд	1	1
28	полном соответствии с	2	1
29	с этой точки	1	1
30	вместе с ними	1	1
31	так в этом	1	1
32	и тем не	1	1
33	и то что	1	1
34	который может быть	1	1
35	с появлением нового	1	1
36	другой стороны у	1	1
37	но при этом	1	1
38	от земли до	1	1
39	так или иначе	2	1
40	вот в этой	1	1
41	как бы в	1	1
42	и в том	1	1
43	этой точки зрения	1	1
44	все новые и	1	1
45	и вместе с	2	1
46	и тем самым	2	1
47	по своей воле	1	1
48	подобно тому как	2	1
49	на то что	2	1
50	не что иное	1	1
51	тем не менее	1	1
52	для того чтобы	1	1
