N	4gram	Bakhtin_fo_2	Problema
1	в той или иной	1	7
2	только в том что	1	2
3	не только в том	1	2
4	в то время как	1	2
5	мы имеем в виду	2	1
6	для того чтобы не	1	1
7	вовсе не имеем в	1	1
8	действительности и прежде всего	1	1
9	в том числе и	2	1
10	или что то же	1	1
11	мы вовсе не имеем	1	1
12	в том что они	1	1
13	и в то же	2	1
14	не выходит за пределы	1	1
15	то же самое мы	1	1
16	и вместе с тем	1	1
17	нечего и говорить о	1	1
18	с этой точки зрения	1	1
19	ни в чем не	1	1
20	не имеем в виду	1	1
21	то есть не в	1	1
