N	2gram	Losev_Prob_3	Analitik
1	в этом	17	18
2	не только	14	16
3	и в	44	16
4	в частности	2	16
5	так и	10	15
6	как и	10	14
7	своего рода	1	12
8	но и	10	12
9	и не	35	12
10	том что	12	12
11	в том	21	12
12	в качестве	3	11
13	при этом	4	10
14	могут быть	2	10
15	а не	18	10
16	как бы	9	10
17	в этой	3	9
18	лишь в	1	9
19	ничего не	3	9
20	в пределах	1	9
21	и даже	14	9
22	то есть	34	9
23	в целом	6	8
24	в данном	9	8
25	отнюдь не	10	8
26	особенно в	1	7
27	к тому	3	7
28	а также	4	7
29	о том	6	7
30	в себе	8	7
31	то что	23	7
32	в самом	3	6
33	и на	1	6
34	но в	12	6
35	говорить о	3	6
36	может быть	28	6
37	с другой	7	6
38	как это	2	6
39	в сторону	1	5
40	и к	6	5
41	произведения в	2	5
42	данном случае	7	5
43	с одной	2	5
44	в контексте	2	5
45	того же	2	4
46	но не	3	4
47	за пределы	5	4
48	как в	5	4
49	в своем	5	4
50	хотя и	5	4
51	он в	2	4
52	тому же	1	4
53	нашего времени	1	4
54	то же	13	4
55	не с	1	4
56	и тем	9	4
57	тем самым	5	4
58	для него	3	4
59	точки зрения	5	4
60	не в	13	4
61	в конце	5	4
62	только не	1	4
63	и является	4	4
64	не менее	10	4
65	можно сказать	6	4
66	во всех	2	4
67	только в	19	4
68	и его	5	4
69	уже не	7	4
70	не так	3	4
71	у него	1	4
72	как раз	8	4
73	одной стороны	1	4
74	не может	7	4
75	и особенно	2	4
76	этом случае	5	4
77	о его	2	4
78	все это	5	4
79	в один	1	4
80	и то	14	3
81	едва ли	5	3
82	в их	2	3
83	мы имеем	2	3
84	не был	2	3
85	ответ на	1	3
86	в нашем	5	3
87	на его	1	3
88	и читателя	1	3
89	и если	6	3
90	и сам	5	3
91	содержит в	3	3
92	его от	1	3
93	подобно тому	1	3
94	обнаруживает себя	1	3
95	главного героя	1	3
96	несмотря на	1	3
97	автора и	1	3
98	не столько	2	3
99	тем не	10	3
100	по крайней	5	3
101	на себе	3	3
102	как о	5	3
103	никогда не	6	3
104	казалось бы	1	3
105	со своим	2	3
106	тем что	4	3
107	как будто	3	3
108	что на	1	3
109	ни о	3	3
110	той или	12	3
111	как мы	8	3
112	можно было	4	3
113	в результате	2	3
114	если бы	3	3
115	того или	6	3
116	что и	9	3
117	крайней мере	5	3
118	и все	3	3
119	так что	12	3
120	есть в	3	3
121	из них	2	3
122	только на	5	3
123	или иной	8	3
124	именно в	2	3
125	было бы	8	3
126	и за	2	3
127	или иного	3	3
128	в первой	1	3
129	этого слова	5	3
130	или в	4	3
131	бы в	2	3
