N	2gram	Losev_Dial_3	VeschiIm
1	не есть	54	49
2	т е	48	42
3	вещи есть	2	38
4	не может	19	33
5	не только	23	31
6	может быть	13	29
7	это –	16	29
8	и не	27	28
9	и в	24	26
10	вещи и	1	24
11	то что	14	24
12	и есть	16	23
13	значит что	24	22
14	это значит	24	22
15	и т	24	21
16	т д	23	20
17	а не	26	20
18	не просто	18	18
19	есть только	12	17
20	и следовательно	2	15
21	в смысле	2	15
22	что она	9	14
23	только в	5	14
24	по себе	20	13
25	и что	15	13
26	того что	12	13
27	самой вещи	1	13
28	и то	4	12
29	есть не	9	12
30	все же	3	12
31	в себя	1	12
32	что это	12	12
33	было бы	5	12
34	и ее	3	12
35	но и	9	12
36	и –	6	12
37	сказать что	4	12
38	таким образом	13	11
39	что же	11	11
40	и больше	4	10
41	то же	6	10
42	есть нечто	23	10
43	в ней	2	10
44	не значит	3	10
45	как бы	3	10
46	что такое	21	10
47	вещь есть	2	10
48	потому что	7	10
49	уже не	5	10
50	что мы	8	10
51	бы то	2	9
52	в самом	7	9
53	то ни	1	9
54	и с	6	9
55	вещей и	6	9
56	вещи не	1	9
57	больше ничего	6	9
58	в том	5	9
59	что не	5	9
60	еще и	2	9
61	прежде всего	8	9
62	есть явление	5	9
63	ни было	1	9
64	что иное	6	8
65	с ее	1	8
66	иное как	6	8
67	сущности и	5	8
68	в себе	2	8
69	на то	3	8
70	и это	4	8
71	ничего не	17	8
72	что вещь	1	8
73	себя и	2	8
74	она есть	10	8
75	но это	5	8
76	не что	6	8
77	также и	2	7
78	вещь не	2	7
79	говорить о	4	7
80	если она	1	7
81	в этом	8	7
82	сущность есть	2	7
83	не будет	3	7
84	его в	1	7
85	том что	8	7
86	в то	5	7
87	ли это	1	7
88	что оно	7	7
89	как с	2	7
90	д и	6	7
91	себя в	2	7
92	так как	6	7
93	как раз	7	7
94	и пр	6	7
95	– в	6	7
96	– не	7	7
97	если оно	4	7
98	от всего	6	7
99	е в	4	7
100	совершенно не	2	7
101	есть и	12	7
102	со стороны	2	6
103	и как	8	6
104	но в	2	6
105	есть ли	5	6
106	бы и	1	6
107	это есть	8	6
108	одно и	5	6
109	что является	1	6
110	всего прочего	5	6
111	бытие и	3	6
112	точки зрения	25	6
113	но если	6	6
114	по крайней	5	6
115	с ним	1	6
116	она не	3	6
117	значит ли	1	6
118	оно есть	2	6
119	отличается от	8	6
120	вещь но	3	6
121	ясно что	7	6
122	должно быть	3	6
123	и только	6	6
124	крайней мере	5	6
125	а если	3	6
126	есть ни	3	6
127	так что	8	6
128	если мы	1	6
129	для него	4	6
130	но что	7	6
131	то не	1	6
132	когда мы	2	6
133	быть только	2	6
134	в результате	1	6
135	жизни и	5	6
136	что в	7	6
137	это и	7	5
138	ведь и	1	5
139	и тут	3	5
140	в сущности	10	5
141	и бытия	1	5
142	на себя	3	5
143	в чем	4	5
144	но не	2	5
145	есть просто	4	5
146	отнюдь не	10	5
147	чем же	1	5
148	как к	1	5
149	вещи или	1	5
150	должна быть	6	5
151	же это	1	5
152	вообще не	2	5
153	содержит в	1	5
154	что тут	1	5
155	и достаточно	1	5
156	это не	4	5
157	не в	3	5
158	тем не	10	5
159	есть всегда	5	5
160	в отношении	1	5
161	не менее	11	5
162	одна из	3	5
163	только и	2	5
164	у нас	4	5
165	и явление	1	5
166	для себя	2	5
167	в ее	1	5
168	должны быть	3	5
169	тут мы	2	5
170	если бы	6	5
171	для этого	2	5
172	рационалистическая метафизика	1	5
173	другими словами	7	5
174	отлично от	6	5
175	еще не	2	5
176	или не	5	5
