N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	28
2	и т	1	25
3	может быть	12	25
4	а не	12	15
5	не может	8	15
6	никогда не	4	14
7	для нас	1	13
8	то же	9	12
9	не только	14	12
10	что в	2	12
11	только в	7	11
12	все же	2	10
13	что он	5	10
14	но и	14	10
15	прежде всего	3	10
16	не в	10	9
17	так и	9	9
18	о том	6	9
19	то что	12	9
20	в том	12	9
21	и не	22	9
22	в этом	14	8
23	но в	3	8
24	не всегда	2	8
25	если бы	2	8
26	в ней	1	7
27	здесь мы	1	7
28	это не	5	7
29	еще не	6	7
30	так же	2	7
31	том что	8	7
32	было бы	2	7
33	в этих	1	7
34	а в	5	7
35	в этой	8	6
36	это тоже	1	6
37	о смерти	1	6
38	его в	2	6
39	тем не	1	6
40	не менее	2	6
41	к тому	6	6
42	что и	2	6
43	вслед за	3	6
44	так как	1	6
45	с другой	6	6
46	вместе с	5	6
47	когда он	2	6
48	например в	3	5
49	вопрос о	2	5
50	что они	1	5
51	в своем	1	5
52	более или	1	5
53	в силу	1	5
54	по существу	4	5
55	или менее	1	5
56	восходит к	1	5
57	в его	6	5
58	что здесь	1	5
59	но не	4	5
60	в качестве	5	5
61	в одном	4	5
62	не должен	1	5
63	не знает	2	5
64	сказать что	1	5
65	другой стороны	2	5
66	ее в	2	5
67	и даже	2	4
68	и для	4	4
69	и на	2	4
70	как правило	1	4
71	с этим	1	4
72	представляет собой	2	4
73	на то	2	4
74	и с	2	4
75	с тем	1	4
76	как и	5	4
77	даже в	4	4
78	в основе	5	4
79	связи с	2	4
80	здесь не	2	4
81	так в	1	4
82	того что	9	4
83	манифестируется в	1	4
84	с одной	4	4
85	потому что	3	4
86	так что	1	4
87	а именно	5	4
88	превращается в	1	4
89	пока ты	1	4
90	один из	2	4
91	социальной жизни	1	4
92	одной стороны	4	4
93	там где	3	4
94	как будто	4	4
95	в путь	1	4
96	все это	1	4
97	в связи	1	4
98	хотя бы	1	4
99	но это	1	4
100	они не	1	4
101	начинается с	1	3
102	исходит из	1	3
103	я не	2	3
104	то это	2	3
105	не знают	1	3
106	и он	1	3
107	по отношению	4	3
108	не просто	1	3
109	перед нами	1	3
110	могли бы	2	3
111	при этом	15	3
112	ключ к	1	3
113	не как	2	3
114	в другом	6	3
115	из них	4	3
116	не с	2	3
117	и тогда	2	3
118	во время	1	3
119	нас не	1	3
120	в котором	1	3
121	в их	1	3
122	и эти	1	3
123	бы быть	1	3
124	по себе	2	3
125	в то	9	3
126	этого явления	1	3
127	у меня	1	3
128	есть только	1	3
129	же самое	2	3
130	как мы	2	3
131	для этого	1	3
132	с того	1	3
133	во всем	1	3
134	в стороне	1	3
135	может оказаться	1	3
136	и его	6	3
137	уже не	3	3
138	в начале	4	3
139	или даже	1	3
140	и их	1	3
141	представлений о	1	3
142	тем что	2	3
143	именно в	5	3
144	как это	3	3
145	в книге	1	3
146	будто бы	1	3
147	отношению к	4	3
148	к сожалению	1	3
149	отношения к	3	2
150	одним из	4	2
151	и потому	2	2
152	не одного	1	2
153	по его	1	2
154	не вполне	2	2
155	когда мы	1	2
156	к своему	1	2
157	столь же	1	2
158	бы то	2	2
159	во всех	2	2
160	легко может	2	2
161	отличие от	5	2
162	когда например	1	2
163	первый взгляд	1	2
164	мертвых и	1	2
165	как в	5	2
166	без другого	2	2
167	пути в	4	2
168	однако не	3	2
169	и как	3	2
170	в действительности	1	2
171	за собой	1	2
172	в целом	5	2
173	он в	2	2
174	право на	2	2
175	в себе	6	2
176	как он	1	2
177	вследствие этого	2	2
178	и если	4	2
179	в нем	2	2
180	он не	1	2
181	и вот	2	2
182	том чтобы	2	2
183	то ни	2	2
184	а затем	3	2
185	а по	2	2
186	и тем	3	2
187	но уже	3	2
188	нет в	1	2
189	ведет к	1	2
190	в чистом	1	2
191	должно быть	4	2
192	и конец	1	2
193	на первый	1	2
194	пять лет	1	2
195	для него	2	2
196	что такое	1	2
197	в отличие	5	2
198	только для	3	2
199	однако в	4	2
200	по мере	1	2
201	чистом виде	1	2
202	еще один	2	2
203	в таких	1	2
204	как о	2	2
205	в русской	1	2
206	тогда когда	1	2
207	тому кто	1	2
208	не видели	1	2
209	так чтобы	2	2
210	по своей	3	2
211	не по	1	2
212	сел на	1	2
213	в области	3	2
214	не есть	1	2
215	на вопрос	1	2
216	в ее	5	2
217	на нее	1	2
218	еще в	3	2
219	том как	1	2
220	в глубине	2	2
221	о нем	2	2
222	но мы	1	2
223	этой мысли	1	2
224	нас в	1	2
225	между тем	3	2
226	в конечном	1	2
227	во всей	2	2
228	и только	2	2
229	непосредственно в	1	2
230	в ту	2	2
231	в свете	1	2
232	и она	1	2
233	но так	1	2
234	одной из	1	2
235	отказ от	2	2
236	именно на	1	2
237	себя в	7	2
238	для всех	1	2
239	то и	1	2
240	ни было	2	2
241	оно в	1	2
242	был бы	1	2
243	вовсе не	1	2
244	как раз	2	2
245	со стороны	7	2
246	даже не	1	2
247	еще и	2	2
248	с ней	2	2
249	а с	1	2
250	а сам	1	2
251	в середине	1	2
252	что не	2	2
253	связано с	1	2
254	на этот	1	2
255	не на	1	2
256	не означает	2	2
257	xix века	2	2
258	конечно не	1	2
259	как бы	8	2
260	нисколько не	1	2
261	это явление	1	2
262	еще одна	1	2
263	и от	1	2
264	бы в	1	2
265	ни к	3	2
266	в рамках	4	2
267	была бы	1	2
268	из этого	1	2
269	в частности	11	2
270	к этому	2	2
271	обращена к	1	1
272	этой связи	1	1
273	художественного произведения	2	1
274	и то	1	1
275	где мы	1	1
276	отметим что	1	1
277	на самом	1	1
278	тех же	1	1
279	это и	1	1
280	и есть	1	1
281	с целым	1	1
282	в первом	2	1
283	из его	1	1
284	едва ли	3	1
285	над ней	1	1
286	в году	5	1
287	мы уже	1	1
288	его не	1	1
289	есть не	1	1
290	себе как	1	1
291	на позиции	1	1
292	если герой	1	1
293	память о	1	1
294	к самодвижению	1	1
295	приводят к	1	1
296	говорить о	1	1
297	на себя	2	1
298	эпохи в	1	1
299	содержат в	1	1
300	о пути	1	1
301	это наблюдение	1	1
302	об их	1	1
303	на другом	1	1
304	он был	1	1
305	иное как	1	1
306	время в	2	1
307	в сторону	3	1
308	чтоб не	1	1
309	герой не	1	1
310	основная задача	1	1
311	отнюдь не	3	1
312	и я	1	1
313	в истории	1	1
314	независимо от	1	1
315	поскольку они	1	1
316	стороны и	2	1
317	вспомним что	1	1
318	в полном	2	1
319	чего ты	1	1
320	а со	2	1
321	и к	3	1
322	как таковое	2	1
323	в противоположность	2	1
324	и хотя	1	1
325	в этот	1	1
326	прошлого по	1	1
327	то в	3	1
328	еще на	2	1
329	и у	1	1
330	во главе	1	1
331	в нашем	1	1
332	бы не	1	1
333	но он	1	1
334	и кто	1	1
335	тому же	5	1
336	ее как	1	1
337	после чего	1	1
338	духовной культуры	1	1
339	а просто	1	1
340	так сказать	1	1
341	к героям	1	1
342	о которой	2	1
343	и еще	1	1
344	к личной	1	1
345	содержит в	1	1
346	подобно тому	2	1
347	собственно говоря	1	1
348	например мы	1	1
