N	2gram	Tiupa_Hudo_1	NovoeSre
1	а не	9	17
2	и в	19	16
3	не может	7	16
4	нового времени	2	12
5	и не	15	11
6	и есть	1	10
7	что в	6	9
8	в том	18	8
9	жизни и	1	8
10	он не	4	8
11	в этом	11	7
12	может быть	14	7
13	не будет	2	7
14	как и	2	7
15	с его	6	6
16	не в	7	6
17	ни в	5	6
18	никогда не	2	6
19	лишь в	4	6
20	не знает	3	6
21	должен быть	1	5
22	с ее	5	5
23	культуры в	2	5
24	и к	3	5
25	не только	16	5
26	в жизни	2	5
27	все это	2	5
28	в нем	5	5
29	не во	1	4
30	быть может	1	4
31	о том	2	4
32	в них	2	4
33	то что	4	4
34	это не	2	4
35	прежде всего	4	4
36	не было	1	4
37	должно быть	1	4
38	и потому	2	4
39	по своему	2	4
40	не менее	3	4
41	и для	2	4
42	не имеет	1	4
43	потому что	3	4
44	с другой	7	3
45	начало нового	1	3
46	в ее	5	3
47	человека и	1	3
48	еще не	3	3
49	во всех	3	3
50	за пределы	2	3
51	в истории	1	3
52	как в	2	3
53	к ним	1	3
54	подобно тому	1	3
55	в мире	21	3
56	но и	10	3
57	это было	1	3
58	не есть	1	3
59	и пр	1	3
60	не означает	1	3
61	в своей	5	3
62	к жизни	2	3
63	тому как	1	3
64	в прошлом	1	3
65	что такое	1	3
66	не существует	1	3
67	жизни не	1	3
68	в основе	4	3
69	жизни в	2	3
70	к тому	4	3
71	сказать что	4	3
72	и это	2	2
73	же как	1	2
74	это и	1	2
75	роль в	1	2
76	переход к	1	2
77	так и	11	2
78	природе и	1	2
79	времени и	2	2
80	мира и	2	2
81	для этого	1	2
82	мира а	1	2
83	но она	2	2
84	я не	2	2
85	жизни как	3	2
86	и что	3	2
87	и на	2	2
88	времени в	2	2
89	но не	11	2
90	в центре	1	2
91	ни к	2	2
92	хотя и	3	2
93	но в	7	2
94	который в	2	2
95	все эти	2	2
96	с одной	2	2
97	себя в	7	2
98	с их	2	2
99	есть в	2	2
100	в себе	9	2
101	уже не	4	2
102	не могла	1	2
103	у него	1	2
104	что она	2	2
105	что все	1	2
106	и даже	1	2
107	на уровне	1	2
108	и т.п	4	2
109	связаны с	1	2
110	этом смысле	3	2
111	личность в	1	2
112	к более	2	2
113	зависит от	1	2
114	духовной жизни	1	2
115	том что	8	2
116	вместе с	1	2
117	так же	2	2
118	я уже	1	2
119	мы говорим	1	2
120	место в	4	2
121	одной стороны	2	2
122	такого рода	10	2
123	другой стороны	5	2
124	не могли	1	2
125	том и	2	2
126	если нет	1	2
127	как будто	1	2
128	войны и	1	2
129	и формы	1	2
130	как это	5	2
131	но для	1	2
132	в то	6	2
