N	3gram	Medvedev_S_1	Dialekti
1	по крайней мере	1	5
2	на первый план	1	4
3	сама по себе	1	4
4	с одной стороны	1	3
5	в том что	2	3
6	ничего не значат	1	3
7	ровно ничего не	1	3
8	тем более не	1	2
9	и в этом	1	2
10	во всяком случае	1	2
11	это и есть	1	2
12	ведь это же	1	2
13	то же самое	1	1
14	в лучшем случае	1	1
15	и в то	1	1
16	более не наука	1	1
17	это вовсе не	1	1
18	в виде задания	1	1
19	на точке зрения	1	1
20	что это вовсе	1	1
21	не в том	2	1
22	ни на что	1	1
23	только как совокупность	1	1
24	метод и в	1	1
25	быть не только	1	1
26	и стало быть	1	1
27	то же время	1	1
28	в конечном счете	1	1
29	ибо по самому	1	1
30	в то же	1	1
31	в связи с	1	1
32	что в них	1	1
33	выдвигает на первый	1	1
