N	2gram	Tiupa_Narr_2	DiskursI
1	в себе	8	19
2	при этом	14	17
3	как и	4	16
4	в качестве	14	16
5	в этом	13	16
6	и в	13	16
7	может быть	10	16
8	состоит в	12	16
9	и не	14	15
10	а не	17	14
11	то есть	9	12
12	в отличие	5	12
13	отличие от	5	12
14	и т.п	6	12
15	в частности	11	12
16	тогда как	15	11
17	но и	15	11
18	представляет собой	16	11
19	в мире	4	11
20	но в	6	11
21	своего рода	9	10
22	со стороны	6	10
23	не только	26	10
24	том что	13	10
25	не может	8	9
26	так и	9	9
27	такого рода	12	9
28	как в	5	8
29	в том	14	8
30	а также	6	8
31	художественного письма	2	7
32	прежде всего	6	7
33	не менее	4	7
34	при всей	4	7
35	в нем	5	7
36	но не	3	7
37	картины мира	2	7
38	ни в	1	7
39	в рамках	6	7
40	в данном	10	7
41	все же	6	6
42	еще не	2	6
43	данном случае	6	6
44	отнюдь не	4	6
45	тем самым	5	6
46	в своей	4	6
47	по своей	3	6
48	по мысли	5	6
49	то же	4	6
50	в своих	2	6
51	с его	3	6
52	себя в	2	6
53	же время	3	5
54	что в	4	5
55	для него	4	5
56	то что	8	5
57	нового времени	2	5
58	в то	5	5
59	я в	5	5
60	коммуникативного события	8	5
61	а с	2	5
62	героя в	6	5
63	с другой	5	5
64	в своем	6	5
65	отношению к	5	4
66	точки зрения	5	4
67	картина мира	8	4
68	потому что	2	4
69	в одном	1	4
70	ни для	2	4
71	одно из	2	4
72	к этому	1	4
73	в рассказе	4	4
74	не сводится	7	4
75	по отношению	5	4
76	к его	3	4
77	адресата к	1	4
78	мира и	3	4
79	можно назвать	2	4
80	в основе	1	4
81	одной стороны	5	4
82	художественного целого	1	4
83	в этой	4	4
84	с одной	5	4
85	этом отношении	3	4
86	картину мира	2	4
87	роль в	2	4
88	времени в	1	4
89	о том	5	4
90	не является	4	4
91	как бы	6	4
92	все эти	3	3
93	в пределе	1	3
94	ведет к	2	3
95	жизни а	1	3
96	приводит к	1	3
97	и все	4	3
98	не знает	1	3
99	но она	1	3
100	и того	3	3
101	в другом	4	3
102	можно сказать	6	3
103	и его	3	3
104	с читателем	1	3
105	как на	2	3
106	жизненной позиции	1	3
107	коммуникативное событие	6	3
108	было в	1	3
109	в тексте	8	3
110	очевидным образом	2	3
111	той или	3	3
112	мира в	4	3
113	проявляется в	1	3
114	чего не	1	3
115	[...] в	1	3
116	иначе говоря	7	3
117	адресата в	1	3
118	принадлежит к	1	3
119	жизни и	4	3
120	в строгом	2	3
121	жизни в	6	3
122	и наконец	1	3
123	к жизни	1	3
124	субъекта в	1	3
125	это не	3	3
126	в его	6	3
127	но одновременно	2	3
128	с позиций	1	3
129	соответствии с	3	3
130	например в	1	3
131	из этих	2	3
132	одного и	1	3
133	следует признать	4	3
134	восходит к	2	3
135	об одном	1	3
136	не в	8	3
137	перед нами	4	3
138	только в	11	3
139	не столько	5	3
140	из виду	1	3
141	текста а	1	3
142	в котором	5	3
143	в этих	1	3
144	внутренней речи	3	3
145	всей своей	2	3
146	на рубеже	1	3
147	он не	5	3
148	также и	1	3
149	однако при	1	3
150	столь же	2	3
151	уже не	4	3
152	не следует	3	3
153	как будто	1	3
154	или иной	3	3
155	присутствия в	2	3
156	и как	1	3
157	мысль о	2	3
158	еще в	1	3
159	[...] а	1	3
160	но это	2	3
161	жизни но	1	3
162	картине мира	2	2
163	по природе	1	2
164	с ее	1	2
165	может и	1	2
166	а в	9	2
167	и с	1	2
168	чеховского творчества	2	2
169	к их	1	2
170	в обоих	2	2
171	входит в	1	2
172	по словам	2	2
173	настоящим и	1	2
174	говорить о	2	2
175	рассказ о	1	2
176	принципиально иную	1	2
177	место в	5	2
178	значении термина	1	2
179	собственно и	2	2
180	того же	1	2
181	и для	3	2
182	являет собой	1	2
183	не к	4	2
184	личности в	2	2
185	но при	4	2
186	должна быть	2	2
187	покоя и	1	2
188	себя с	2	2
189	есть в	1	2
190	все это	1	2
191	человеческой жизни	1	2
192	в большинстве	1	2
193	первый взгляд	1	2
194	нарративную интригу	2	2
195	как уже	2	2
196	именно в	2	2
197	в области	2	2
198	рассказа в	1	2
199	начала жизни	1	2
200	на мой	1	2
201	вследствие этого	2	2
202	этом в	1	2
203	рецептивные ожидания	1	2
204	в концовке	2	2
205	интерес к	2	2
206	чеховского письма	2	2
207	и адресата	2	2
208	формируется в	1	2
209	стороны и	1	2
210	по сути	1	2
211	в принципе	2	2
212	сводится к	9	2
213	что же	1	2
214	говорит об	1	2
215	время в	1	2
216	с той	1	2
217	пристального внимания	1	2
218	в формах	1	2
219	вместе с	1	2
220	в личностном	1	2
221	жизненным опытом	1	2
222	отношение к	1	2
223	в себя	4	2
224	событийного ряда	1	2
225	что ни	1	2
226	произведения как	1	2
227	в той	5	2
228	между тем	3	2
229	и смертью	1	2
230	более чем	2	2
