N	3gram	Propp_Russ_1	FransuaR
1	как мы уже	1	5
2	в связи с	4	4
3	на самом деле	1	3
4	в отличие от	1	3
5	в других местах	2	3
6	по отношению к	1	2
7	и в других	4	2
8	в этом отношении	1	2
9	можно было бы	1	2
10	в данном случае	1	2
11	о том что	4	2
12	можно сказать что	1	2
13	как и в	1	2
14	как мы видели	1	2
15	приводит его к	1	1
16	что иное как	2	1
17	в области изучения	2	1
18	некоторые из них	1	1
19	и во время	1	1
20	что в основе	1	1
21	том что в	6	1
22	между ними иногда	1	1
23	так как в	1	1
24	подобно тому как	1	1
25	в настоящее время	3	1
26	довольно много но	1	1
27	в этом случае	5	1
28	с точки зрения	3	1
29	и его жизнь	1	1
30	в собственном смысле	1	1
31	встречаются и в	1	1
32	чем свидетельствует ряд	1	1
33	с новым годом	1	1
34	может быть и	2	1
35	с таким же	1	1
36	по улицам и	3	1
37	не что иное	2	1
38	об этом так	1	1
39	о чем свидетельствует	1	1
40	еще и в	1	1
41	и в этом	1	1
42	раза в году	1	1
43	как будто бы	1	1
44	не дают в	1	1
45	на весь мир	1	1
46	не только для	1	1
47	во всяком случае	1	1
48	как мы увидим	5	1
49	начиная с xvii	1	1
50	одно из них	1	1
51	во всех этих	1	1
52	так например в	1	1
53	в свою очередь	2	1
54	только в целях	1	1
55	всегда была только	1	1
56	в одном из	1	1
57	как мы видим	1	1
58	что во время	1	1
59	во время которого	1	1
60	каждый из этих	1	1
61	можно судить по	1	1
62	мы видим что	1	1
63	но все же	2	1
64	быть и не	1	1
65	в том что	15	1
66	что и в	1	1
67	как мы знаем	1	1
