N	2gram	Trubetskoy_1	Tvorches
1	и в	14	20
2	и т	3	13
3	не только	9	13
4	никогда не	5	11
5	как бы	4	11
6	таким образом	11	10
7	в то	10	10
8	в его	4	10
9	и не	19	9
10	при этом	5	8
11	и с	7	8
12	в том	17	8
13	может быть	9	8
14	в этом	17	8
15	прежде всего	8	8
16	но и	10	8
17	то же	11	7
18	это не	1	7
19	представление о	1	7
20	же время	10	7
21	потому что	5	7
22	не может	22	7
23	что в	4	7
24	как и	4	6
25	в своей	5	6
26	что он	6	6
27	так и	1	6
28	в конце	3	6
29	у него	2	6
30	именно в	3	6
31	а не	2	6
32	все это	6	6
33	еще не	3	5
34	и на	5	5
35	но не	4	5
36	все же	4	5
37	в этой	4	5
38	если он	1	5
39	в мире	4	5
40	то есть	1	5
41	о том	7	5
42	и даже	2	5
43	но это	2	5
44	так же	2	5
45	мы не	1	4
46	все эти	2	4
47	что они	3	4
48	отнюдь не	7	4
49	когда он	1	4
50	но в	2	4
51	не в	4	4
52	на его	1	4
53	в принципе	1	4
54	что у	1	4
55	об этом	1	4
56	если бы	6	4
57	тем самым	2	4
58	по нашему	1	4
59	в духе	1	4
60	в известной	1	4
61	в лице	1	4
62	а в	5	4
63	если не	2	4
64	и потому	3	4
65	и от	2	4
66	том что	9	4
67	же как	1	3
68	с большим	1	3
69	он сам	3	3
70	а с	2	3
71	по отношению	2	3
72	тогда как	2	3
73	в одной	1	3
74	отношению к	1	3
75	в себе	9	3
76	в нем	5	3
77	он не	5	3
78	так например	1	3
79	человека в	1	3
80	его в	4	3
81	и мы	1	3
82	в самом	3	3
83	в котором	2	3
84	в их	4	3
85	место в	2	3
86	в которых	1	3
87	тем что	3	3
88	одна из	3	3
89	казалось бы	1	3
90	и это	1	3
91	быть может	1	3
92	с ним	2	3
93	до сих	5	3
94	любви к	2	3
95	между тем	5	3
96	этот вопрос	2	3
97	уже не	2	3
98	в начале	2	3
99	для него	6	3
100	так как	4	3
101	то что	13	3
102	что не	1	3
103	называет себя	1	3
104	превращается в	1	3
105	в свете	1	3
106	вместе с	4	3
107	в область	1	3
108	с этой	1	3
109	сих пор	5	3
110	один из	1	3
111	не является	1	3
112	жизни в	5	3
113	одной из	3	3
114	в своих	6	3
115	к этому	1	3
116	в таком	2	3
117	не должны	1	2
118	самом деле	7	2
119	от этой	2	2
120	и есть	2	2
121	он всегда	1	2
122	говорить о	3	2
123	со своими	1	2
124	в ее	1	2
125	они имеют	1	2
126	нет и	1	2
127	во что	3	2
128	так что	2	2
129	в истории	1	2
130	общую черту	1	2
131	и наконец	2	2
132	от ее	1	2
133	имеет в	1	2
134	в которой	1	2
135	бы не	1	2
136	тому же	1	2
137	во многих	2	2
138	но ведь	1	2
139	и если	7	2
140	а скорее	1	2
141	и по	3	2
142	том же	2	2
143	которой он	4	2
144	такой же	1	2
145	в такой	1	2
146	не столько	1	2
147	точку зрения	4	2
148	их в	2	2
149	не менее	1	2
150	из нас	1	2
151	на него	1	2
152	он еще	1	2
153	а во	1	2
154	что на	1	2
155	однако это	1	2
156	если у	1	2
157	могут быть	1	2
158	приводит к	4	2
159	роль в	1	2
160	сводится к	3	2
161	и что	2	2
162	что его	1	2
163	и только	5	2
164	крайней мере	1	2
165	всяком случае	6	2
166	к которому	1	2
167	с ними	1	2
168	только в	5	2
169	точка зрения	1	2
170	себя в	4	2
171	и у	1	2
172	в виде	3	2
173	на ней	1	2
174	или даже	1	2
175	и других	1	2
176	из них	3	2
177	то у	1	2
178	его и	2	2
179	не так	2	2
180	вовсе не	1	2
181	друг друга	3	2
182	только с	2	2
183	другом в	1	2
184	этой задачи	1	2
185	с другой	1	2
186	не было	3	2
187	на этот	1	2
188	зависит от	2	2
189	по крайней	1	2
190	в частности	2	2
191	характеров и	1	2
192	в россии	6	2
193	это его	1	2
194	только для	2	2
195	полную свободу	1	2
196	характера в	1	2
197	и тогда	2	2
198	себя на	2	2
199	в основе	1	2
200	ни к	7	2
201	с другими	1	2
202	к самому	1	2
203	связь с	1	2
204	но если	3	2
205	и без	1	2
206	из этого	3	2
207	отказаться от	4	2
208	во всяком	9	2
209	с новыми	1	1
210	вряд ли	3	1
211	ту же	1	1
212	речь идет	2	1
213	в сфере	1	1
214	а между	5	1
215	и должно	2	1
216	это и	1	1
217	что дает	1	1
218	в среду	1	1
219	выводом из	1	1
220	видеть в	2	1
221	и за	1	1
222	приходит к	3	1
223	мы уже	2	1
224	из всех	2	1
225	из всего	1	1
226	материальных интересов	1	1
227	поставить себя	1	1
228	на место	1	1
229	не была	1	1
230	на себя	2	1
231	это отношение	1	1
232	то это	3	1
233	себя из	1	1
234	свою очередь	1	1
235	они считают	1	1
236	он был	1	1
237	между собой	5	1
238	не был	1	1
239	во всех	5	1
240	связи между	1	1
241	в создании	1	1
242	отказ от	1	1
243	но как	1	1
244	а только	1	1
245	физически и	1	1
246	к которой	6	1
247	если в	6	1
248	есть по	1	1
249	в жизни	1	1
250	с этим	2	1
251	перед нами	1	1
252	и как	3	1
253	не являются	1	1
254	и к	6	1
255	и материальными	1	1
256	христианство с	1	1
257	за границей	1	1
258	еще на	1	1
259	что это	3	1
260	из этих	3	1
261	что ничего	2	1
262	в жертву	1	1
263	на то	5	1
264	главным образом	3	1
265	от которого	1	1
266	о которой	1	1
267	и эти	1	1
268	эта последняя	1	1
269	к одному	1	1
270	богом если	1	1
271	этого вопроса	1	1
272	не к	2	1
273	такого человека	1	1
274	в силу	2	1
275	и вот	2	1
276	на свое	1	1
277	можно было	4	1
278	что все	3	1
279	об этой	1	1
280	а по	1	1
281	себя не	1	1
282	в будущее	1	1
283	входит в	1	1
284	того или	2	1
285	заключается в	1	1
286	его личности	1	1
287	в глазах	2	1
288	смотреть на	4	1
289	понял что	1	1
290	было бы	5	1
291	то все	1	1
292	по себе	2	1
293	ведь в	2	1
294	отказа от	1	1
295	мог бы	1	1
296	и рядом	1	1
297	ни в	2	1
298	для них	3	1
299	из нее	1	1
300	как видно	1	1
301	несмотря на	3	1
302	жизни но	1	1
