N	2gram	Medvedev_F_2	VLabPisa
1	таким образом	20	27
2	в этом	27	26
3	и в	38	25
4	и т	14	24
5	не только	9	22
6	может быть	23	21
7	хотя бы	6	20
8	и не	20	19
9	не может	14	17
10	т е	26	17
11	т д	5	15
12	в его	10	15
13	в процессе	9	14
14	этом отношении	7	13
15	в том	11	13
16	прежде всего	15	13
17	как это	2	12
18	все это	3	12
19	с другой	3	11
20	из них	4	11
21	в художественном	2	10
22	в качестве	2	10
23	не могут	7	10
24	о том	1	10
25	то же	6	9
26	что в	7	9
27	по этому	2	9
28	для него	7	9
29	т п	9	9
30	но и	13	9
31	и др	3	9
32	к этому	4	9
33	в своем	1	8
34	все эти	6	8
35	не следует	4	8
36	творчество во	1	8
37	другой стороны	4	8
38	могут быть	6	8
39	во всех	5	7
40	он пишет	2	7
41	из этих	3	7
42	было бы	6	7
43	как и	9	7
44	том что	2	7
45	произведения в	2	7
46	этому поводу	1	7
47	произведения и	3	7
48	говорит о	1	7
49	не было	6	7
50	а не	6	7
51	вместе с	6	7
52	же в	1	7
53	художественного произведения	6	6
54	это и	5	6
55	в зависимости	3	6
56	художественном творчестве	1	6
57	более или	1	6
58	в себе	1	6
59	в нем	13	6
60	главным образом	3	6
61	это не	2	6
62	или менее	1	6
63	их в	2	6
64	и его	21	6
65	в то	5	6
66	так и	8	6
67	в порядке	1	6
68	между тем	2	6
69	то что	6	6
70	одним из	1	5
71	и есть	1	5
72	в их	6	5
73	зависимости от	3	5
74	очевидно что	2	5
75	все же	8	5
76	в пределах	12	5
77	в плане	2	5
78	и при	1	5
79	не в	15	5
80	тому что	2	5
81	же время	5	5
82	связи с	13	5
83	приводит к	2	5
84	произведения как	2	5
85	один из	2	5
86	как бы	4	5
87	не является	3	5
88	в результате	6	5
89	сказать что	2	5
90	только в	6	5
91	в искусстве	2	5
92	художественном произведении	1	4
93	их и	1	4
94	с его	11	4
95	в этой	6	4
96	чем же	3	4
97	вот как	4	4
98	перед нами	2	4
99	в самом	16	4
100	в целом	3	4
101	в статье	4	4
102	в них	1	4
103	даже в	2	4
104	никогда не	2	4
105	вот почему	1	4
106	к тому	4	4
107	для его	1	4
108	должен быть	1	4
109	в ее	2	4
110	это только	1	4
111	можно сказать	1	4
112	познания в	1	4
113	с ними	2	4
114	что он	5	4
115	в единстве	2	4
116	как раз	6	4
117	в связи	10	4
118	художественное произведение	2	4
119	равно как	2	4
120	в своей	7	4
121	например в	3	3
122	в котором	2	3
123	из его	1	3
124	его не	2	3
125	план как	1	3
126	но как	2	3
127	что они	4	3
128	с этим	5	3
129	и как	3	3
130	и к	4	3
131	следующим образом	1	3
132	всех этих	3	3
133	и по	2	3
134	говорить не	2	3
135	его в	3	3
136	далеко не	1	3
137	что не	4	3
138	с тем	11	3
139	в слове	5	3
140	мы видели	4	3
141	как целого	1	3
142	точки зрения	8	3
143	и ее	6	3
144	что говорит	1	3
145	этой области	1	3
146	как о	4	3
147	в другую	1	3
148	к работе	1	3
149	сводится к	5	3
150	у нас	1	3
