N	2gram	Vinokur_Ku_3	Sovremen
1	таким образом	9	8
2	в результате	3	5
3	в этом	16	5
4	не может	6	5
5	мы не	3	4
6	в каждом	1	4
7	как бы	5	4
8	все эти	7	3
9	в целом	4	3
10	и мы	1	3
11	мы получаем	1	3
12	на две	1	3
13	не можем	1	3
14	зависимости от	8	3
15	состоит из	1	3
16	в зависимости	7	3
17	с помощью	6	3
18	из этих	5	2
19	а на	1	2
20	у нас	10	2
21	на этом	2	2
22	в одном	2	2
23	все же	5	2
24	и в	23	2
25	но в	2	2
26	мы должны	3	2
27	же это	2	2
28	что же	5	2
29	на этот	2	2
30	все это	2	2
31	в дальнейшем	2	2
32	в первом	5	2
33	с общим	1	2
34	на этой	1	2
35	тот же	6	2
36	если мы	7	2
37	мы видели	3	2
38	прежде всего	9	2
39	не только	17	2
40	точки зрения	23	2
41	в виде	1	2
42	то же	6	2
43	из которых	1	2
44	мы получим	1	2
45	не в	5	2
46	с одной	4	2
47	помощью которых	1	2
48	при этом	6	2
49	мы видим	1	2
50	который как	2	2
51	уже на	1	1
52	и не	10	1
53	для пояснения	1	1
54	как мы	5	1
55	в процессе	3	1
56	из приведенных	1	1
57	самая форма	1	1
58	может не	1	1
59	форма в	1	1
60	этом ее	1	1
61	все время	1	1
62	раз подчеркнуть	1	1
63	не дает	2	1
64	это и	3	1
65	таким же	1	1
66	он не	3	1
67	потому совершенно	1	1
68	зрения и	1	1
69	мы будем	1	1
70	элементом этой	1	1
71	так называемых	1	1
72	образом если	1	1
73	этой системы	2	1
74	еще раз	2	1
75	одном случае	1	1
76	за собой	1	1
77	только такой	1	1
78	и составляет	1	1
79	области так	1	1
80	а в	5	1
81	каждый раз	1	1
82	совершенно независимо	1	1
83	представление о	1	1
84	в то	3	1
85	как он	2	1
86	на другую	1	1
87	другую и	1	1
88	этот процесс	1	1
89	в нашем	7	1
90	формы с	1	1
91	по своим	1	1
92	свою очередь	1	1
93	все те	2	1
94	с другой	7	1
95	в другом	1	1
96	отличие от	2	1
97	он называет	1	1
98	указать на	2	1
99	мы снова	1	1
100	и такие-то	1	1
101	раз из	1	1
102	но все	2	1
103	как и	5	1
104	не представляет	1	1
105	в которой	1	1
106	она не	3	1
107	еще не	9	1
108	отметить что	3	1
109	независимо от	5	1
110	бы к	1	1
111	несколько времени	1	1
112	подчеркнуть что	2	1
113	еще более	2	1
114	может дать	1	1
115	собственно и	1	1
116	о том	6	1
117	того же	4	1
118	один из	4	1
119	с совершенно	1	1
120	и потому	1	1
121	же в	1	1
122	ничего не	6	1
123	между собой	1	1
124	сколько угодно	1	1
125	еще одним	1	1
126	же время	1	1
127	так же	2	1
128	для нас	4	1
129	уже к	1	1
130	что в	13	1
131	ясно что	4	1
132	на это	1	1
133	что дело	2	1
134	чем в	2	1
135	с двух	1	1
136	а не	11	1
137	той же	3	1
138	между ними	1	1
139	может быть	14	1
140	к различным	1	1
141	в общий	1	1
142	их по	1	1
143	и должно	5	1
144	новый не	1	1
145	все равно	1	1
146	и действительно	3	1
147	эта функция	1	1
148	мы имеем	2	1
149	тем же	2	1
150	которых он	1	1
151	для наших	1	1
152	кроме того	2	1
153	она может	2	1
154	этого можно	1	1
155	и таких	1	1
156	и несколько	1	1
157	нами в	1	1
158	в том	22	1
159	и тот	2	1
160	не будем	5	1
161	основной вопрос	1	1
162	же мы	4	1
163	одной и	1	1
164	свой основной	1	1
165	это не	3	1
166	это уже	3	1
167	уже в	3	1
168	конечно не	2	1
169	в себе	1	1
170	короче и	1	1
171	одной стороны	4	1
172	каждая группа	1	1
173	больших и	1	1
174	именно эта	1	1
175	и от	1	1
176	и значит	2	1
177	но это	5	1
178	у читателя	1	1
179	так как	9	1
180	такие-то и	1	1
181	который знает	1	1
182	этого явления	1	1
183	по преимуществу	3	1
184	и той	1	1
185	этом случае	4	1
186	что это	3	1
187	теперь только	1	1
188	этот вопрос	3	1
189	он в	2	1
190	же как	1	1
191	так сказать	2	1
192	значение в	2	1
193	на которых	5	1
194	уже совершенно	2	1
195	и к	3	1
196	нам только	1	1
197	же самое	1	1
198	частном случае	2	1
199	дело идет	1	1
200	дает нам	2	1
201	на различные	1	1
202	между двумя	1	1
203	один и	2	1
204	удобной и	1	1
205	тем легче	1	1
206	идет о	1	1
207	и более	3	1
208	чем же	2	1
209	они не	3	1
210	его развития	1	1
211	в свою	1	1
212	теперь же	1	1
213	том что	11	1
214	не могут	5	1
215	в своем	4	1
216	в отличие	2	1
217	таким образам	1	1
218	и будет	1	1
219	есть такой	1	1
220	процессе развития	1	1
221	легче будет	1	1
