N	3gram	Vinokur_Ku_1	SlovoVZh
1	по отношению к	8	11
2	не может быть	3	7
3	в том что	15	4
4	тем не менее	4	3
5	этой точки зрения	2	3
6	до сих пор	4	3
7	и не в	1	3
8	и то же	1	2
9	имеем в виду	1	2
10	форма должна быть	1	2
11	на самом деле	2	2
12	с другой стороны	6	2
13	с точки зрения	9	2
14	в зависимости от	5	2
15	одно и то	1	2
16	в настоящее время	1	2
17	с одной стороны	1	2
18	тех или иных	1	1
19	но прежде всего	1	1
20	но все же	2	1
21	следует ли из	1	1
22	отношению к которому	1	1
23	как например в	1	1
24	слова и не	1	1
25	это на примере	1	1
26	точки зрения как	1	1
27	более или менее	3	1
28	во всяком случае	5	1
29	как одно из	1	1
30	в самом деле	7	1
31	степени зависит от	1	1
32	в этом смысле	3	1
33	свое выражение в	1	1
34	самом деле в	1	1
35	между тем как	1	1
36	бьют мимо цели	1	1
37	что мы имеем	1	1
38	сами по себе	1	1
39	но для этого	1	1
40	особенно важное значение	1	1
41	в свою очередь	3	1
42	в ней еще	1	1
43	берет на себя	1	1
44	о том что	5	1
45	ничего общего с	1	1
46	в этом отношении	5	1
47	тогда когда он	2	1
48	по аналогии с	1	1
49	ни в какой	1	1
50	можно было бы	3	1
51	речи так как	1	1
52	то же время	2	1
53	мы имеем в	1	1
54	в противном случае	1	1
55	хотя и здесь	1	1
56	по крайней мере	5	1
57	в то же	2	1
58	таким образом не	1	1
59	отнюдь не является	1	1
60	и грамматических форм	1	1
61	в том и	2	1
62	и тогда когда	3	1
63	так же как	1	1
64	в виду не	1	1
65	далеко не всегда	1	1
66	в литературе и	1	1
67	позицию по отношению	1	1
68	мы увидим что	2	1
69	к вопросу о	1	1
