N	4gram	Tiupa_Narr_2	SlovoVZh
1	с одной стороны и	1	2
2	позицию по отношению к	1	1
3	но то же самое	1	1
4	мы имеем дело с	2	1
5	в то время как	1	1
6	и продукт социального взаимодействия	1	1
7	взаимодействия трех говорящего автора	1	1
8	продукт социального взаимодействия трех	1	1
9	ком или о чем	1	1
10	и не может быть	1	1
11	социального взаимодействия трех говорящего	1	1
12	в то же время	3	1
13	есть выражение и продукт	1	1
14	слово есть выражение и	1	1
15	о чем говорят героя	1	1
16	выражение и продукт социального	1	1
17	и того о ком	1	1
18	того о ком или	1	1
19	о ком или о	1	1
20	читателя и того о	1	1
21	или о чем говорят	1	1
22	одним и тем же	1	1
23	по отношению к которому	1	1
24	ни в чем не	1	1
