N	2gram	Medvedev_V_1	Literetu
1	в том	2	16
2	в частности	1	15
3	том что	2	14
4	и не	1	12
5	в этом	1	12
6	и в	2	8
7	только в	1	8
8	я не	1	7
9	то же	1	5
10	столь же	1	4
11	и его	1	4
12	в конце	2	4
13	более чем	1	3
14	в самом	1	3
15	далеко не	1	3
16	в их	1	3
17	том же	1	3
18	дело в	1	3
19	сводится к	1	3
20	потому что	1	3
21	да и	1	3
22	и то	1	2
23	самом деле	1	2
24	а только	1	2
25	говорится в	1	2
26	для них	1	2
27	в новизне	1	2
28	имеется в	1	2
29	в другом	1	2
30	и только	1	2
31	хотя бы	1	2
32	тем более	1	2
33	по поводу	1	2
34	значительной степени	1	1
35	их как	1	1
36	в которых	1	1
37	по крайней	1	1
38	что сами	1	1
39	сколь и	1	1
40	все то	1	1
41	так в	1	1
42	и т.д	1	1
43	в значительной	1	1
44	на одном	1	1
45	крайней мере	1	1
46	бы потому	1	1
47	гораздо более	1	1
48	от других	1	1
49	так как	1	1
50	именно в	1	1
51	по существу	1	1
52	этом и	1	1
53	другом месте	1	1
54	говоря о	1	1
55	языка если	1	1
56	к этому	1	1
