N	3gram	Tiupa_Hudo_2	FransuaR
1	в то же	4	6
2	то же время	4	6
3	с точки зрения	2	5
4	жизни и смерти	1	5
5	не только в	2	5
6	до сих пор	2	4
7	не может быть	3	4
8	в этом отношении	1	3
9	с одной стороны	3	3
10	о том что	7	3
11	с другой стороны	1	3
12	зрения на мир	1	2
13	можно сказать что	1	2
14	видит в нем	1	2
15	в значительной степени	1	2
16	содержит в себе	1	2
17	и в то	2	2
18	но все же	1	2
19	подобно тому как	4	2
20	эта как мы	1	1
21	мы знаем что	1	1
22	если бы она	1	1
23	в г в	1	1
24	дело в том	1	1
25	по отношению к	7	1
26	в настоящее время	1	1
27	в нем еще	1	1
28	бы это был	1	1
29	при этом что	1	1
30	после выхода в	1	1
31	с этого момента	1	1
32	точкой зрения на	1	1
33	превращает их в	1	1
34	все мы люди	1	1
35	того или иного	2	1
36	как и всякая	1	1
37	и рядом с	1	1
38	в этом случае	1	1
39	они и в	2	1
40	не только не	2	1
41	более и более	1	1
42	после того как	1	1
43	для того чтобы	3	1
44	в том что	11	1
45	как и в	3	1
46	все более и	1	1
47	не нуждается в	1	1
