N	2gram	Medvedev_F_3	Retstnzi
1	не может	24	4
2	и в	27	3
3	общения и	2	2
4	социального общения	9	2
5	один из	1	2
6	и форму	1	1
7	то же	15	1
8	с другими	1	1
9	произведения но	4	1
10	можно назвать	1	1
11	не из	1	1
12	любого жанра	1	1
13	в ней	5	1
14	его от	2	1
15	о литературе	1	1
16	может быть	25	1
17	из этих	2	1
18	и не	30	1
19	в его	7	1
20	тех же	1	1
21	может и	3	1
22	связи с	5	1
23	понимания этого	1	1
24	формального метода	2	1
25	этого общения	1	1
26	лежащие в	1	1
27	первая часть	1	1
28	художественной структуры	2	1
29	осуществления в	2	1
30	не только	9	1
31	с точки	14	1
32	в каждом	5	1
33	не менее	7	1
34	для него	1	1
35	если бы	12	1
36	тому что	3	1
37	из контекста	1	1
38	литературного произведения	4	1
39	язык как	2	1
40	нет и	3	1
41	литературу из	1	1
42	можно и	1	1
43	к тому	4	1
44	к школе	1	1
45	смысл и	4	1
46	и все	8	1
47	исходя из	1	1
48	в то	7	1
49	в конкретном	4	1
50	бы в	6	1
51	художественного произведения	7	1
52	языка как	2	1
53	но и	10	1
54	вполне понятно	1	1
55	литературы то	2	1
56	точки зрения	16	1
57	ведь жанр	1	1
58	в иную	1	1
59	и на	3	1
60	мы видим	1	1
61	и должно	1	1
62	в языке	2	1
63	же время	7	1
64	искусство как	1	1
65	а не	17	1
