N	3gram	Tiupa_Narr_1	Komedia
1	в том что	8	9
2	с другой стороны	4	5
3	к тому же	4	5
4	том что он	1	4
5	то же время	3	4
6	в то же	3	4
7	по отношению к	6	3
8	в этом отношении	3	3
9	тому же в	1	3
10	речь идет о	2	3
11	с одной стороны	7	3
12	о том что	6	3
13	не в состоянии	1	2
14	то же самое	1	2
15	при этом что	1	2
16	в первую очередь	1	2
17	а то и	1	2
18	до сих пор	1	2
19	как и в	1	2
20	то ни было	3	2
21	бы то ни	3	2
22	на протяжении всего	1	2
23	или может быть	1	2
24	между людьми и	1	1
25	том что в	1	1
26	что иное как	2	1
27	следует отметить что	1	1
28	или хотя бы	1	1
29	состоит в том	3	1
30	на себя внимание	3	1
31	более или менее	2	1
32	и даже не	1	1
33	подобно тому как	2	1
34	в том числе	6	1
35	в соответствии с	1	1
36	в том же	1	1
37	же как и	1	1
38	с этой точки	1	1
39	да и в	1	1
40	во времени и	4	1
41	начала х годов	1	1
42	сам по себе	1	1
43	независимо от того	1	1
44	можно было бы	2	1
45	он не мог	1	1
46	в литературе нового	1	1
47	мы узнаем о	1	1
48	в значительной степени	2	1
49	так же как	2	1
50	в данном случае	4	1
51	обращает на себя	3	1
52	не только в	2	1
53	в отличие от	5	1
54	так или иначе	2	1
55	даже не только	2	1
56	до наших дней	1	1
57	не мог бы	1	1
58	этой точки зрения	2	1
59	в отрыве от	1	1
60	и прежде всего	1	1
61	не что иное	2	1
62	в рамках этой	2	1
63	может и не	1	1
64	по аналогии с	1	1
65	друг от друга	1	1
66	совершенно очевидно что	1	1
67	не представляется возможным	1	1
68	как мы уже	1	1
69	литературе нового времени	1	1
70	тем не менее	3	1
71	как мы видели	1	1
72	в самую суть	1	1
73	и тот же	1	1
