N	2gram	Vinokur_St_2	Mirosoze
1	и в	29	46
2	в нем	4	22
3	у него	1	22
4	может быть	2	21
5	в этом	21	20
6	не только	19	18
7	и не	9	18
8	никогда не	3	18
9	для него	4	18
10	но и	19	15
11	не может	2	15
12	как и	2	13
13	а не	5	13
14	прежде всего	5	12
15	потому что	9	12
16	и он	3	11
17	не было	3	11
18	но он	3	11
19	в ней	7	11
20	у нас	3	11
21	но в	8	10
22	в себе	2	10
23	он не	9	10
24	он был	2	9
25	не в	4	9
26	отношение к	1	8
27	в своем	9	8
28	так как	2	8
29	она не	1	8
30	как бы	5	8
31	но это	3	8
32	как в	3	7
33	и к	4	7
34	в этой	2	7
35	хотя бы	3	7
36	и потому	2	7
37	и для	1	7
38	что он	13	7
39	вопрос о	6	6
40	что это	3	6
41	в русской	5	6
42	не могу	1	6
43	он сам	1	6
44	и здесь	3	6
45	жизнь в	1	6
46	так же	3	6
47	того что	5	6
48	жизни и	1	6
49	по преимуществу	1	5
50	то же	2	5
51	я не	7	5
52	друг к	1	5
53	совсем не	1	5
54	в самом	7	5
55	что она	1	5
56	что все	1	5
57	к другу	1	5
58	в своей	7	5
59	в отношении	2	5
60	в конце	2	5
61	и его	6	5
62	к тому	10	5
63	и это	2	5
64	те же	1	5
65	один из	1	5
66	в его	13	5
67	для того	7	5
68	то что	11	5
69	и все	1	5
70	в духе	2	5
71	также и	2	4
72	с его	2	4
73	нет в	1	4
74	том что	27	4
75	с ума	1	4
76	тому что	7	4
77	не имеет	2	4
78	того чтобы	6	4
79	должны быть	1	4
80	они и	1	4
81	что у	4	4
82	так и	9	4
83	ума и	1	4
84	что и	2	4
85	в свою	1	4
86	они не	2	4
87	до конца	3	4
88	самого себя	1	4
89	т е	10	4
90	что в	19	4
91	все что	1	4
92	смысле слова	1	3
93	же как	3	3
94	это и	1	3
95	к другому	1	3
96	высшей степени	1	3
97	той же	1	3
98	и на	6	3
99	в чем	1	3
100	как он	2	3
101	в россии	3	3
102	в каждом	1	3
103	не будет	1	3
104	и с	4	3
105	на все	1	3
106	его в	2	3
107	с самим	1	3
108	на почве	2	3
109	ни в	3	3
110	в них	2	3
111	в высшей	1	3
112	для чего	1	3
113	не мог	3	3
114	что было	2	3
115	для русского	1	3
116	не для	1	3
117	можно ли	1	3
118	принадлежат к	1	3
119	того как	7	3
120	и всегда	2	3
121	только с	2	3
122	в трагедии	17	3
123	себя и	1	3
124	не существует	1	3
125	в образе	3	3
126	было в	1	3
127	если бы	2	3
128	о том	17	3
129	и во	1	3
130	что они	2	3
131	в том	27	3
132	только в	2	3
133	не так	1	3
134	тем что	3	3
135	до сих	6	3
136	к которому	1	3
137	русской истории	3	3
138	связано с	1	3
139	с которым	1	3
140	в творчестве	1	3
141	жизни в	1	3
142	сих пор	5	3
143	и от	1	3
144	отношении к	3	3
145	сказать что	2	3
146	в своих	1	3
147	те которые	1	3
148	сам по	1	2
149	разврат и	1	2
