N	3gram	Losev_Dial_4	Literetu
1	в том что	9	11
2	так или иначе	1	8
3	в отличие от	1	5
4	то же время	6	5
5	в то же	6	5
6	в данном случае	1	4
7	не только в	1	4
8	в связи с	1	4
9	прежде всего в	1	3
10	с этой точки	2	3
11	этой точки зрения	2	3
12	и прежде всего	1	3
13	дело в том	1	2
14	не говоря уже	3	2
15	подобно тому как	4	2
16	с точки зрения	9	2
17	из того что	1	2
18	и то что	1	2
19	ту или иную	2	2
20	к общему и	1	2
21	о том что	1	2
22	тем не менее	2	2
23	то что я	1	1
24	о себе в	1	1
25	только потому что	1	1
26	иметь в виду	2	1
27	а не в	1	1
28	что перед нами	1	1
29	из мира в	1	1
30	на то что	3	1
31	имеется в виду	3	1
32	и не только	1	1
33	не могли быть	1	1
34	в романе достоевского	1	1
35	в зависимости от	1	1
36	перед нами не	1	1
37	в лучшем случае	1	1
38	по крайней мере	7	1
39	то в чем	1	1
40	и в частности	2	1
41	в это время	1	1
42	а не только	1	1
43	но в то	2	1
44	в отношении к	1	1
45	в себя и	1	1
46	говоря уже о	3	1
47	в сущности только	1	1
48	и в этом	3	1
49	что он сам	1	1
50	не в силах	1	1
51	а не как	1	1
52	только в силу	1	1
53	хотя бы на	1	1
54	но только в	1	1
55	с другой стороны	1	1
56	не может быть	6	1
57	а не абсолютная	1	1
58	тем более не	3	1
59	это должно быть	1	1
60	ничего общего с	2	1
61	имел в виду	1	1
62	уже не просто	1	1
63	в свою очередь	2	1
64	в пределах одной	1	1
65	но все же	1	1
66	прежде всего это	1	1
67	может и не	1	1
68	но дело в	1	1
69	в каком отношении	1	1
70	тех или иных	1	1
71	мы имеем дело	1	1
72	и тем более	4	1
73	сознательно или бессознательно	1	1
