N	2gram	Berdyaev_N_1	formyVre
1	и в	16	50
2	в этом	7	25
3	в нем	5	24
4	человека в	1	17
5	и его	1	16
6	прежде всего	4	15
7	и не	11	14
8	в его	1	13
9	так и	2	12
10	по существу	2	12
11	образа человека	1	11
12	человека и	3	11
13	мы уже	1	11
14	может быть	7	11
15	времени и	2	10
16	но в	2	10
17	все эти	2	9
18	в конце	1	9
19	в том	8	9
20	в то	2	9
21	роль в	2	9
22	с его	6	9
23	не только	5	9
24	жизни в	3	8
25	как и	7	8
26	жизни и	8	8
27	того же	1	8
28	ни в	6	8
29	но и	3	8
30	в самом	1	8
31	и на	2	8
32	и их	1	8
33	это время	1	7
34	не было	4	7
35	и во	1	7
36	характер и	1	7
37	для себя	1	7
38	времени в	2	7
39	и того	1	6
40	не может	16	6
41	так же	2	6
42	образ человека	1	6
43	и все	4	6
44	человеческой жизни	1	6
45	в жизни	5	6
46	во всех	3	6
47	в ее	3	6
48	это не	4	6
49	то что	4	6
50	с ее	5	6
51	лишь в	6	6
52	с этим	2	6
53	у него	2	6
54	как в	3	6
55	так как	1	6
56	еще не	3	5
57	время как	2	5
58	не в	6	5
59	того чтобы	2	5
60	но не	2	5
61	одного и	1	5
62	что в	9	5
63	но все	1	5
64	для того	1	5
65	наряду с	3	5
66	в основе	3	5
67	могут быть	2	5
68	значение в	1	5
69	он не	8	5
70	и у	1	5
71	и до	1	5
72	в образе	1	5
73	и с	2	4
74	было и	1	4
75	и для	4	4
76	в котором	1	4
77	и т.п	2	4
78	потому что	4	4
79	в той	1	4
80	этого мира	1	4
81	только в	1	4
82	в них	4	4
83	нет ничего	1	4
84	том числе	1	4
85	не имеет	4	4
86	то время	1	4
87	все это	5	4
88	в ней	5	4
89	к себе	1	4
90	и это	2	4
91	конечно не	3	4
92	том что	2	4
93	в своем	1	4
94	в себе	2	3
95	не знает	6	3
96	во времени	1	3
97	во всяком	1	3
98	проходит через	1	3
99	значение и	1	3
100	для них	1	3
101	что не	1	3
102	она становится	1	3
103	сих пор	1	3
104	до сих	1	3
105	с другими	1	3
106	нем не	1	3
107	с тем	3	3
108	все ее	1	3
109	быть только	1	3
110	мы не	2	3
111	к тому	3	3
112	хотя и	2	3
113	в этих	1	3
114	вместе с	2	3
115	жизни не	3	3
116	они не	1	3
117	не имеют	2	3
118	сказать что	3	3
119	связаны с	2	3
120	в сущности	1	3
121	и потому	4	3
122	в новое	3	3
123	себе и	1	3
124	друг друга	1	3
125	по преимуществу	1	3
126	с одной	2	3
127	вообще не	1	3
128	не могут	1	3
129	себя и	1	3
130	в основу	1	3
131	а в	2	3
132	xviii века	2	3
133	их в	1	3
134	большую роль	4	3
135	ни к	2	3
136	а не	17	3
137	формы и	2	3
138	в виду	1	3
139	по природе	1	2
140	в которой	1	2
141	для всех	1	2
142	человека так	1	2
143	в значительной	1	2
144	но она	2	2
145	в исторический	1	2
146	вопрос о	3	2
147	место в	2	2
148	оно не	1	2
149	но он	1	2
150	мир и	2	2
151	от этого	1	2
152	или не	1	2
153	кризис и	1	2
154	нет в	1	2
155	не к	2	2
156	в этот	1	2
157	в каком	1	2
158	есть в	2	2
159	числе и	1	2
160	вступает в	1	2
161	хотя бы	2	2
162	в мировой	2	2
163	с ним	1	2
164	не были	1	2
165	в центре	2	2
166	в своей	3	2
167	по себе	1	2
168	жизнь в	1	2
169	совсем не	12	2
170	выход из	1	2
171	было бы	1	2
172	к жизни	3	2
173	мир в	1	2
174	нет и	2	2
175	жизни это	1	2
176	процесс в	1	2
177	к ней	1	2
178	никогда не	6	2
179	и к	5	2
180	отличие от	1	2
181	во многом	1	2
182	и культур	1	2
183	с большей	1	2
184	смысле слова	3	2
185	в чем	1	2
186	во всем	1	2
187	во все	1	2
188	и еще	1	2
189	в истории	3	2
190	же и	1	2
191	к ним	3	2
192	и даже	2	2
193	на них	1	2
194	уже не	2	2
195	вера в	1	2
196	что все	2	2
