N	2gram	Nazirov_Tv_2	formyVre
1	и в	20	50
2	то есть	5	33
3	в романе	15	32
4	в этом	8	25
5	в нем	3	24
6	человека в	3	17
7	в литературе	2	16
8	и его	9	16
9	прежде всего	8	15
10	и не	9	14
11	как мы	1	14
12	вовсе не	2	13
13	как раз	1	13
14	в его	10	13
15	так и	6	12
16	таким образом	10	11
17	человека и	3	11
18	мы уже	1	11
19	то же	7	11
20	может быть	8	11
21	но в	4	10
22	и как	1	10
23	все эти	4	9
24	же время	7	9
25	и др	3	9
26	в конце	6	9
27	в том	8	9
28	в то	10	9
29	ничего не	4	9
30	роль в	2	9
31	с его	1	9
32	не только	13	9
33	жизни в	3	8
34	как и	6	8
35	т п	2	8
36	ни в	1	8
37	и т	13	8
38	но и	8	8
39	в самом	3	8
40	и на	5	8
41	и их	1	8
42	не было	2	7
43	героя и	2	7
44	характер и	1	7
45	так сказать	2	7
46	для себя	1	7
47	все же	5	6
48	в частности	2	6
49	не может	7	6
50	так же	5	6
51	связи с	1	6
52	образ человека	2	6
53	в жизни	1	6
54	во всех	1	6
55	в их	3	6
56	в ее	2	6
57	например в	5	6
58	это не	7	6
59	то что	3	6
60	в дальнейшем	4	6
61	лишь в	1	6
62	с этим	1	6
63	у него	6	6
64	в результате	1	6
65	как в	4	6
66	так как	3	6
67	еще не	5	5
68	в связи	1	5
69	отношению к	3	5
70	не в	4	5
71	и другие	1	5
72	но не	5	5
73	что в	7	5
74	конце романа	1	5
75	отнюдь не	4	5
76	романа в	1	5
77	наряду с	7	5
78	в основе	2	5
79	если бы	4	5
80	могут быть	2	5
81	значение в	1	5
82	он не	3	5
83	в основном	6	5
84	и у	2	5
85	в пределах	1	5
86	и до	1	5
87	в образе	3	5
88	жизни но	1	5
89	и с	8	4
90	мы и	1	4
91	и для	1	4
92	в роман	2	4
93	в котором	3	4
94	роман в	1	4
95	влияние на	1	4
96	между собой	1	4
97	потому что	7	4
98	жизнь и	1	4
99	романа но	1	4
100	этого романа	1	4
101	только в	2	4
102	в них	1	4
103	в процессе	2	4
104	нет ничего	3	4
105	том числе	1	4
106	не имеет	1	4
107	то время	1	4
108	все это	6	4
109	к себе	1	4
110	и это	3	4
111	том что	4	4
112	вальтера скотта	1	3
