N	2gram	Potebnia_M_1	Narrotol
1	не только	21	32
2	может быть	27	25
3	но и	20	23
4	и не	18	20
5	то есть	42	19
6	и в	39	19
7	в том	26	18
8	в этом	15	17
9	не в	15	14
10	том что	16	14
11	тогда как	2	12
12	а не	21	12
13	то что	10	11
14	а в	5	11
15	точки зрения	8	10
16	не может	22	10
17	при этом	6	9
18	в мире	3	9
19	так и	13	9
20	в его	5	9
21	со стороны	8	9
22	в себе	13	8
23	с другой	7	8
24	еще не	6	7
25	по отношению	13	7
26	как в	10	7
27	все же	6	7
28	времени и	2	7
29	как и	9	7
30	к тому	4	7
31	с одной	3	7
32	одной стороны	3	7
33	такого рода	1	7
34	ни для	1	7
35	с его	1	6
36	но не	8	6
37	то в	5	6
38	тем самым	4	6
39	о том	2	6
40	что он	1	6
41	именно в	1	6
42	отношению к	13	6
43	но в	9	6
44	не все	2	5
45	и как	6	5
46	уже не	2	5
47	в этой	3	5
48	далеко не	1	5
49	по себе	10	5
50	и его	5	5
51	к нему	1	5
52	нуждается в	2	5
53	себя в	1	5
54	в данном	1	5
55	не предполагает	1	5
56	переход от	1	4
57	то же	6	4
58	здесь не	1	4
59	перед нами	1	4
60	в нем	20	4
61	но все	2	4
62	же не	1	4
63	и с	3	4
64	было бы	12	4
65	и тем	3	4
66	не мог	3	4
67	теперь как	1	4
68	связи с	3	4
69	имеет место	2	4
70	не столько	1	4
71	те же	1	4
72	о нем	1	4
73	одного из	2	4
74	же время	4	4
75	во втором	5	4
76	или напротив	1	4
77	вслед за	1	4
78	только в	25	4
79	хотя бы	2	4
80	у него	1	4
81	что не	10	4
82	прежде всего	4	4
83	если не	2	4
84	как бы	6	4
85	да и	1	4
86	же в	2	4
87	сказать что	3	4
88	другой стороны	5	4
89	в первом	5	3
90	же как	1	3
91	в сущности	2	3
92	жизни как	1	3
93	в ней	7	3
94	и на	1	3
95	бы то	2	3
96	в ее	1	3
97	если в	1	3
98	что они	1	3
99	хотя и	3	3
100	когда он	1	3
101	что это	3	3
102	уже в	1	3
103	из этих	4	3
104	не есть	10	3
105	он не	3	3
106	то ни	3	3
107	не будет	2	3
108	ни в	1	3
109	обратимся к	1	3
110	тем не	6	3
111	бы быть	4	3
112	не менее	6	3
113	в то	4	3
114	тем что	9	3
115	на него	3	3
116	никогда не	4	3
117	на себя	1	3
118	по своей	1	3
119	этом отношении	1	3
120	могут быть	9	3
121	как мы	2	3
122	с ее	2	3
123	свою очередь	4	3
124	в произведении	1	3
125	и самого	1	3
126	на том	1	3
127	не с	1	3
128	мог бы	2	3
129	столь же	3	3
130	между тем	5	3
131	один из	1	3
132	из них	1	3
133	в прошлом	1	3
134	и даже	4	3
