1	в то же	3	5
2	то же время	3	5
3	так и в	1	3
4	в отличие от	5	2
5	в том что	8	2
6	точно так же	2	2
7	в данном случае	6	2
8	о том что	4	2
9	то что он	1	1
10	и не может	2	1
11	к тому что	3	1
12	xx века в	1	1
13	но в конце	1	1
14	а как же	1	1
15	по сравнению с	1	1
16	не только к	1	1
17	от всего предшествующего	1	1
18	и т п	2	1
19	но при этом	3	1
20	уже не к	1	1
21	у него есть	1	1
22	в связи с	1	1
23	в чем же	1	1
24	что я не	1	1
25	по природе своей	1	1
26	в разговоре с	1	1
27	свидетельствует о его	1	1
28	а между тем	1	1
29	во всяком случае	1	1
30	с того что	1	1
31	не может быть	2	1
32	а стало быть	1	1
33	в обоих случаях	1	1
34	вместо того чтобы	1	1
35	и не могли	1	1
36	тем не менее	4	1
37	но уже не	1	1
38	что в ней	1	1
39	его дочь и	1	1
40	в самом деле	1	1
41	это по слову	1	1
42	мысль о том	2	1
43	и все же	2	1
44	не только не	2	1
