N	2gram	Medvedev_B_1	Istorich
1	не только	1	18
2	и в	1	15
3	что в	1	12
4	об этом	1	11
5	и не	2	11
6	еще не	1	9
7	все же	1	9
8	таким образом	1	7
9	было бы	1	5
10	можно было	2	5
11	так и	1	5
12	прежде всего	1	5
13	а не	1	5
14	в ней	2	4
15	и на	1	4
16	вопрос о	1	4
17	одной из	1	4
18	как будто	1	3
19	все это	2	3
20	также что	1	2
21	на самом	1	2
22	не все	1	2
23	его не	1	2
24	и ее	1	2
25	и более	1	2
26	другой стороны	1	2
27	кроме того	1	2
28	с другой	1	2
29	к ней	1	2
30	на которой	1	2
31	не было	1	2
32	будто бы	1	2
33	также не	1	2
34	можно в	1	1
35	и о	1	1
36	говорить о	1	1
37	не то	2	1
38	отнюдь не	1	1
39	остановиться на	1	1
40	далеко не	1	1
41	в своей	1	1
42	он свою	1	1
43	не вполне	1	1
44	у нас	3	1
45	в пределах	1	1
46	но автор	1	1
47	и во	1	1
48	материала по	1	1
49	со всем	1	1
50	до конца	1	1
51	следовало бы	1	1
52	и потому	1	1
53	в книге	1	1
54	он заслуживает	1	1
