N	2gram	Propp_Morf_1	Hudozhes
1	и в	13	28
2	в рассказе	1	21
3	том что	4	19
4	и не	12	18
5	в том	6	15
6	а не	11	14
7	в этом	14	13
8	не в	3	13
9	о том	2	12
10	перед нами	10	11
11	не только	4	11
12	при этом	1	11
13	как и	3	11
14	в его	1	11
15	у нее	1	10
16	уже не	2	10
17	в себе	1	9
18	но и	4	9
19	так и	6	8
20	между тем	5	8
21	что он	4	8
22	себя в	1	8
23	может быть	52	8
24	о чем	1	8
25	по отношению	4	7
26	тогда как	2	7
27	что она	2	7
28	состоит в	2	7
29	об этом	4	7
30	к тому	4	7
31	в частности	2	7
32	как это	3	7
33	и все	1	7
34	отношению к	4	7
35	то же	7	6
36	и с	1	6
37	в своей	1	6
38	в то	3	6
39	тем что	4	6
40	если бы	2	6
41	можно сказать	2	6
42	это не	6	6
43	а в	7	6
44	то что	8	6
45	с его	2	5
46	в этой	2	5
47	как в	3	5
48	что это	1	5
49	не менее	5	5
50	у него	1	5
51	ничего не	4	5
52	и его	1	5
53	она не	2	5
54	только на	1	5
55	одно из	1	5
56	для него	1	5
57	наряду с	5	5
58	как бы	3	5
59	с ее	1	5
60	что в	8	5
61	и другие	6	5
62	и т	41	4
63	но не	4	4
64	то в	3	4
65	подобно тому	6	4
66	он не	3	4
67	в других	3	4
68	тем не	5	4
69	для нее	1	4
70	тому что	4	4
71	и сама	1	4
72	как будто	2	4
73	того чтобы	3	4
74	вслед за	5	4
75	что они	2	4
76	только в	2	4
77	в качестве	5	4
78	что и	7	4
79	как раз	1	4
80	для того	2	4
81	не может	14	4
82	тому как	5	4
83	у вас	1	4
84	по его	1	3
85	еще не	3	3
86	и на	1	3
87	не все	6	3
88	со стороны	3	3
89	следующим образом	3	3
90	бы не	1	3
91	можно было	2	3
92	мы уже	1	3
93	с другими	1	3
94	было бы	3	3
95	в это	1	3
96	в них	1	3
97	несмотря на	4	3
98	в этих	13	3
99	этом и	1	3
100	на него	3	3
101	же самое	1	3
102	когда в	1	3
103	к нему	3	3
104	одной из	1	3
105	с ними	1	3
106	и ее	3	3
107	с одной	1	3
108	для нас	2	3
109	характерно что	1	3
110	в одном	1	3
111	с другой	8	3
112	на ее	1	3
113	а с	2	3
114	прежде всего	9	3
115	так же	3	3
116	одной стороны	1	3
117	в состоянии	1	3
118	ли в	1	3
119	или в	4	3
120	все они	1	3
121	есть и	4	3
122	самом деле	4	3
123	и то	1	2
124	в первом	3	2
125	который в	2	2
126	говорить о	3	2
127	а для	1	2
128	он сам	1	2
129	тем как	1	2
130	если в	5	2
131	ответ на	1	2
132	отношение к	1	2
133	более чем	1	2
134	все же	7	2
135	не думал	1	2
136	как уже	2	2
137	и к	4	2
138	но в	2	2
139	та же	2	2
140	в нашем	3	2
141	из этих	1	2
142	не более	1	2
143	и становится	1	2
144	т д	39	2
145	на этом	3	2
146	прежде чем	3	2
147	оно не	2	2
148	однако в	2	2
149	ее по	3	2
150	могла бы	4	2
151	не будет	1	2
152	же не	1	2
153	а по	3	2
154	не с	2	2
155	его в	2	2
156	это было	3	2
157	о которых	1	2
158	и тогда	1	2
159	в г	1	2
160	с точки	2	2
161	она в	2	2
162	не столько	1	2
163	что говорит	1	2
164	нельзя было	2	2
165	сам он	3	2
166	дело не	2	2
167	того как	2	2
168	одна из	4	2
169	не по	2	2
170	к ней	1	2
171	ему в	1	2
172	в основе	1	2
173	они и	3	2
174	приходит к	1	2
175	как мы	6	2
176	людей в	1	2
177	данном случае	1	2
178	мысль о	1	2
179	она может	1	2
180	приводит к	2	2
181	на свой	1	2
182	с собой	3	2
183	те же	1	2
184	до сих	1	2
185	том как	1	2
186	в последней	1	2
187	в другом	2	2
188	и просто	1	2
189	с того	3	2
190	а также	4	2
191	того или	1	2
192	во втором	3	2
193	один из	5	2
194	здесь не	2	2
195	идет по	2	2
196	дело с	1	2
197	ли он	1	2
198	с какой	1	2
199	и у	1	2
200	в виде	2	2
201	его и	2	2
202	из них	3	2
203	вовсе не	4	2
204	сих пор	1	2
205	другого и	1	2
206	как же	2	2
207	еще и	1	2
208	себя и	2	2
209	что не	1	2
210	ей не	1	2
211	однако и	1	2
212	этот мотив	1	2
213	в данном	1	2
214	видит в	1	2
215	не зная	1	2
216	с такой	1	2
217	в ряду	1	2
218	что же	2	2
219	только для	1	2
220	о его	1	2
221	не является	3	2
222	и для	2	2
223	в голову	1	2
224	это уже	3	2
225	у которого	1	2
226	потому что	3	2
227	хотя бы	4	2
228	точки зрения	2	2
229	между ними	1	2
230	сказать что	2	2
231	они все	1	2
232	что даже	1	2
233	т е	21	2
234	этой связи	1	2
235	как на	1	2
236	одним из	1	1
237	например в	2	1
238	таком случае	1	1
239	тех же	4	1
240	это и	2	1
241	свою жену	1	1
242	высшей степени	1	1
243	момент когда	2	1
244	также и	4	1
245	чего в	1	1
246	это описано	1	1
247	для общего	1	1
248	мы имеем	9	1
249	мы не	8	1
250	ответить на	1	1
251	со смертью	2	1
252	в сущности	3	1
253	время как	3	1
254	но то	1	1
255	не совсем	1	1
256	кто же	1	1
257	это время	1	1
258	он был	1	1
259	между собой	4	1
260	прячется в	1	1
261	бы то	3	1
262	в различных	2	1
263	во всех	4	1
264	и рядом	1	1
265	легко и	1	1
266	одна за	1	1
267	себе он	1	1
268	а он	1	1
269	или иное	1	1
270	ни одна	4	1
271	во что	1	1
272	герой при	1	1
273	в течение	1	1
274	в одной	1	1
275	в той	1	1
276	только об	1	1
277	не ощущается	1	1
278	показать что	4	1
279	на других	1	1
280	более и	1	1
281	и нет	1	1
282	предметы и	1	1
283	хотя и	3	1
284	еще мал	1	1
