N	4gram	Vinokur_Ku_3	Myslijsy
1	и в этом случае	1	3
2	в то же время	1	3
3	если бы не было	1	2
4	до тех пор пока	4	2
5	один и тот же	2	2
6	ответа на этот вопрос	1	1
7	и не может быть	1	1
8	и т п и	4	1
9	на этот вопрос мы	1	1
10	только после того как	2	1
11	и вместе с тем	1	1
12	что сплошь да рядом	2	1
13	не в том что	2	1
14	то же самое что	1	1
15	в том смысле что	1	1
16	и т п но	3	1
17	в то время когда	1	1
18	можно говорить о языке	1	1
19	тех пор пока мы	1	1
20	а может быть и	1	1
21	одним и тем же	2	1
22	на самом деле есть	1	1
23	одного и того же	2	1
24	имеет в своем распоряжении	1	1
25	одной и той же	1	1
26	в силу того что	1	1
27	лишь в том случае	2	1
28	заключается в том что	1	1
29	когда мы говорим что	1	1
30	в том случае когда	3	1
