N	4gram	Vygotskiy__3	Vvedenie
1	не что иное как	1	4
2	приходим к выводу что	1	4
3	состоит в том что	3	2
4	есть не что иное	1	2
5	одной и той же	2	2
6	заключается в том что	6	2
7	одного и того же	4	1
8	и в этом смысле	1	1
9	тем не менее не	1	1
10	в гораздо большей мере	1	1
11	все же в них	1	1
12	в том что с	1	1
13	во всяком случае не	1	1
14	в собственном смысле слова	2	1
15	в связи с этим	1	1
16	заключается в том чтобы	1	1
17	собственном смысле этого слова	4	1
18	бы то ни было	1	1
19	в том виде как	2	1
20	с этой точки зрения	2	1
21	так как если бы	1	1
22	одном и том же	1	1
23	если принять во внимание	1	1
24	в собственном смысле этого	4	1
25	и не потому что	1	1
26	представление о том что	1	1
27	к выводу что и	1	1
