N	2gram	Potebnia_M_1	VerxiiNi
1	и в	39	26
2	таким образом	13	22
3	с тем	5	18
4	в этом	15	15
5	вместе с	8	15
6	точки зрения	8	13
7	как бы	6	12
8	в том	26	11
9	из этих	4	10
10	не только	21	10
11	и с	3	10
12	может быть	27	10
13	связи с	3	9
14	в области	1	9
15	так как	21	9
16	но и	20	9
17	что в	22	9
18	но не	8	8
19	с другой	7	8
20	и не	18	8
21	как на	3	8
22	но в	9	7
23	связанные с	1	7
24	но все	2	7
25	из них	1	7
26	том что	16	7
27	потому что	52	7
28	к нему	1	7
29	с одной	3	7
30	то что	10	7
31	одной стороны	3	7
32	того же	3	6
33	все же	6	6
34	все эти	1	6
35	в себе	13	6
36	всяком случае	1	6
37	с точки	3	6
38	в отношении	1	6
39	к тому	4	6
40	так и	13	6
41	о том	2	6
42	что и	6	6
43	несмотря на	5	6
44	и потому	5	6
45	все это	1	6
46	мы должны	3	6
47	во всяком	3	6
48	сих пор	1	5
49	в мире	3	5
50	лишь в	1	5
51	или менее	1	5
52	по крайней	2	5
53	не имеет	5	5
54	того чтобы	2	5
55	никогда не	4	5
56	для того	3	5
57	образом в	1	5
58	в его	5	5
59	крайней мере	2	5
60	до сих	1	5
61	а не	21	5
62	и для	5	5
63	так же	5	5
64	более или	1	5
65	в котором	1	4
66	то же	6	4
67	в течение	2	4
68	в самом	3	4
69	в этой	3	4
70	и по	6	4
71	что все	3	4
72	то есть	42	4
73	с другими	1	4
74	должен был	1	4
75	он не	3	4
76	далеко не	1	4
77	в которых	1	4
78	в то	4	4
79	в нем	20	4
80	а в	5	4
81	что оно	2	4
82	и что	10	4
83	и только	2	4
84	только в	25	4
85	и вместе	2	4
86	на этот	2	4
87	ничем не	1	4
88	не может	22	4
89	в так	1	4
90	в смысле	4	4
91	и от	3	4
92	в этих	7	4
93	во время	1	4
94	что он	1	4
95	в виде	1	4
96	же как	1	3
97	не вполне	1	3
98	если в	1	3
99	к сожалению	1	3
100	в своем	3	3
101	и нет	1	3
102	когда он	1	3
103	и как	6	3
104	в которой	2	3
105	что это	3	3
106	друг за	1	3
107	и если	2	3
