N	2gram	Medvedev_S_1	UchenyiS
1	и в	3	14
2	формальный метод	1	11
3	не только	3	10
4	прежде всего	1	8
5	и не	1	8
6	не может	1	7
7	в этом	5	7
8	то что	2	7
9	может быть	2	6
10	то же	2	5
11	и только	3	5
12	все это	7	5
13	хотя бы	1	5
14	с другой	1	4
15	но и	2	4
16	в конечном	1	4
17	конечном счете	1	4
18	в этой	1	4
19	конечно не	1	4
20	вряд ли	1	3
21	это не	1	3
22	было бы	2	3
23	как и	1	3
24	для этого	1	3
25	в частности	2	3
26	в своей	1	3
27	очевидно что	2	3
28	этой области	1	3
29	в то	1	3
30	все же	1	3
31	истории литературы	10	3
32	пришлось бы	1	3
33	же время	1	3
34	в области	1	3
35	что все	1	2
36	а между	1	2
37	крайней мере	1	2
38	же не	1	2
39	художественных произведений	1	2
40	пишет он	1	2
41	противном случае	1	2
42	должна быть	2	2
43	выдвигает на	1	2
44	мы не	1	2
45	ничего не	1	2
46	том что	2	2
47	на первый	1	2
48	литературы и	2	2
49	словесного творчества	1	2
50	говоря иначе	1	2
51	но не	1	2
52	дело конечно	1	2
53	в его	3	2
54	по крайней	1	2
55	по существу	2	2
56	по себе	1	2
57	более чем	3	2
58	конце концов	2	2
59	в противном	1	2
60	в том	5	2
61	что он	1	2
62	между тем	1	2
63	только в	2	2
64	не в	3	2
65	представляется нам	1	2
66	метода как	1	2
67	в конце	2	2
68	же самое	1	2
69	тем что	1	2
70	что она	1	2
71	таким образом	2	2
72	общих принципов	2	1
73	формальным методом	1	1
74	даже не	1	1
75	наука о	1	1
76	историко-литературной методологии	1	1
77	изучения литературы	1	1
78	никогда не	1	1
79	произведение как	1	1
80	как живой	1	1
81	так и	1	1
82	одной стороны	1	1
83	историю литературы	1	1
84	исторической поэтики	1	1
85	к вопросам	1	1
86	со своими	1	1
87	иначе говоря	1	1
88	случае пришлось	1	1
89	остается в	1	1
90	морфологический метод	1	1
91	тех кто	1	1
92	метод и	2	1
93	как искусство	1	1
94	стать наукой	2	1
95	о том	1	1
96	и потому	1	1
97	в котором	1	1
98	только для	1	1
99	и что	2	1
100	первый план	1	1
101	изучаемого объекта	1	1
102	единства и	1	1
103	как науки	1	1
104	где же	1	1
105	павел медведев	1	1
106	для изучения	1	1
107	в данном	1	1
108	бы в	1	1
109	не без	1	1
110	это значит	1	1
111	за пределы	2	1
112	быть не	1	1
113	к изучению	1	1
114	отнюдь не	1	1
115	литературы как	1	1
116	метода конечно	1	1
117	поэтики и	1	1
118	она должна	1	1
119	объекта и	1	1
120	ibid стр	5	1
121	не было	1	1
122	это же	1	1
123	с одной	1	1
124	но именно	1	1
125	без этого	1	1
126	тем более	2	1
127	вне пределов	1	1
128	далеко не	2	1
129	в процессе	1	1
130	в виде	1	1
131	их обработки	1	1
132	или даже	2	1
133	методологии истории	3	1
134	методология истории	1	1
135	только как	2	1
136	история литературы	1	1
137	методологического монизма	2	1
138	может служить	1	1
139	у него	1	1
140	этого и	1	1
141	природы изучаемого	1	1
142	о литературе	3	1
143	что в	2	1
