N	2gram	Propp_Isto_6	SlovoVZh
1	не может	6	16
2	может быть	11	14
3	точки зрения	1	14
4	как бы	4	13
5	и его	7	13
6	таким образом	12	12
7	и в	26	12
8	по отношению	2	11
9	отношению к	2	11
10	и не	10	10
11	если бы	3	9
12	так как	18	9
13	прежде всего	4	8
14	сказать что	3	7
15	для нас	2	7
16	в ней	5	6
17	в том	12	6
18	только в	5	6
19	при этом	3	6
20	в нем	8	6
21	все время	2	6
22	должна быть	3	5
23	то же	5	5
24	можно сказать	2	5
25	как в	6	5
26	но в	7	5
27	и др	2	5
28	в жизни	1	5
29	а не	2	5
30	как и	5	5
31	что мы	2	5
32	том что	10	5
33	никогда не	13	5
34	то что	6	5
35	зависимости от	2	4
36	к нему	1	4
37	в этом	12	4
38	все же	8	4
39	уже не	7	4
40	не только	10	4
41	отношение к	1	4
42	от того	3	4
43	так и	5	4
44	с другой	10	4
45	что не	2	4
46	не в	3	4
47	его в	5	4
48	и к	1	4
49	жизни и	2	4
50	и на	12	4
51	здесь не	2	3
52	в котором	1	3
53	ясно что	1	3
54	еще не	9	3
55	мы не	6	3
56	с героем	1	3
57	о том	7	3
58	и герой	1	3
59	но и	9	3
60	между тем	1	3
61	того что	2	3
62	быть и	1	3
63	когда он	3	3
64	и наконец	3	3
65	и ее	3	3
66	все эти	8	3
67	в себе	3	3
68	для него	1	3
69	и по	4	3
70	и с	6	3
71	до сих	4	3
72	ни в	2	3
73	в некоторых	2	3
74	и пр	1	3
75	в них	3	3
76	в своей	3	3
77	так же	2	3
78	тем не	1	3
79	этой точки	1	3
80	и более	1	3
81	из этого	3	3
82	сих пор	4	3
83	не менее	1	3
84	все это	1	3
85	но для	2	3
86	и для	1	3
87	ее и	1	3
88	находит свое	1	3
89	с ним	8	3
90	и то	3	2
91	как это	5	2
92	те же	1	2
93	со всех	1	2
94	мы имеем	14	2
95	нас и	1	2
96	совпадает с	1	2
97	и здесь	1	2
98	с его	4	2
99	но мы	2	2
100	и что	5	2
101	нас же	1	2
102	данном случае	3	2
103	в данном	3	2
104	в его	5	2
105	что и	4	2
106	в форме	2	2
107	относится к	2	2
108	нашего сознания	1	2
109	независимо от	3	2
110	в своем	2	2
111	кроме того	3	2
112	как уже	1	2
113	его к	1	2
114	дело с	1	2
115	с одной	7	2
116	уже в	1	2
117	и те	2	2
118	имеем в	4	2
119	жизнью и	1	2
120	он не	2	2
121	не так	2	2
122	в зависимости	1	2
123	к ним	1	2
124	мы можем	7	2
125	но что	1	2
126	из него	2	2
127	одно и	1	2
128	но все	2	2
129	в особенности	1	2
130	на все	1	2
131	на примере	1	2
132	это не	4	2
133	оно не	1	2
134	социальной жизни	1	2
135	одной стороны	7	2
136	зависит от	4	2
137	другой стороны	8	2
138	его как	1	2
139	там где	5	2
140	связь с	11	2
141	вместе с	8	2
142	можно найти	1	2
143	но не	2	2
144	быть только	2	2
145	с этой	2	2
146	она не	3	2
147	еще раз	1	2
148	на один	1	2
149	такой же	3	2
150	этой стороны	1	2
151	в то	5	2
152	на него	2	2
153	окно и	2	2
154	ничего не	2	2
155	этих двух	1	2
156	но зато	1	2
157	в этих	2	2
158	есть уже	1	2
159	но это	4	2
160	между ними	1	2
161	стороны и	2	2
162	могут быть	3	2
163	и вполне	1	2
164	как только	3	2
165	что в	12	2
166	как на	3	2
167	и другие	3	2
168	не есть	2	2
169	к этому	3	2
170	и это	8	1
171	ту же	2	1
172	например в	7	1
173	же как	3	1
174	как мы	4	1
175	и о	1	1
176	с ее	1	1
177	некоторые стороны	1	1
178	совершенно ясно	4	1
179	нами выше	1	1
180	нам кажется	2	1
181	он находится	1	1
182	меняет и	1	1
183	только то	2	1
184	говорит так	1	1
185	то время	3	1
186	из его	2	1
187	не имеют	1	1
188	и больше	2	1
189	по аналогии	1	1
190	можно было	2	1
191	этом направлении	1	1
192	мы уже	6	1
193	часто этот	1	1
194	лет и	1	1
195	часто в	1	1
196	это только	1	1
197	жизнь и	1	1
198	та же	3	1
199	я знаю	1	1
200	место но	1	1
201	для этого	1	1
202	он как	1	1
203	не вполне	2	1
204	сводится к	2	1
205	но то	1	1
206	слова из	1	1
207	не знают	1	1
208	и он	4	1
209	всех сторон	1	1
210	но при	2	1
211	на них	1	1
212	там же	3	1
213	с соответствующими	2	1
214	аналогии с	1	1
215	так если	1	1
216	во всех	1	1
217	образом мы	1	1
218	то мы	1	1
219	ранних ступенях	2	1
220	от его	1	1
221	них всегда	1	1
222	отметить что	2	1
223	в свои	2	1
224	и можно	1	1
225	что они	2	1
226	именно в	1	1
227	остается при	1	1
228	он или	1	1
229	в одной	2	1
230	так для	1	1
231	в лице	2	1
232	что именно	1	1
233	так называемая	1	1
234	пути в	1	1
235	в современной	1	1
236	что здесь	3	1
237	на которой	1	1
238	перед нами	2	1
239	хотя и	1	1
240	стиль в	1	1
241	на другие	1	1
242	ли он	1	1
243	более или	1	1
244	себе не	1	1
245	следующим образом	1	1
246	увидим что	2	1
247	пор не	1	1
248	как нечто	1	1
249	более глубокую	1	1
250	его близости	1	1
251	тому как	1	1
252	может дать	1	1
253	весь круг	1	1
254	что это	2	1
255	в целом	1	1
256	не получил	1	1
257	формы в	1	1
258	если мы	1	1
259	есть в	1	1
260	им в	1	1
261	мы обратимся	1	1
262	дальше и	1	1
263	в виде	6	1
264	что она	3	1
265	обращение к	1	1
266	или даже	1	1
267	при помощи	3	1
268	они пытаются	1	1
269	она становится	1	1
270	они выдают	1	1
271	его и	1	1
272	одно из	1	1
273	объяснение ее	1	1
274	себе в	4	1
275	всяком случае	2	1
276	не как	1	1
277	пор мы	2	1
278	в одном	3	1
279	и вот	3	1
280	вовсе не	2	1
281	особенно ясно	3	1
282	у нее	1	1
283	можно с	1	1
284	друг друга	1	1
285	как его	1	1
286	у него	7	1
287	подобно тому	1	1
288	кто же	1	1
289	на этом	1	1
290	она имеет	2	1
291	есть выражение	1	1
292	здесь мы	4	1
293	и только	3	1
294	что все	1	1
295	в другом	1	1
296	связанных с	1	1
297	ни одной	2	1
298	и из	1	1
299	них в	1	1
300	было бы	2	1
301	и создает	1	1
302	и соответствующие	2	1
303	и тем	4	1
304	кажется что	2	1
305	но есть	3	1
306	может находиться	1	1
307	от нее	2	1
308	но уже	1	1
309	люди не	1	1
310	не было	3	1
311	а с	2	1
312	это прежде	1	1
313	не знает	1	1
314	далеко не	3	1
315	в ее	1	1
316	не всегда	4	1
317	он имеет	4	1
318	одна и	1	1
319	несмотря на	1	1
320	на передний	1	1
321	а одно	2	1
322	если этот	1	1
323	о чем	2	1
324	на эту	1	1
325	такою же	1	1
326	представление как	1	1
327	же не	2	1
328	и некоторые	2	1
329	в истории	1	1
330	обратимся к	1	1
331	остается в	1	1
332	для этой	1	1
333	и становится	1	1
334	мы видели	11	1
335	или менее	1	1
336	это на	1	1
337	вступает в	1	1
338	знают только	1	1
339	но если	1	1
340	в частности	3	1
341	видели в	2	1
342	то он	2	1
343	передний план	1	1
344	относятся к	1	1
345	то есть	1	1
346	она в	2	1
347	к одному	1	1
348	плоть и	1	1
349	солнца мы	1	1
350	не могут	1	1
351	что я	1	1
352	если оно	1	1
353	он будет	1	1
354	наряду с	3	1
355	и тот	1	1
356	которые в	2	1
357	всегда имеет	1	1
358	конечно эти	1	1
359	и должна	1	1
360	того кто	1	1
361	на эти	2	1
362	что например	1	1
363	можно наблюдать	2	1
364	же мы	5	1
365	эти вопросы	1	1
366	и вся	1	1
367	по мере	1	1
368	одна сторона	2	1
369	другую форму	1	1
370	природу и	1	1
371	костяк который	1	1
372	в так	1	1
373	в обоих	1	1
374	вне поля	1	1
375	как о	1	1
376	в русской	6	1
377	или какое-нибудь	1	1
378	не является	1	1
379	в основе	1	1
380	только одна	3	1
381	время как	3	1
382	к пониманию	1	1
383	того чтобы	1	1
384	не существует	1	1
385	это мы	2	1
386	человека для	1	1
387	такое понимание	2	1
388	эта сторона	2	1
389	в качестве	3	1
390	к одной	1	1
391	от него	3	1
392	человека или	1	1
393	тем более	1	1
394	эта проекция	1	1
395	не должен	1	1
396	мы должны	2	1
397	по своей	1	1
398	обстоит дело	1	1
399	здесь же	4	1
400	следует отметить	1	1
401	в свою	1	1
402	эти три	3	1
403	этого развития	1	1
404	ним на	1	1
405	уже и	1	1
406	как будто	3	1
407	который обрастает	1	1
408	в области	1	1
409	образом не	1	1
410	приближается к	1	1
411	может и	1	1
412	в стиле	1	1
413	у нас	5	1
414	и оно	1	1
415	и сейчас	2	1
416	равно как	1	1
417	что можно	1	1
418	является и	3	1
419	когда мы	2	1
420	есть только	1	1
421	время не	1	1
422	героя в	2	1
423	должны быть	2	1
424	живет и	1	1
425	частности в	1	1
426	что оно	4	1
427	но эти	2	1
428	его значение	1	1
429	и эта	3	1
430	или он	2	1
431	в таком	1	1
432	во всяком	2	1
433	они не	3	1
434	к тому	2	1
