N	3gram	Vygotskiy__3	OGranits
1	с точки зрения	1	5
2	не может быть	2	4
3	по отношению к	2	3
4	что иное как	1	2
5	в зависимости от	5	2
6	в данном случае	1	2
7	с одной стороны	5	2
8	с другой стороны	3	2
9	того или иного	2	2
10	ничего общего с	1	2
11	есть не что	1	2
12	с самого начала	6	2
13	зависимости от этого	2	2
14	не что иное	1	2
15	в том что	17	2
16	и не является	1	2
17	в другом месте	1	1
18	том что в	1	1
19	тот же самый	1	1
20	только потому что	2	1
21	что в основе	1	1
22	этой точки зрения	2	1
23	мы не сумеем	1	1
24	более или менее	1	1
25	подобно тому как	1	1
26	то же самое	1	1
27	вывод к которому	1	1
28	к которому приходит	1	1
29	в человеческом обществе	1	1
30	в отличие от	6	1
31	между тем как	1	1
32	в этом отношении	3	1
33	то что в	2	1
34	в собственном смысле	6	1
35	человеческой речи не	1	1
36	можно было бы	5	1
37	с этой точки	2	1
38	по себе а	1	1
39	а представляет собою	1	1
40	ту или иную	1	1
41	в последнее время	3	1
42	для того чтобы	7	1
43	так же как	6	1
44	все эти три	1	1
45	если бы мы	1	1
46	и в его	1	1
47	состоит в том	3	1
48	на том основании	1	1
49	на основе такого	2	1
50	тем не менее	5	1
51	и вместе с	2	1
52	и как бы	1	1
53	в связи с	5	1
54	само по себе	2	1
55	собственном смысле слова	2	1
56	себе а лишь	1	1
57	не мог бы	3	1
58	но столь же	1	1
59	в связи со	1	1
60	том основании что	1	1
61	но тем не	1	1
62	мы не можем	1	1
63	так же точно	3	1
64	между словами и	1	1
65	та или иная	3	1
66	и превращается в	1	1
67	включает в себя	2	1
68	выходит за пределы	1	1
69	в течение всего	1	1
70	распадаются на две	1	1
71	на то что	3	1
72	никоим образом не	1	1
73	к тому что	1	1
74	в последнем счете	1	1
75	человека и его	1	1
76	как и в	2	1
77	же самое слово	1	1
