N	2gram	Bakhtin_Pr_5	Morfolog
1	может быть	14	52
2	и пр	1	40
3	таким образом	7	20
4	не может	18	17
5	в этих	2	16
6	с этим	3	14
7	и в	35	13
8	действующих лиц	1	13
9	в этом	14	13
10	так как	4	12
11	перед нами	1	11
12	связи с	1	11
13	то же	15	9
14	так и	8	9
15	этом случае	1	9
16	прежде всего	12	9
17	а не	4	9
18	и не	27	9
19	а затем	2	8
20	что и	3	8
21	с другой	4	8
22	в результате	1	8
23	вопрос о	2	7
24	в качестве	1	7
25	все же	8	7
26	но не	6	6
27	это не	3	6
28	во время	5	6
29	подобно тому	2	6
30	не могут	1	6
31	в форме	3	6
32	в том	5	6
33	а в	7	6
34	мы не	1	5
35	во всех	3	5
36	не все	1	5
37	тому как	2	5
38	то что	10	5
39	здесь можно	1	5
40	далеко не	1	5
41	не менее	2	5
42	потому что	8	5
43	или в	2	5
44	этот момент	1	5
45	один из	1	5
46	мы увидим	2	5
47	как бы	31	5
48	и другие	1	5
49	тех же	1	4
50	показать что	2	4
51	то это	1	4
52	что его	2	4
53	как в	5	4
54	хотя и	2	4
55	и как	2	4
56	не только	10	4
57	на его	4	4
58	на этом	2	4
59	об этом	1	4
60	его в	4	4
61	было бы	3	4
62	вовсе не	7	4
63	как и	18	4
64	точки зрения	7	4
65	с точки	2	4
66	тем не	1	4
67	на котором	1	4
68	ничего не	3	4
69	тем что	4	4
70	очень часто	2	4
71	в других	1	4
72	как мы	8	4
73	его самого	1	4
74	по отношению	6	4
75	случае не	1	4
76	в некоторых	1	4
77	другой стороны	3	4
78	там где	7	4
79	так же	7	4
80	оно может	1	4
81	отношению к	7	4
82	героя в	5	4
83	что в	6	4
84	начинается с	1	3
85	самом деле	10	3
86	на самом	9	3
87	в первом	2	3
88	и для	8	3
89	из приведенных	1	3
90	вступают в	1	3
91	независимо от	1	3
92	но в	19	3
93	к чему	1	3
94	в целом	3	3
95	в пределах	11	3
96	к герою	8	3
97	он должен	1	3
98	и по	2	3
99	но все	4	3
100	входит в	1	3
101	из них	3	3
102	ни в	2	3
103	в один	1	3
104	том что	3	3
105	о герое	1	3
106	в то	11	3
107	реагирует на	1	3
108	в сущности	14	3
109	на него	5	3
110	того чтобы	1	3
111	здесь же	1	3
112	и другим	1	3
113	для героя	1	3
114	на нем	1	3
115	в живых	1	3
116	с собой	2	3
117	если бы	1	3
118	ивана в	4	3
119	но и	14	3
120	он не	13	3
121	во втором	1	3
122	к нему	13	3
123	и ее	1	3
124	не происходит	1	3
125	в начале	3	3
126	а то	1	3
127	друг друга	2	3
128	мы можем	2	3
129	не является	1	3
130	с иваном	1	3
131	что они	6	3
132	из которых	1	3
133	но это	6	3
134	кроме того	1	3
135	это уже	2	3
136	мы должны	3	3
137	только что	3	3
138	же в	1	3
139	требует чтобы	1	3
140	героя и	10	3
141	в последнем	2	3
142	что эти	1	2
143	есть нечто	1	2
144	время как	2	2
145	совсем не	3	2
146	друг на	2	2
147	а с	3	2
148	герой не	2	2
149	себя за	2	2
150	что действительно	1	2
151	и к	12	2
152	то в	2	2
153	та же	4	2
154	сказать о	1	2
155	из его	2	2
156	героя к	2	2
157	у ивана	2	2
158	одному из	1	2
159	он старается	4	2
160	в нее	1	2
161	можно было	2	2
162	бы они	2	2
163	в другом	12	2
164	мы уже	8	2
165	большинстве случаев	2	2
166	это было	2	2
167	в ином	1	2
168	ни одной	1	2
169	этого не	3	2
170	с тем	3	2
171	на друга	2	2
172	для него	14	2
173	и при	1	2
174	что такое	1	2
175	героя у	1	2
176	героя из	3	2
177	и более	1	2
178	однако в	2	2
179	заставляет его	1	2
180	все эти	3	2
181	в таких	1	2
182	с теми	1	2
183	одна из	1	2
184	на дороге	1	2
185	и его	14	2
186	так например	1	2
187	к себе	18	2
188	можно сравнить	1	2
