N	2gram	Trubetskoy_1	NovoeSre
1	а не	1	17
2	и в	23	16
3	не может	17	16
4	во имя	3	15
5	совсем не	1	12
6	и не	8	11
7	истории и	1	9
8	что в	8	9
9	как не	2	8
10	в том	30	8
11	жизни и	2	8
12	он не	3	8
13	культуры и	9	7
14	в этом	12	7
15	может быть	16	7
16	не будет	5	7
17	как и	9	7
18	это есть	4	7
19	высшей степени	1	6
20	с его	1	6
21	не в	8	6
22	в высшей	1	6
23	никогда не	4	6
24	лишь в	5	6
25	не знает	2	6
26	воля к	1	6
27	должен быть	1	5
28	с ее	2	5
29	в ней	3	5
30	культуры в	10	5
31	и к	5	5
32	не только	7	5
33	в жизни	3	5
34	все это	11	5
35	в нем	3	5
36	не во	1	4
37	быть может	1	4
38	о том	7	4
39	жизни к	1	4
40	перестает быть	1	4
41	в них	2	4
42	то что	18	4
43	это не	3	4
44	прежде всего	3	4
45	не было	2	4
46	должно быть	4	4
47	и потому	3	4
48	по своему	5	4
49	не менее	7	4
50	и для	6	4
51	не имеет	1	4
52	и все	7	4
53	потому что	9	4
54	с другой	6	3
55	смысле слова	1	3
56	должна быть	5	3
57	вопрос о	3	3
58	и начало	1	3
59	еще не	5	3
60	во всех	10	3
61	в истории	3	3
62	наряду с	1	3
63	как в	1	3
64	конечно не	3	3
65	к ним	2	3
66	в мире	6	3
67	но и	9	3
68	это было	1	3
69	не есть	2	3
70	и пр	1	3
71	с тем	2	3
72	в своей	1	3
73	к жизни	1	3
74	в прошлом	1	3
75	она не	2	3
76	что такое	1	3
77	в основе	2	3
78	жизни в	1	3
79	к тому	8	3
80	сказать что	1	3
81	и это	3	2
82	же как	3	2
83	силы и	1	2
84	это и	1	2
85	время как	1	2
86	роль в	1	2
87	ведь и	1	2
88	можно было	1	2
89	так и	10	2
90	мы не	1	2
91	общества и	1	2
92	и с	5	2
93	государств не	1	2
94	для этого	7	2
95	стремление к	1	2
96	будет уже	1	2
97	я не	2	2
98	и что	8	2
99	они считают	1	2
100	и на	6	2
101	быть в	1	2
102	но не	2	2
103	в центре	1	2
104	с этим	11	2
105	помнить что	1	2
106	хотя и	4	2
107	каждого человека	2	2
108	но в	4	2
109	все эти	19	2
110	с одной	3	2
111	есть в	2	2
112	в себе	5	2
113	права и	1	2
114	уже не	1	2
115	в религиозном	1	2
116	не могла	1	2
117	не будут	2	2
118	не к	1	2
119	том чтобы	2	2
120	приобщиться к	2	2
121	у него	5	2
122	что она	1	2
123	и заключается	1	2
124	в одну	4	2
125	что все	5	2
126	нет и	1	2
127	и даже	1	2
128	связаны с	1	2
129	зависит от	1	2
130	том что	19	2
131	вместе с	6	2
132	так же	8	2
133	мысли и	1	2
134	одной стороны	2	2
135	другой стороны	5	2
136	по существу	6	2
137	том и	2	2
138	ни одна	1	2
139	как будто	5	2
140	такой же	2	2
141	но для	2	2
142	в то	6	2
143	одна из	2	2
144	того чтобы	8	2
145	жизнью в	1	2
146	и от	5	2
147	силы над	1	2
148	и весь	1	2
149	не ставит	1	2
150	хотя бы	4	2
151	все они	5	2
152	а в	3	2
153	ли это	1	2
154	истории все	2	2
155	на гибель	1	2
156	могут быть	1	2
157	и культуры	4	2
158	можно назвать	3	2
159	человечества это	1	1
160	от этой	1	1
161	оно может	1	1
162	на классы	1	1
163	народ а	2	1
164	их будет	1	1
165	для себя	2	1
166	он может	1	1
167	прогресса и	1	1
168	к таким	2	1
169	сама себя	1	1
170	чтобы быть	2	1
171	приводит к	1	1
172	и до	3	1
173	можно лишь	2	1
174	культуре и	4	1
175	на нее	2	1
176	мы уже	4	1
177	вопрос этот	1	1
178	же процесса	1	1
179	к тем	2	1
180	на место	1	1
181	с ним	6	1
182	говорить о	2	1
183	на себя	1	1
184	мы всегда	1	1
185	то это	1	1
186	и государство	1	1
187	разобраться в	2	1
188	в виду	2	1
189	зависимости от	1	1
190	должны занять	1	1
191	с большим	1	1
192	более высокой	1	1
193	на нем	1	1
194	и русской	1	1
195	себя а	1	1
196	на их	1	1
197	что его	4	1
198	не могу	1	1
199	других людей	1	1
200	это была	1	1
201	все в	2	1
202	не могут	4	1
203	к нему	2	1
204	нем не	1	1
205	понять что	2	1
206	прогресс и	1	1
207	себя все	1	1
208	в его	5	1
209	в эти	3	1
210	культуру и	4	1
211	себе и	1	1
