N	2gram	Propp_Morf_1	Sovremen
1	таким образом	21	8
2	в результате	7	5
3	в этом	14	5
4	не может	14	5
5	мы можем	2	4
6	и наконец	1	4
7	мы не	8	4
8	в каждом	1	4
9	как бы	3	4
10	все эти	2	3
11	в целом	3	3
12	мы получаем	2	3
13	не можем	1	3
14	следующим образом	3	3
15	состоит из	1	3
16	из двух	2	3
17	с помощью	1	3
18	такие же	1	2
19	друг с	1	2
20	из этих	1	2
21	а на	3	2
22	у нас	2	2
23	на этом	3	2
24	в одном	1	2
25	все же	7	2
26	и в	13	2
27	но в	2	2
28	разделение на	1	2
29	мы должны	3	2
30	что же	2	2
31	на этот	1	2
32	в первом	3	2
33	с другом	1	2
34	если мы	5	2
35	и все	1	2
36	прежде всего	9	2
37	не только	4	2
38	точки зрения	2	2
39	в виде	2	2
40	то же	7	2
41	из которых	3	2
42	мы получим	1	2
43	не в	3	2
44	с одной	1	2
45	при этом	1	2
46	мы видим	13	2
47	и не	12	1
48	как мы	6	1
49	из приведенных	2	1
50	целом может	1	1
51	может не	1	1
52	форма в	3	1
53	из двенадцати	2	1
54	не дает	1	1
55	это и	2	1
56	он не	3	1
57	наших целей	1	1
58	мы будем	3	1
59	много а	1	1
60	так называемых	2	1
61	образом если	1	1
62	еще раз	1	1
63	одном случае	1	1
64	оно имеет	1	1
65	же они	2	1
66	извне мы	1	1
67	дает следующий	1	1
68	их в	1	1
69	то они	2	1
70	существо его	1	1
71	а в	7	1
72	в то	3	1
73	по его	1	1
74	вторая половина	2	1
75	но они	1	1
76	со всеми	1	1
77	в нашем	3	1
78	формы с	1	1
79	дело в	1	1
80	заставляя их	1	1
81	таких случаев	2	1
82	с другой	8	1
83	в другом	2	1
84	можно назвать	3	1
85	отличие от	1	1
86	он называет	1	1
87	части одной	1	1
88	указать на	1	1
89	элемент может	1	1
90	очень часто	6	1
91	но все	3	1
92	как и	3	1
93	не представляет	1	1
94	в которой	3	1
95	она не	2	1
96	еще не	3	1
97	независимо от	3	1
98	в отдельных	3	1
99	является ли	1	1
100	может дать	1	1
101	о том	2	1
102	быть разложена	1	1
103	один из	5	1
104	на друга	2	1
105	их на	1	1
106	в очень	1	1
107	системе и	1	1
108	же в	2	1
109	ничего не	4	1
110	b в	1	1
111	разложена на	1	1
112	между собой	4	1
113	так же	3	1
114	можно наблюдать	3	1
115	для нас	2	1
116	все более	1	1
117	и у	1	1
118	что в	8	1
119	в один	3	1
120	ясно что	5	1
121	чем в	1	1
122	в течение	1	1
123	видим не	1	1
124	а не	11	1
125	они все	1	1
126	реагирует на	3	1
127	из одной	1	1
128	или как	1	1
129	это делает	1	1
130	которых она	1	1
131	между ними	1	1
132	может быть	52	1
133	к различным	2	1
134	функций в	1	1
135	на некотором	1	1
136	он должен	2	1
137	что при	2	1
138	их по	3	1
139	можно взять	2	1
140	случае он	2	1
141	видим что	10	1
142	и действительно	1	1
143	эта функция	4	1
144	а затем	4	1
145	мы имеем	9	1
146	для наших	1	1
147	кроме того	1	1
148	она может	1	1
149	кто же	1	1
150	и несколько	1	1
151	нами в	2	1
152	в том	6	1
153	и тот	1	1
154	не будем	4	1
155	это не	6	1
156	то она	1	1
157	быть поставлен	1	1
158	произошло в	1	1
159	это уже	3	1
160	в себе	1	1
161	главе мы	1	1
162	одной стороны	1	1
163	он приводит	2	1
164	друг на	2	1
165	одна из	4	1
166	к концу	1	1
167	и даже	1	1
168	этом с	1	1
169	в этой	2	1
170	но это	6	1
171	через все	1	1
172	так как	16	1
173	у него	1	1
174	принадлежит и	1	1
175	элемента из	1	1
176	этом случае	8	1
177	что это	1	1
178	этот вопрос	2	1
179	более и	1	1
180	на части	1	1
181	затем он	1	1
182	на которых	1	1
183	уже совершенно	1	1
184	и к	4	1
185	же самое	1	1
186	дело идет	1	1
187	дает нам	1	1
188	между двумя	1	1
189	и по	2	1
190	что эта	2	1
191	ли мы	1	1
192	и более	1	1
193	чем же	1	1
194	они не	1	1
195	на которой	1	1
196	том что	4	1
197	не могут	4	1
198	от другого	2	1
199	на котором	3	1
