N	4gram	Medvedev_U_1	ViktorSh
1	новых приемов расположения и	1	1
2	материалов и в частности	1	1
3	словесных материалов и в	1	1
4	образов чем к созданию	1	1
5	расположения и обработки словесных	1	1
6	и выявлению новых приемов	1	1
7	выявлению новых приемов расположения	1	1
8	к расположению образов чем	1	1
9	накоплению и выявлению новых	1	1
10	приемов расположения и обработки	1	1
11	сводится к накоплению и	1	1
12	вся работа поэтических школ	1	1
13	и обработки словесных материалов	1	1
14	расположению образов чем к	1	1
15	обработки словесных материалов и	1	1
16	и в частности гораздо	1	1
17	к накоплению и выявлению	1	1
18	чем к созданию их	1	1
