N	2gram	Medvedev_F_1	Literetu
1	а не	10	20
2	и в	24	19
3	может быть	14	17
4	своего рода	1	13
5	то же	10	12
6	и не	20	11
7	как и	11	10
8	в том	6	10
9	но и	7	10
10	тогда как	1	9
11	в этом	15	9
12	состоит в	1	9
13	в то	9	9
14	в мире	4	9
15	же время	8	9
16	не может	16	9
17	не только	7	8
18	и даже	3	8
19	с другой	5	8
20	том что	1	7
21	так и	18	7
22	с одной	4	7
23	то что	8	7
24	и на	8	6
25	в себе	3	6
26	при этом	5	6
27	не менее	11	6
28	себя в	1	6
29	одной стороны	4	6
30	в году	2	5
31	но не	3	5
32	он не	3	5
33	одна из	2	5
34	так в	1	5
35	для всех	1	5
36	у нас	5	5
37	на фоне	3	5
38	того что	5	5
39	вместе с	2	5
40	мы не	3	4
41	по отношению	4	4
42	так что	1	4
43	отнюдь не	6	4
44	едва ли	1	4
45	для него	3	4
46	точки зрения	16	4
47	не в	8	4
48	в русской	1	4
49	в области	3	4
50	в ней	10	4
51	еще в	2	4
52	в его	23	4
53	один из	3	4
54	и других	3	4
55	прежде всего	22	4
56	в частности	4	4
57	в искусстве	5	4
58	причастность к	1	4
59	жизни в	2	4
60	другой стороны	1	4
61	жизни и	7	4
62	что в	4	4
63	идет о	2	3
64	во всех	5	3
65	в противовес	2	3
66	как к	3	3
67	в этой	6	3
68	в нем	14	3
69	на наш	1	3
70	всех своих	1	3
71	но лишь	1	3
72	перестает быть	3	3
73	мы с	1	3
74	такой же	1	3
75	в их	11	3
76	том чтобы	2	3
77	с точки	13	3
78	тем самым	3	3
79	не столько	1	3
80	без остатка	1	3
81	никогда не	4	3
82	ничего не	2	3
83	х годов	1	3
84	и его	10	3
85	данном случае	1	3
86	не с	2	3
87	и с	8	3
88	в другом	1	3
89	в художественной	1	3
90	а в	6	3
91	так как	1	3
92	этом отношении	1	3
93	и др	5	3
94	со стороны	5	3
95	в данном	1	3
96	а именно	1	3
97	по существу	2	3
98	но это	3	3
99	и для	1	3
100	и как	3	3
101	что он	3	3
102	о себе	1	3
103	отношению к	4	3
104	как на	4	3
105	себя как	1	2
106	ту же	1	2
107	и т	12	2
108	же как	2	2
109	и до	5	2
110	той же	1	2
111	на первом	1	2
112	в первый	1	2
113	на себя	1	2
114	с ее	7	2
115	жизни как	1	2
116	в каждой	1	2
117	к своему	1	2
118	если в	1	2
119	в истории	4	2
120	без другого	1	2
121	в художественном	3	2
122	все же	3	2
123	и наконец	3	2
124	творчества как	1	2
125	и к	4	2
126	но в	5	2
127	то в	1	2
128	в целом	6	2
129	жизнь как	3	2
130	в нашем	2	2
131	как он	1	2
132	культуры как	1	2
133	в годы	1	2
134	на этом	1	2
135	доверие к	1	2
136	в каждом	3	2
137	при которой	1	2
138	искусство не	1	2
139	характерный для	1	2
140	в жизни	3	2
141	но уже	1	2
142	в них	3	2
143	нет в	1	2
144	с этой	4	2
145	с тем	2	2
146	он и	1	2
147	как бы	6	2
148	художественного творчества	1	2
149	в такой	1	2
150	и без	1	2
151	по преимуществу	1	2
152	такую же	1	2
153	что было	2	2
154	тем не	1	2
155	не по	3	2
156	в основе	3	2
157	но только	1	2
