N	3gram	Savitsky_P_1	Myslijsy
1	в том что	4	13
2	не может быть	1	9
3	и в этом	1	6
4	с другой стороны	1	5
5	но и в	2	4
6	не в том	1	4
7	само по себе	1	4
8	в этом смысле	1	4
9	и т д	1	4
10	с точки зрения	3	3
11	с одной стороны	3	3
12	то же время	7	3
13	не только в	4	3
14	не более как	1	3
15	в то же	7	3
16	заключает в себе	2	2
17	в применении к	1	2
18	можем представить себе	1	2
19	для того чтобы	1	2
20	в некотором смысле	1	2
21	в сравнении с	3	2
22	в том виде	1	1
23	во многих случаях	1	1
24	одной стороны и	2	1
25	и не только	2	1
26	и в какой	1	1
27	в жизни народа	1	1
28	сами по себе	3	1
29	не было бы	1	1
30	в собственном смысле	1	1
31	в ней не	2	1
32	можно думать что	1	1
33	более или менее	1	1
34	с тем же	1	1
35	так же как	1	1
36	там где он	1	1
37	если бы мы	1	1
38	заключается в том	2	1
39	между тем в	1	1
40	во всяком случае	1	1
41	вслед за тем	1	1
42	т д не	1	1
43	что во всех	1	1
44	и тем самым	1	1
45	тем и другим	1	1
46	и тем более	1	1
