N	4gram	Bakhtin_sl_1	KulturaY
1	в большей или меньшей	3	3
2	в то же время	12	3
3	большей или меньшей степени	3	3
4	и т п в	1	2
5	и т п и	1	2
6	с этой точки зрения	1	2
7	в каждый данный момент	4	2
8	находит свое выражение в	1	1
9	бы то ни было	1	1
10	одной и той же	1	1
11	слова не только в	1	1
12	и т п не	1	1
13	все дело в том	1	1
14	том и в другом	2	1
15	в своей книге о	1	1
16	в том и в	2	1
17	и в другом случае	2	1
18	дело в том что	1	1
19	и с другой стороны	1	1
20	или в лучшем случае	1	1
21	в то время как	2	1
22	но с другой стороны	1	1
23	и в том и	2	1
24	в узком смысле слова	1	1
