N	3gram	Berdyaev_N_1	Problema
1	в том что	1	8
2	это значит что	1	7
3	с другой стороны	2	6
4	можно было бы	1	4
5	не только в	1	4
6	во всяком случае	1	4
7	в этом смысле	2	3
8	вместе с тем	2	3
9	в зависимости от	1	3
10	о том что	1	3
11	сами по себе	1	2
12	как будто бы	1	2
13	в том смысле	1	2
14	и весь мир	1	2
15	то время как	1	2
16	в том чтобы	1	2
17	в то время	1	2
18	и все они	1	2
19	только потому что	1	1
20	в существе своем	1	1
21	равно как и	2	1
22	же как и	1	1
23	и не в	1	1
24	и не может	1	1
25	в человеческом обществе	1	1
26	есть в значительной	1	1
27	ни в чем	1	1
28	том числе и	1	1
29	до сих пор	1	1
30	не значит что	3	1
31	так же как	2	1
32	вообще не существует	1	1
33	прежде всего как	1	1
34	с одной стороны	2	1
35	и потому что	1	1
36	не в том	1	1
37	это не значит	2	1
38	вопрос о том	2	1
39	в том числе	1	1
40	в новое время	1	1
41	не в смысле	2	1
42	в известном смысле	1	1
43	то что в	1	1
44	для того и	1	1
45	и вместе с	1	1
46	это и есть	1	1
47	конечно не в	1	1
48	было бы сказать	1	1
49	выходит за пределы	1	1
50	как и в	1	1
