N	2gram	Losev_Vesc_1	Russkaja
1	не может	17	22
2	и не	29	19
3	в том	8	17
4	в этом	4	17
5	и в	21	14
6	с другом	1	14
7	друг с	1	14
8	то что	27	13
9	то же	6	11
10	точки зрения	5	11
11	таким образом	8	11
12	в то	3	10
13	но и	18	10
14	в себе	14	9
15	не только	36	9
16	том что	8	9
17	с точки	3	9
18	может быть	16	9
19	во всяком	3	9
20	того чтобы	3	8
21	прежде всего	9	8
22	самом деле	4	7
23	отнюдь не	5	7
24	и если	2	7
25	и с	8	7
26	в данном	5	7
27	к тому	3	7
28	не будет	12	7
29	о том	6	7
30	самого себя	1	7
31	мы должны	2	7
32	если в	1	6
33	в своем	6	6
34	и к	1	6
35	в россии	2	6
36	с тем	5	6
37	в своих	1	6
38	признать что	1	6
39	если бы	5	6
40	все это	5	6
41	и для	9	6
42	для того	2	6
43	что он	1	6
44	всяком случае	2	6
45	для всех	1	6
46	для него	4	6
47	на самом	1	6
48	вопрос о	1	5
49	между собой	1	5
50	во имя	1	5
51	во всех	2	5
52	на то	4	5
53	в нем	2	5
54	при этом	1	5
55	было бы	14	5
56	в своей	5	5
57	никогда не	2	5
58	потому что	16	5
59	и только	3	5
60	только в	14	5
61	хотя бы	6	5
62	конечно не	1	5
63	в последние	2	5
64	или иной	1	5
65	до сих	1	5
66	себя и	4	5
67	из которых	1	5
68	по существу	2	5
69	сих пор	1	5
70	а в	4	5
71	жизни в	1	5
72	и то	10	4
73	бы то	4	4
74	но не	5	4
75	себе и	1	4
76	себя в	10	4
77	все же	4	4
78	более или	1	4
79	не в	5	4
80	в этой	3	4
81	то ни	4	4
82	его в	2	4
83	как и	8	4
84	или менее	1	4
85	тогда когда	5	4
86	во всем	1	4
87	ли это	7	4
88	от того	3	4
89	при таких	1	4
90	приводит к	1	4
91	идет речь	1	4
92	можно было	2	4
93	в его	2	4
94	так как	7	4
95	со стороны	5	4
96	вместе с	1	4
97	что же	8	4
98	как бы	12	4
99	жизни и	2	4
100	что в	9	4
101	все что	1	4
102	и т	19	3
103	сил и	1	3
104	то в	4	3
105	и этот	2	3
106	так чтобы	2	3
107	говорить о	6	3
108	и ни	1	3
109	еще не	8	3
110	из этих	1	3
111	что они	6	3
112	в самом	9	3
113	что это	13	3
114	главным образом	1	3
115	и по	1	3
116	в другом	2	3
117	о которых	1	3
118	несмотря на	1	3
119	должно быть	6	3
120	всех этих	1	3
121	но если	8	3
122	таким же	1	3
123	мы говорили	2	3
124	том чтобы	1	3
125	можно ли	7	3
126	одна из	5	3
127	то это	3	3
128	что оно	8	3
129	той или	2	3
130	что все	2	3
131	данном случае	2	3
132	может только	1	3
133	для этого	4	3
134	сводится к	2	3
135	может не	2	3
136	но мы	1	3
137	и во	3	3
138	что и	3	3
139	а следовательно	2	3
140	того что	8	3
141	в качестве	1	3
142	с нею	18	3
143	в виде	1	3
144	из них	4	3
145	в конце	2	3
146	себя от	2	3
147	тем что	2	3
148	именно в	1	3
149	собой а	1	3
150	только к	2	3
151	не было	1	3
152	и потому	5	3
153	таких условиях	1	3
154	да и	3	3
155	она может	4	3
156	или в	2	3
157	о котором	1	3
158	конце концов	2	3
159	и как	8	3
160	ибо в	1	3
161	не есть	49	3
162	из этого	1	3
163	себя как	2	2
164	и есть	26	2
165	должна быть	4	2
166	к чему	1	2
167	из всех	1	2
168	но она	3	2
169	на себя	1	2
170	но даже	3	2
171	полное и	1	2
172	в ней	12	2
173	или от	1	2
174	вполне и	1	2
175	тогда как	1	2
176	не просто	19	2
177	сама по	3	2
178	с этим	3	2
179	и наконец	1	2
180	но в	5	2
181	не можем	1	2
182	это есть	7	2
183	а во-вторых	1	2
184	все эти	3	2
185	что ничего	1	2
186	по самому	3	2
187	раз навсегда	2	2
188	не к	1	2
189	и вот	2	2
190	факт что	1	2
191	мы уже	3	2
192	на этой	1	2
193	того или	1	2
194	по себе	13	2
195	и тем	3	2
196	и тогда	1	2
197	нисколько не	4	2
198	в этих	1	2
199	что такое	12	2
200	в котором	3	2
201	в силу	3	2
202	и более	1	2
203	их в	3	2
204	для нее	2	2
205	тому что	2	2
206	она не	4	2
207	для нас	2	2
208	у него	2	2
209	к такому	1	2
210	следовательно и	1	2
211	весь смысл	1	2
212	чтобы их	1	2
213	самому своему	1	2
214	как будто	1	2
215	если только	1	2
216	свое собственное	1	2
217	к себе	4	2
218	отличается от	7	2
219	для себя	5	2
220	и о	3	2
221	культуры и	1	2
222	ясно что	8	2
223	с самим	4	2
224	это только	1	2
225	даже не	7	2
226	и что	15	2
227	это потому	1	2
228	к нему	1	2
229	это в	1	2
230	быть и	1	2
231	сделать это	2	2
232	что только	3	2
233	этот вопрос	1	2
234	совершенно не	5	2
235	даже если	1	2
236	бы ни	2	2
237	так что	5	2
238	уже не	9	2
239	только на	3	2
240	является не	1	2
241	но совершенно	2	2
242	его и	2	2
243	не так	1	2
244	представить себе	1	2
245	ни в	1	2
246	чтобы она	2	2
247	не о	1	2
248	мы можем	4	2
249	только с	3	2
250	она будет	2	2
251	даже и	4	2
252	и даже	6	2
253	а с	3	2
254	естественно что	1	2
255	зависит от	1	2
256	а не	19	2
257	в частности	1	2
258	так же	1	2
259	– не	9	2
260	в меру	1	2
261	их к	1	2
262	ни от	5	2
263	в течение	1	2
264	есть и	4	2
265	но это	10	2
266	стоит только	1	2
267	от нас	1	2
268	но для	2	2
269	если не	3	2
270	и от	3	2
271	в результате	3	2
272	с ним	8	2
273	бы его	1	2
274	на это	4	2
275	значило бы	4	2
276	ее в	1	2
277	тем самым	1	2
278	с новыми	1	1
279	упорно и	1	1
280	в сфере	4	1
281	должен быть	2	1
282	того же	5	1
283	ли оно	1	1
284	но тогда	3	1
285	и суть	1	1
286	силы и	1	1
287	это и	6	1
288	что дает	1	1
289	ту же	2	1
290	что эти	1	1
291	от которых	1	1
