N	3gram	Voloshinov_1	Formalny
1	не может быть	3	10
2	в этом отношении	2	7
3	с точки зрения	10	7
4	в то же	5	5
5	во втором периоде	1	5
6	и т д	1	5
7	в самом деле	5	5
8	то же время	5	5
9	в первый период	4	5
10	во всяком случае	3	5
11	не могут быть	3	4
12	как мы видели	4	4
13	в высшей степени	2	4
14	сам по себе	2	3
15	так и в	2	3
16	в большинстве случаев	4	3
17	может быть и	1	3
18	до известной степени	1	3
19	и не может	1	3
20	на самом деле	2	3
21	в первом периоде	2	3
22	в зависимости от	2	3
23	для того чтобы	1	3
24	но и в	1	3
25	с самого начала	5	2
26	так как они	1	2
27	отца с сыном	1	2
28	и прежде всего	5	2
29	то ни стало	1	2
30	в отличие от	1	2
31	в том что	4	2
32	ни в чем	2	2
33	и в дальнейшем	1	2
34	но все же	1	2
35	была бы совершенно	1	2
36	к тому чтобы	3	2
37	в узком смысле	1	1
38	только то что	2	1
39	не чем иным	1	1
40	мы не можем	1	1
41	с одной стороны	1	1
42	и тот же	2	1
43	время иметь в	1	1
44	во что бы	1	1
45	и роковую роль	1	1
46	центр тяжести в	1	1
47	пришли к нему	1	1
48	в общем можно	1	1
49	в одной плоскости	1	1
50	самом деле ведь	1	1
51	в одной из	1	1
52	мы знаем что	3	1
53	в последнем счете	1	1
54	в этом периоде	1	1
55	всяком случае в	1	1
56	в таком виде	1	1
57	было бы наивно	2	1
58	психологической и философской	1	1
59	роль в истории	1	1
60	из того что	1	1
61	но в то	3	1
62	однако и здесь	1	1
63	но именно в	1	1
64	мы полагаем что	1	1
65	что бы то	1	1
66	главным образом из	1	1
67	то в нем	1	1
68	раз и навсегда	1	1
69	равно как и	1	1
70	все время иметь	1	1
71	на каком материале	1	1
72	до сих пор	3	1
73	его отношение к	2	1
74	иметь в виду	1	1
75	превращения его в	1	1
76	с помощью которого	1	1
77	тем что его	1	1
78	продолжает жить и	1	1
79	сводится к тому	1	1
80	в эпоху разложения	1	1
81	каждое из этих	1	1
82	она не может	1	1
83	может быть даже	1	1
84	один и тот	2	1
85	что он не	1	1
86	ничего общего с	1	1
87	во второй период	2	1
88	в этом случае	1	1
89	и входит в	1	1
90	же это за	1	1
91	во всех своих	1	1
92	к дальнейшему развитию	1	1
93	в этот период	3	1
94	то что он	1	1
95	своей силы и	1	1
96	в особенности в	1	1
97	первый период развития	2	1
98	одной из своих	1	1
99	вовсе не является	1	1
100	индивидуального организма и	1	1
101	случае уже не	1	1
102	с помощью каких	1	1
103	чем иным как	1	1
104	в настоящее время	1	1
105	таким образом в	1	1
106	но при этом	1	1
107	в чем не	2	1
108	у различных народов	1	1
109	с другими идеологическими	1	1
110	даже не пытается	1	1
111	не было бы	1	1
112	сознания таким образом	1	1
113	что же это	1	1
114	то или иное	2	1
115	не то чем	1	1
116	настолько велико что	1	1
117	всяком случае уже	1	1
118	не может ведь	1	1
119	это и есть	1	1
120	бы то ни	1	1
121	но как раз	1	1
122	и его формы	1	1
123	нам кажется что	1	1
124	в собственном смысле	1	1
125	или во всяком	1	1
126	и хотя бы	1	1
127	в свою очередь	1	1
128	на этот вопрос	1	1
129	и без того	1	1
130	роковую роль в	1	1
131	чем же объясняется	2	1
132	является одним из	1	1
133	и с помощью	2	1
134	общем можно сказать	1	1
135	что же касается	1	1
136	во всех этих	1	1
137	тем не менее	2	1
138	теперь мы должны	3	1
139	в таком случае	2	1
140	в данном случае	3	1
141	что же такое	2	1
142	с помощью которых	1	1
143	по этому вопросу	1	1
144	по крайней мере	1	1
