N	2gram	Tiupa_Disk_1	Retstnzi
1	не может	9	4
2	и в	16	3
3	один из	3	2
4	если в	1	2
5	общения и	2	2
6	нет и	1	1
7	деятельности в	1	1
8	в особенности	4	1
9	художественного целого	1	1
10	и не	11	1
11	и поэтика	1	1
12	не только	28	1
13	и тому	1	1
14	связи с	4	1
15	бы на	1	1
16	событий и	1	1
17	точки зрения	3	1
18	на примере	1	1
19	во второй	1	1
20	но и	14	1
21	и должно	1	1
22	не менее	2	1
23	в системе	1	1
24	с другими	1	1
25	по своим	4	1
26	в лингвистике	3	1
27	может и	2	1
28	в то	3	1
29	с точки	1	1
30	и на	5	1
31	для него	4	1
32	влияния на	2	1
33	о литературе	2	1
34	литературного произведения	3	1
35	своих теоретических	1	1
36	к тому	5	1
37	а не	22	1
38	может быть	17	1
39	несмотря на	1	1
40	в его	7	1
41	книги о	1	1
42	он в	1	1
43	же время	4	1
44	без учета	1	1
45	то же	7	1
46	и все	2	1
47	из этих	1	1
48	если бы	1	1
49	в каждом	2	1
50	исходя из	2	1
