N	3gram	Losev_Vesc_1	Tvorches
1	в то же	1	13
2	в том что	4	6
3	о том что	4	5
4	дело в том	2	3
5	что все это	1	3
6	по крайней мере	4	2
7	в данном случае	2	2
8	не только в	4	2
9	можно сказать что	3	2
10	тем не менее	3	2
11	не только я	2	1
12	в чем он	1	1
13	что иное как	7	1
14	не может не	1	1
15	да и в	1	1
16	с большим трудом	1	1
17	и того же	1	1
18	и как раз	1	1
19	равно как и	2	1
20	не предмет а	1	1
21	то же самое	1	1
22	в отрыве от	2	1
23	до сих пор	1	1
24	сами по себе	3	1
25	что как бы	1	1
26	а не то	2	1
27	на самом же	1	1
28	только то что	2	1
29	же самое время	1	1
30	бы то ни	4	1
31	то и другое	4	1
32	вместе с тем	1	1
33	не то что	1	1
34	и тем не	1	1
35	по смыслу а	1	1
36	я и не	1	1
37	ту или иную	2	1
38	что оно не	1	1
39	том что я	1	1
40	том или другом	1	1
41	то ни было	4	1
42	с одной стороны	3	1
43	в конце концов	2	1
44	мы но и	1	1
45	и как бы	1	1
46	это не значит	1	1
47	что у него	1	1
48	самом же деле	1	1
49	и того что	1	1
50	у него и	1	1
51	потому что я	2	1
52	по себе а	1	1
53	в самом последнем	1	1
54	заключается в том	1	1
55	в свою очередь	4	1
56	ту же самую	1	1
57	это значит что	19	1
58	и в самом	1	1
59	себя с ним	1	1
60	один из самых	1	1
61	с другой стороны	2	1
62	одного и того	1	1
63	не значит что	1	1
64	не что иное	7	1
65	к тому что	2	1
66	и т д	19	1
