N	2gram	Propp_Russ_2	Tvorches
1	и в	29	21
2	как бы	18	17
3	в то	2	15
4	то же	4	13
5	в его	1	13
6	как и	11	12
7	что в	22	12
8	том что	22	11
9	все это	10	10
10	как в	7	8
11	то что	5	8
12	в году	3	7
13	и на	6	7
14	но в	5	7
15	не только	10	7
16	при этом	6	7
17	и не	1	7
18	в том	22	7
19	в свою	1	7
20	в этом	11	6
21	в котором	3	6
22	не менее	2	6
23	и его	1	6
24	о том	9	6
25	и все	4	6
26	что он	1	6
27	для него	1	6
28	а в	9	6
29	жизни в	2	6
30	отнюдь не	1	5
31	все же	2	5
32	в этой	3	5
33	таким образом	6	5
34	в белых	1	5
35	в своих	2	5
36	в русской	1	5
37	потому что	5	5
38	как будто	1	5
39	только в	1	5
40	может быть	13	5
41	а не	4	5
42	но это	1	5
43	человека и	1	4
44	в своем	1	4
45	и как	2	4
46	та же	2	4
47	это не	5	4
48	в своей	2	4
49	своего рода	1	4
50	прежде всего	2	4
51	на эту	2	4
52	в момент	2	4
53	не может	5	4
54	и от	3	4
55	в основном	1	4
56	один из	2	4
57	одним из	2	4
58	ту же	1	3
59	и т	5	3
60	на самом	2	3
61	это и	2	3
62	не был	2	3
63	хотя и	1	3
64	в самом	1	3
65	сливается с	1	3
66	представляет собой	2	3
67	в нем	1	3
68	на земле	5	3
69	и по	3	3
70	что все	1	3
71	и с	10	3
72	и других	3	3
73	далеко не	4	3
74	в их	2	3
75	место в	1	3
76	представление о	5	3
77	дело не	2	3
78	дело в	1	3
79	никогда не	2	3
80	и другие	14	3
81	с ним	1	3
82	там же	12	3
83	в ту	1	3
84	того что	3	3
85	который в	1	3
86	уже не	4	3
87	уже в	1	3
88	в виде	4	3
89	говорит о	2	3
90	не так	1	3
91	так как	13	3
92	в которой	2	3
93	и даже	1	3
94	с другой	2	3
95	но и	8	3
96	но не	5	3
97	но если	3	3
98	ее в	8	3
99	это в	2	3
100	так же	4	3
101	вряд ли	2	2
102	некоторые из	1	2
103	а как	1	2
104	но она	2	2
105	кто же	1	2
106	в ней	1	2
107	в отличие	3	2
108	это означало	2	2
109	если в	1	2
110	отличие от	3	2
111	в одной	1	2
112	когда он	1	2
113	и наконец	1	2
114	и будущее	1	2
115	что она	3	2
116	тем не	2	2
117	так сказать	1	2
118	от людей	1	2
119	ее по	1	2
120	здесь мы	2	2
121	не будет	1	2
122	а затем	4	2
123	а по	1	2
124	известно что	1	2
125	из гроба	2	2
126	в данном	6	2
127	такой же	1	2
128	в этих	3	2
129	этой связи	1	2
130	не во	1	2
131	не столько	2	2
132	не в	4	2
133	в пространстве	1	2
134	но он	3	2
135	однако в	1	2
136	одна из	11	2
137	и притом	1	2
138	в основе	1	2
139	к ней	2	2
140	людей и	2	2
141	в духе	1	2
142	могут быть	2	2
143	это время	2	2
144	в виду	2	2
145	не могу	1	2
146	данном случае	7	2
147	в в	1	2
148	приводит к	1	2
149	и когда	1	2
150	так и	1	2
151	живет в	3	2
152	здесь нет	1	2
153	об этом	2	2
154	еще в	2	2
155	можно сказать	1	2
156	из других	1	2
157	лицо его	1	2
158	может не	1	2
159	настоящее время	1	2
160	что его	1	2
161	что и	2	2
162	во всей	1	2
163	гроба и	2	2
