N	2gram	Vinokur_Ku_3	DiskursI
1	в себе	1	19
2	при этом	6	17
3	в этом	16	16
4	как и	5	16
5	состоит в	2	16
6	и в	23	16
7	в качестве	2	16
8	может быть	14	16
9	и не	10	15
10	а не	11	14
11	отличие от	2	12
12	в отличие	2	12
13	в частности	2	12
14	тогда как	1	11
15	но в	2	11
16	но и	3	11
17	со стороны	1	10
18	не только	17	10
19	том что	11	10
20	своего рода	2	10
21	так и	6	9
22	не может	6	9
23	как в	4	8
24	в том	22	8
25	а также	4	8
26	но не	3	7
27	в данном	7	7
28	в рамках	5	7
29	ни в	3	7
30	не менее	12	7
31	прежде всего	9	7
32	то же	6	6
33	еще не	9	6
34	данном случае	4	6
35	отнюдь не	3	6
36	все же	5	6
37	в своей	4	6
38	тем самым	4	6
39	по своей	1	6
40	и на	1	5
41	в своем	4	5
42	в противоположность	1	5
43	в то	3	5
44	с другой	7	5
45	же время	1	5
46	что в	13	5
47	для него	1	5
48	то что	4	5
49	а с	3	5
50	я в	3	5
51	я и	3	4
52	и то	1	4
53	по отношению	3	4
54	литературного жанра	1	4
55	в основе	1	4
56	потому что	12	4
57	о том	6	4
58	в пределах	2	4
59	одного из	1	4
60	с одной	4	4
61	в одном	2	4
62	одной стороны	4	4
63	как бы	5	4
64	точки зрения	23	4
65	в период	1	4
66	к его	2	4
67	к этому	1	4
68	отношению к	2	4
69	также и	5	3
70	например в	1	3
71	в строгом	1	3
72	и ее	1	3
73	столь же	4	3
74	к жизни	1	3
75	перед нами	1	3
76	и как	2	3
77	все эти	7	3
78	из этих	5	3
79	он не	3	3
80	в другом	1	3
81	его в	2	3
82	это не	3	3
83	однако при	1	3
84	ведет к	1	3
85	одного и	2	3
86	в этих	2	3
87	в котором	2	3
88	не столько	4	3
89	одном из	1	3
90	для данного	1	3
91	не в	5	3
92	в русской	1	3
93	могут быть	6	3
94	об одном	1	3
95	той или	5	3
96	приводит к	1	3
97	в его	11	3
98	но она	1	3
99	только в	6	3
100	и его	1	3
101	уже не	8	3
102	или иной	7	3
103	не было	4	3
104	не знает	2	3
105	как будто	1	3
106	иначе говоря	2	3
107	в контексте	1	3
108	можно сказать	2	3
109	но это	5	3
110	и того	2	3
111	как на	8	3
112	же как	1	2
113	того же	4	2
114	идет о	1	2
115	по преимуществу	3	2
116	той же	3	2
117	говорить о	6	2
118	в ней	3	2
119	мы имеем	2	2
120	не нужно	1	2
121	время в	3	2
122	всякий раз	1	2
123	значении этого	1	2
124	легко может	1	2
125	отношение к	3	2
126	тут же	1	2
127	более чем	2	2
128	оказывается не	1	2
129	что как	3	2
130	собственно и	1	2
131	как уже	1	2
132	отношения между	4	2
133	в целом	4	2
134	не более	2	2
135	должна быть	3	2
136	в первую	3	2
137	в принципе	1	2
138	не к	1	2
139	с таким	1	2
140	свое время	2	2
141	у пушкина	1	2
142	является не	1	2
143	же касается	1	2
144	и с	3	2
145	входит в	1	2
146	должно быть	7	2
147	такой же	2	2
148	все это	2	2
149	этом случае	4	2
150	с точки	16	2
151	речи в	7	2
152	чем не	1	2
153	никогда не	1	2
154	при котором	2	2
155	на мой	3	2
156	сводится к	1	2
157	что на	3	2
158	в области	14	2
159	указать на	2	2
160	здесь не	2	2
161	это еще	2	2
162	природе своей	1	2
163	не с	2	2
164	отсюда и	1	2
165	в результате	3	2
166	но здесь	1	2
167	произведения как	1	2
