N	3gram	Berdyaev_O_1	Formalny
1	не может быть	2	5
2	во всяком случае	1	4
3	прежде всего в	1	3
4	смысле этого слова	1	3
5	а вовсе не	1	2
6	и не в	1	2
7	и не может	1	2
8	как и все	2	2
9	в строгом смысле	1	2
10	и в этом	2	2
11	к ней не	1	1
12	должен был бы	1	1
13	так и не	1	1
14	и заключается в	1	1
15	в том что	1	1
16	но и в	2	1
17	в этом отношении	1	1
18	вместо того чтобы	1	1
19	в самой природе	1	1
20	прежде всего и	1	1
21	по сравнению с	1	1
22	с разных сторон	2	1
23	в душе не	1	1
24	возможен лишь для	1	1
25	чем на западе	2	1
26	и в том	1	1
27	между этими двумя	1	1
28	от того что	1	1
29	в самом начале	1	1
30	в одном месте	1	1
31	в первый период	1	1
32	строгом смысле этого	1	1
