N	4gram	Losev_Prob_1	Istorich
1	так же как и	1	4
2	не что иное как	2	3
3	как мы видели выше	1	2
4	мы здесь не будем	1	1
5	одно и то же	1	1
6	ничего не говорит о	1	1
7	с представлением о смерти	1	1
8	мы до сих пор	1	1
9	и т д здесь	1	1
10	и в других случаях	1	1
11	даже если бы мы	1	1
12	же в этих случаях	1	1
13	внимание на то что	1	1
14	указывает на то что	3	1
15	до сих пор говорили	1	1
16	в то время как	1	1
17	как мы увидим ниже	2	1
18	он содержит в себе	1	1
19	во всех этих случаях	1	1
20	вовсе не есть нечто	1	1
21	сколько бы мы ни	1	1
22	есть не что иное	2	1
23	тем не менее он	1	1
