N	2gram	Tiupa_Hudo_1	VelikijI
1	и не	15	20
2	и в	19	16
3	так как	1	9
4	то что	4	9
5	еще не	3	8
6	в истории	1	8
7	что они	1	7
8	на земле	1	7
9	а не	9	7
10	и потому	2	7
11	человека и	1	6
12	не есть	1	6
13	но и	10	5
14	по пути	4	5
15	того что	4	5
16	хотя и	3	5
17	в мире	21	5
18	все это	2	5
19	как бы	9	5
20	о счастье	1	5
21	и есть	1	4
22	говорить о	3	4
23	во мне	2	4
24	свою личность	1	4
25	в его	9	4
26	и я	1	4
27	в этом	11	4
28	что он	3	4
29	потому что	3	4
30	в нем	5	4
31	так и	11	4
32	что все	1	4
33	что не	1	4
34	как и	2	4
35	в котором	1	4
36	мировой жизни	1	4
37	это еще	1	4
38	все что	1	4
39	этого мира	1	3
40	и что	3	3
41	восстает против	1	3
42	лишь в	4	3
43	в чем	2	3
44	с его	6	3
45	во всех	3	3
46	что и	2	3
47	в том	18	3
48	тот же	1	3
49	но в	7	3
50	бы и	1	3
51	по этому	1	3
52	все эти	2	3
53	за ним	1	3
54	в конце	1	3
55	их в	3	3
56	в своей	5	3
57	в жизни	2	3
58	ни в	5	3
59	в них	2	3
60	не было	1	3
61	должно быть	1	3
62	если не	1	3
63	в этих	3	3
64	всех людей	1	3
65	и против	1	3
66	не в	7	3
67	к чему	1	3
68	тому что	2	3
69	к бытию	2	3
70	не имеет	1	3
71	никогда не	2	3
72	личности и	3	3
73	превращается в	2	3
74	и для	2	3
75	к тому	4	3
76	жизни и	1	3
77	что в	6	3
78	людей в	1	3
79	оно не	1	3
80	и это	2	2
81	того чтобы	2	2
82	и то	4	2
83	от своей	1	2
84	но мы	1	2
85	и сам	1	2
86	что от	1	2
87	с ним	2	2
88	освобождения от	1	2
89	к нам	1	2
90	между тем	4	2
91	я думаю	2	2
92	ивана карамазова	1	2
93	вслед за	1	2
94	не с	2	2
95	человека как	1	2
96	только в	5	2
97	личности а	1	2
98	в себя	2	2
99	уже не	4	2
100	не только	16	2
101	для него	4	2
102	в прошлом	1	2
103	не могли	1	2
104	своей свободы	1	2
105	тем что	1	2
106	не будет	2	2
107	послужить материалом	1	2
108	это не	2	2
109	а с	2	2
110	прежде всего	4	2
111	один из	2	2
112	мира в	2	2
113	более чем	1	2
114	не могут	1	2
115	значения и	2	2
116	ведет по	2	2
117	личность как	1	2
118	одна из	2	2
119	том что	8	2
120	тот кто	2	2
121	от него	1	2
122	в форме	4	2
123	и теперь	1	2
124	ее в	2	2
125	до того	1	2
126	а в	12	2
127	но не	11	2
128	могут быть	4	2
129	всего в	1	2
130	кто бы	1	1
131	как мы	1	1
132	быть может	1	1
133	в виду	5	1
134	для себя	2	1
135	в ее	5	1
136	ты и	1	1
137	этой тайны	1	1
138	роль в	1	1
139	свое место	1	1
140	значение в	1	1
141	то же	10	1
142	человеческого бытия	2	1
143	из всего	1	1
144	нам уже	1	1
145	с внутренним	1	1
146	в результате	1	1
147	ибо к	1	1
148	всего только	1	1
149	не была	1	1
150	я не	2	1
151	и ее	3	1
152	о судьбе	1	1
153	меня в	1	1
154	теми которые	1	1
155	думаю что	1	1
156	в их	5	1
157	личностью и	1	1
158	и на	2	1
159	после того	1	1
160	и который	2	1
161	бы то	1	1
162	к нему	3	1
163	тебя так	1	1
164	но как	2	1
165	утверждения ее	1	1
166	если в	1	1
167	с которыми	1	1
168	тогда как	13	1
169	бы в	1	1
170	крайней мере	1	1
171	мире и	2	1
172	существует как	1	1
173	как в	2	1
174	и мир	1	1
175	и пусть	1	1
176	это ни	1	1
177	в своем	2	1
178	известном смысле	1	1
179	но с	1	1
180	для таких	1	1
181	могли бы	1	1
182	мы видим	1	1
183	с ними	1	1
184	и свою	1	1
185	со своей	3	1
186	в самом	5	1
187	в которой	2	1
188	образа в	1	1
189	что это	1	1
190	бы ни	1	1
191	небытию в	1	1
192	в целом	3	1
193	теперь в	1	1
194	тоже не	1	1
195	в этой	2	1
196	в известном	1	1
197	это тот	1	1
198	же и	1	1
199	я в	11	1
200	в которую	1	1
201	слова не	1	1
202	или даже	3	1
203	и внешнее	1	1
204	чего бы	1	1
205	говорит что	2	1
206	в понимании	1	1
207	папы и	1	1
208	не сумеет	2	1
209	вовсе не	2	1
210	отношение к	5	1
211	бытия и	1	1
212	у него	1	1
213	не случайно	3	1
214	этом мире	2	1
215	и по	2	1
216	на этом	1	1
217	переход к	1	1
218	на нее	1	1
219	для того	2	1
220	им по	1	1
221	то ни	1	1
222	с другой	7	1
223	художественный образ	1	1
224	его личности	1	1
225	есть не	1	1
226	лишь на	1	1
227	к миру	1	1
228	еще и	1	1
229	весь мир	1	1
230	и тем	2	1
231	души и	1	1
232	нового времени	2	1
233	говорит о	1	1
234	человеческой жизни	2	1
235	не всегда	1	1
236	с которым	1	1
237	жизнь в	1	1
238	жизни но	2	1
239	о чем	2	1
240	выбора все	1	1
241	в бытии	1	1
242	но лишено	1	1
243	в одно	2	1
244	стороны в	1	1
245	только мы	1	1
246	места в	1	1
247	постигнуть смысл	1	1
248	вместе с	1	1
249	так же	2	1
250	их сознания	1	1
251	как это	5	1
252	человека к	3	1
253	счастье но	1	1
254	то есть	18	1
255	у нас	1	1
256	хотят скрыть	1	1
257	он говорит	1	1
258	ведет к	1	1
259	в одном	2	1
260	выбора в	1	1
261	его воли	1	1
262	в мир	1	1
263	по крайней	1	1
264	если нет	1	1
265	мира с	1	1
266	этого слова	2	1
267	с этой	1	1
268	с бытием	1	1
269	и внешней	3	1
270	из нас	1	1
271	другом но	1	1
272	к ним	1	1
273	о мире	1	1
274	на котором	1	1
275	не по	1	1
276	свободу личности	1	1
277	но она	2	1
278	не существует	1	1
279	и от	1	1
280	нельзя не	1	1
281	мира и	2	1
282	жизни не	1	1
283	может быть	14	1
284	в третьем	1	1
285	в русском	1	1
286	с отвращением	1	1
287	можно признать	1	1
288	к жизни	2	1
289	на части	1	1
290	жизни в	2	1
291	ничего нельзя	1	1
292	о своем	1	1
293	другой стороны	5	1
294	не быть	1	1
295	возможно в	1	1
296	и развитием	1	1
297	себя только	1	1
298	всего что	1	1
299	свободного выбора	1	1
300	в искусстве	7	1
301	и другие	2	1
302	в своих	1	1
303	в противоположность	3	1
304	прошлом и	1	1
305	себя и	2	1
306	в роли	3	1
307	они не	1	1
